coverage_rank	screen_id	n_reporter_targets	screen_class	unique_phase_cells_with_exact_reporter	exact_assay_cell_links
1	Biohub_OPS0007	2	2–7 reporters	31758	63516
2	Biohub_OPS0011	1	one reporter	38200	38200
3	Biohub_OPS0003	1	one reporter	42992	42992
4	Biohub_OPS0009	2	2–7 reporters	46428	92856
5	Biohub_OPS0002	1	one reporter	48117	48117
6	Biohub_OPS0076	1	one reporter	49615	49615
7	Biohub_OPS0073	1	one reporter	52300	52300
8	Biohub_OPS0014	1	one reporter	54886	54886
9	Biohub_OPS0044	1	one reporter	57373	57373
10	Biohub_OPS0034	1	one reporter	59303	59303
11	Biohub_OPS0018	1	one reporter	60298	60298
12	Biohub_OPS0015	1	one reporter	63372	63372
13	Biohub_OPS0026	1	one reporter	69290	69290
14	Biohub_OPS0054	1	one reporter	69650	69650
15	Biohub_OPS0028	1	one reporter	72088	72088
16	Biohub_OPS0006	2	2–7 reporters	74138	148276
17	Biohub_OPS0068	1	one reporter	75833	75833
18	Biohub_OPS0008	2	2–7 reporters	79061	158122
19	Biohub_OPS0013	1	one reporter	82554	82554
20	Biohub_OPS0005	2	2–7 reporters	85177	170354
21	Biohub_OPS0012	1	one reporter	86670	86670
22	Biohub_OPS0022	1	one reporter	87785	87785
23	Biohub_OPS0030	1	one reporter	87806	87806
24	Biohub_OPS0042	1	one reporter	88463	88463
25	Biohub_OPS0077	6	2–7 reporters	90286	541716
26	Biohub_OPS0053	1	one reporter	92592	92592
27	Biohub_OPS0065	2	2–7 reporters	93022	185956
28	Biohub_OPS0066	1	one reporter	95146	95146
29	Biohub_OPS0027	1	one reporter	96125	96125
30	Biohub_OPS0029	1	one reporter	96411	96411
31	Biohub_OPS0062	2	2–7 reporters	97262	194524
32	Biohub_OPS0031	1	one reporter	97336	97336
33	Biohub_OPS0025	1	one reporter	97931	97931
34	Biohub_OPS0045	2	2–7 reporters	98157	196314
35	Biohub_OPS0057	2	2–7 reporters	99468	198936
36	Biohub_OPS0070	1	one reporter	101203	101203
37	Biohub_OPS0020	1	one reporter	101670	101670
38	Biohub_OPS0056	1	one reporter	102030	102030
39	Biohub_OPS0004	1	one reporter	102853	102853
40	Biohub_OPS0063	1	one reporter	103307	103307
41	Biohub_OPS0050	1	one reporter	104880	104880
42	Biohub_OPS0047	1	one reporter	105043	105043
43	Biohub_OPS0036	1	one reporter	105775	105775
44	Biohub_OPS0067	1	one reporter	105986	105986
45	Biohub_OPS0048	1	one reporter	108425	108425
46	Biohub_OPS0040	1	one reporter	108630	108630
47	Biohub_OPS0074	2	2–7 reporters	110052	220001
48	Biohub_OPS0019	1	one reporter	110369	110369
49	Biohub_OPS0043	7	2–7 reporters	111573	781011
50	Biohub_OPS0032	1	one reporter	116406	116406
51	Biohub_OPS0001	2	2–7 reporters	116789	233578
52	Biohub_OPS0023	1	one reporter	116823	116823
53	Biohub_OPS0059	1	one reporter	118777	118777
54	Biohub_OPS0016	1	one reporter	120397	120397
55	Biohub_OPS0072	2	2–7 reporters	121282	242441
56	Biohub_OPS0058	1	one reporter	124655	124655
57	Biohub_OPS0041	1	one reporter	127140	127140
58	Biohub_OPS0055	1	one reporter	129331	129331
59	Biohub_OPS0017	1	one reporter	130085	130085
60	Biohub_OPS0035	1	one reporter	130846	130846
61	Biohub_OPS0075	1	one reporter	131602	131602
62	Biohub_OPS0071	1	one reporter	132075	132075
63	Biohub_OPS0052	1	one reporter	132163	132163
64	Biohub_OPS0021	1	one reporter	135855	135855
65	Biohub_OPS0039	1	one reporter	139936	139936
66	Biohub_OPS0051	1	one reporter	140498	140498
67	Biohub_OPS0060	1	one reporter	144311	144311
68	Biohub_OPS0064	2	2–7 reporters	145485	290970
69	Biohub_OPS0033	1	one reporter	147412	147412
70	Biohub_OPS0046	1	one reporter	153231	153231
71	Biohub_OPS0037	1	one reporter	157307	157307
72	Biohub_OPS0069	2	2–7 reporters	161213	322426
73	Biohub_OPS0061	2	2–7 reporters	172066	344132
