reporter_slug,output_dimensions,n_total_observations,n_complete_rows,n_partial_rows,n_no_finite_rows,fraction_complete_rows,fraction_partial_rows,fraction_no_finite_rows,potential_endpoint_labels,finite_endpoint_labels,missing_endpoint_labels,finite_endpoint_fraction,recoverable_partial_endpoint_labels,recoverable_partial_fraction_of_finite_labels,short_name,biological_category,n_screens,n_exact_assay_cell_links
fe2+_ferhonox_live-cell_dye,24,211029,195274,3177,12578,0.9253420146046278,0.015054802894388923,0.05960318250098328,5064696,4750116,314580,0.9378876836832852,63540,0.013376515436675653,FeRhoNox live-cell dye,Signaling,2,211029
b-catenin,30,90286,72819,0,17467,0.8065370046297322,0.0,0.19346299537026782,2708580,2184570,524010,0.8065370046297322,0,0.0,b-catenin*,Signaling,1,90286
c-myc,30,90286,72819,0,17467,0.8065370046297322,0.0,0.19346299537026782,2708580,2184570,524010,0.8065370046297322,0,0.0,c-Myc*,Signaling,1,90286
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,24,238077,224652,4287,9138,0.9436106805781322,0.018006779319295858,0.03838254010257186,5713848,5477388,236460,0.9586163300108789,85740,0.015653446496760866,pHrodo-dextran Live Cell Dye,Signaling,2,238077
oxidative_stress_cellrox_live-cell_dye,24,269638,175784,31677,62177,0.6519259154866895,0.11747973208524021,0.23059435242807022,6471312,4852356,1618956,0.7498256922243898,633540,0.1305633799333767,CellROX live-cell dye,Signaling,2,269638
p21,30,90286,72819,0,17467,0.8065370046297322,0.0,0.19346299537026782,2708580,2184570,524010,0.8065370046297322,0,0.0,p21*,Signaling,1,90286
p53,30,90286,72819,0,17467,0.8065370046297322,0.0,0.19346299537026782,2708580,2184570,524010,0.8065370046297322,0,0.0,p53*,Signaling,1,90286
prb,30,90286,72819,0,17467,0.8065370046297322,0.0,0.19346299537026782,2708580,2184570,524010,0.8065370046297322,0,0.0,pRb*,Signaling,1,90286
ps6,30,90286,72819,0,17467,0.8065370046297322,0.0,0.19346299537026782,2708580,2184570,524010,0.8065370046297322,0,0.0,pS6*,Signaling,1,90286
cell_proliferation_marker_mki67,24,197625,100024,29193,68408,0.5061302972802024,0.147719165085389,0.3461505376344086,4743000,2984436,1758564,0.6292296015180265,583860,0.19563495414208915,MKI67*,Nucleus,2,197625
chromatin_h2bc21,24,306698,226261,79130,1307,0.7377322317067604,0.2580062471877873,0.004261521105452269,7360752,7012864,347888,0.9527374376965831,1582600,0.22567099547346134,H2BC21,Nucleus,2,306698
nuclear_speckles_srrm2,24,277841,275928,549,1364,0.9931147670790128,0.001975950273717702,0.004909282647269481,6668184,6633252,34932,0.9947613923071109,10980,0.0016552966780095193,SRRM2,Nucleus,2,277841
nuclei_hoechst,60,111573,94308,10720,6545,0.8452582614073297,0.09608059297500292,0.05866114561766736,6694380,5958640,735740,0.890095871462331,300160,0.05037391082528899,Hoechst*,Nucleus,1,111573
nucleoli_npm1,72,111573,82045,26521,3007,0.7353481577084061,0.23770087745243024,0.026950964839163597,8033256,7052472,980784,0.8779095300834431,1145232,0.1623873161070331,NPM1*,Nucleus,1,111573
nucleolus-dfc_fbl,24,224402,214235,9316,851,0.9546929171754263,0.0415147815081862,0.0037923013163875543,5385648,5327960,57688,0.9892885684322481,186320,0.034970232509253074,FBL,Nucleus,2,224402
nucleolus-gc_npm3,24,213118,172399,19940,20779,0.8089368331159263,0.09356319034525475,0.09749997653881887,5114832,4536376,578456,0.8869061584036386,398800,0.08791158404858856,NPM3,Nucleus,2,213118
nuclei_nucleolive_live_cell_dye,24,269328,268720,517,91,0.9977425295550407,0.0019195924671775678,0.00033787797778173827,6463872,6459620,4252,0.9993421899443553,10340,0.001600713354655537,NucleoLIVE Live Cell dye,Nucleus,2,269328
er_cona,72,111573,93997,16478,1098,0.8424708486820288,0.147688060731539,0.009841090586432202,8033256,7296916,736340,0.908338536702926,529132,0.072514470496851,ConA*,ER/Golgi,1,111573
er_ncln,24,132163,121867,1412,8884,0.922096199390147,0.010683776851312395,0.0672200237585406,3171912,2953048,218864,0.9309993467662406,28240,0.00956300066913914,NCLN,ER/Golgi,1,132163
er_sec61b,24,433351,431024,1205,1122,0.994630218921844,0.0027806558655685577,0.002589125212587487,10400424,10368676,31748,0.9969474321431511,24100,0.0023243083302053225,SEC61B,ER/Golgi,6,433351
er_golgi_cop-ii_sec23a,24,130846,130796,21,29,0.9996178713907953,0.00016049401586597985,0.0002216345933387341,3140304,3139524,780,0.9997516164040169,420,0.00013377824154234847,SEC23A,ER/Golgi,1,130846
er_golgi_cope,24,226855,226294,427,134,0.9975270547265874,0.001882259593132177,0.0005906856802803552,5444520,5439596,4924,0.999095604387531,8540,0.0015699695345021947,COPE,ER/Golgi,2,226855
er_golgi_bridge_vapa,24,237525,228972,4822,3731,0.9639911588253868,0.020301020945163666,0.015707820229449533,5700600,5591768,108832,0.9809086762796898,96440,0.01724678133999837,VAPA,ER/Golgi,2,237525
trans-golgi_vamp3,24,206583,149731,23019,33833,0.7247982651040986,0.11142736817647145,0.16377436671942996,4957992,4053924,904068,0.8176544052511582,460380,0.11356404313450376,VAMP3,ER/Golgi,2,206583
chromalive_488_excitation,24,188615,167036,17485,4094,0.8855923441931978,0.0927020650531506,0.021705590753651617,4526760,4358564,168196,0.9628440650708233,349700,0.0802328473322865,ChromaLIVE 488 excitation,Mitochondria,2,188615
mitochondria_chromalive_561_excitation,24,234909,234813,73,23,0.9995913311111962,0.0003107586341945179,9.791025460923166e-05,5637816,5636972,844,0.9998502966396917,1460,0.00025900430230982167,ChromaLIVE 561 excitation,Mitochondria,2,234909
mitochondria_tomm20,72,111573,94073,16411,1089,0.8431520170650605,0.14708755702544524,0.009760425909494233,8033256,7298488,734768,0.9085342232340162,525232,0.07196449456380555,TOMM20*,Mitochondria,1,111573
mitochondria_tomm70a,24,139205,136200,2603,402,0.978413131712223,0.018699040982723323,0.002887827305053698,3340920,3320860,20060,0.9939956658644924,52060,0.015676662069463936,TOMM70A,Mitochondria,2,139205
actin_filament_fastact_spy555_live_cell_dye,24,521116,520882,133,101,0.9995509637009802,0.00025522148619501223,0.00019381481282478374,12506784,12503828,2956,0.9997636482728094,2660,0.00021273485207889937,FastAct_SPY555 Live Cell Dye,Cytoskeleton,5,521116
f-actin_phalloidin,72,111573,94076,16408,1089,0.8431789052907065,0.14706066879979923,0.009760425909494233,8033256,7298528,734728,0.9085392025350617,525056,0.07193998570670689,Phalloidin*,Cytoskeleton,1,111573
microtubules_map4,24,153231,151887,440,904,0.9912289288720951,0.0028714816192545894,0.005899589508650338,3677544,3654088,23456,0.9936218302214739,8800,0.0024082616510604014,MAP4,Cytoskeleton,1,153231
microtubules_tubulin,72,111573,94069,16414,1090,0.8431161660975326,0.1471144452510912,0.00976938865137623,8033256,7298384,734872,0.9085212770512977,525416,0.07199073109882954,Tubulin*,Cytoskeleton,1,111573
autophagosome_atg101,24,166986,131789,26569,8628,0.7892218509336112,0.1591091468745883,0.05166900219180051,4007664,3694316,313348,0.9218128066624348,531380,0.1438371812265112,ATG101,Lysosome,2,166986
autophagosome_map1lc3b,24,359112,356446,1067,1599,0.9925761322372965,0.002971217893025017,0.0044526498696785405,8618688,8576044,42644,0.9950521471481506,21340,0.0024883267856368276,MAP1LC3B,Lysosome,3,359112
clathrin_vesicles_clta,24,170667,170609,16,42,0.999660156913756,9.374981689488888e-05,0.0002460932693490833,4096008,4094936,1072,0.9997382817611684,320,7.81452994625557e-05,CLTA,Lysosome,2,170667
