display_column,screen_id,phase_cells,phase_targeting_cells,phase_control_cells,phase_target_kos,phase_target_guides,phase_wells,phase_tiles,phase_feature_dimension,phase_cellprofiler_features,phase_organelleprofiler_features,phase_candidate_features,phase_harmonized_features,n_reporter_targets,reporter_targets,reporter_biological_categories,reporter_target_feature_schemas,exact_assay_cell_links,exact_targeting_links,exact_control_links,unique_phase_cells_with_exact_reporter,unique_targeting_phase_cells_with_exact_reporter,exact_target_kos,exact_target_guides,source_fluorescence_rows_across_reporters,rows_with_mappable_well_tile_across_reporters,duplicate_fluorescence_coordinate_rows_excluded,phase_unique_coordinate_rows_across_reporters,coordinate_matches_across_reporters,op_matches_across_reporters,gene_guide_concordant_pairs_across_reporters,screen_number
0,Biohub_OPS0001,126235,116489,9746,969,3871,3,6398,3113,736,2377,446,172,2,5xupre;er_sec61b,ER/Golgi;Stress/PQC,5xupre:72;er_sec61b:72,233578,222818,10760,116789,111409,1000,3995,1785852,1785852,137604,249386,233706,233578,233578,1
1,Biohub_OPS0002,49932,46010,3922,969,3870,3,6277,3113,736,2377,446,172,1,chromalive_488_excitation,Mitochondria,chromalive_488_excitation:72,48117,45760,2357,48117,45760,1000,3993,376560,376560,13637,49686,48219,48117,48117,2
2,Biohub_OPS0003,45527,41873,3654,969,3872,3,5972,3113,736,2377,446,172,1,plasma_membrane_slc3a2,Plasma Membrane,plasma_membrane_slc3a2:24,42992,40885,2107,42992,40885,1000,3996,327666,327666,18194,45147,43165,42992,42992,3
3,Biohub_OPS0004,110937,102141,8796,969,3871,3,6399,3113,736,2377,446,172,1,plasma_membrane_slc3a2,Plasma Membrane,plasma_membrane_slc3a2:24,102853,97696,5157,102853,97696,1000,3995,802940,802940,59139,109692,103024,102853,102853,4
4,Biohub_OPS0005,92781,85190,7591,969,3871,3,6182,3113,736,2377,446,172,2,5xupre;er_sec61b,ER/Golgi;Stress/PQC,5xupre:72;er_sec61b:72,170354,162304,8050,85177,81152,1000,3995,1320724,1320724,112636,183312,170552,170356,170354,5
5,Biohub_OPS0006,80661,74369,6292,969,3871,3,6206,3113,736,2377,446,172,2,5xupre;er_sec61b,ER/Golgi;Stress/PQC,5xupre:72;er_sec61b:72,148276,141354,6922,74138,70677,1000,3995,1147234,1147234,98306,159368,148316,148276,148276,6
6,Biohub_OPS0007,33365,30794,2571,969,3864,3,5830,3113,736,2377,446,172,2,5xupre;er_sec61b,ER/Golgi;Stress/PQC,5xupre:72;er_sec61b:72,63516,60610,2906,31758,30305,1000,3984,470916,470916,22848,66308,63758,63516,63516,7
7,Biohub_OPS0008,85267,79010,6257,969,3871,3,6262,3113,736,2377,446,172,2,5xupre;er_sec61b,ER/Golgi;Stress/PQC,5xupre:72;er_sec61b:72,158122,151202,6920,79061,75601,1000,3995,1213792,1213792,78200,168914,159854,158122,158122,8
8,Biohub_OPS0009,49736,45767,3969,969,3874,3,6576,3113,736,2377,446,172,2,5xupre;er_sec61b,ER/Golgi;Stress/PQC,5xupre:72;er_sec61b:72,92856,88306,4550,46428,44153,1000,3997,705778,705778,48272,98368,92940,92856,92856,9
9,Biohub_OPS0011,41529,38234,3295,969,3869,3,6694,3113,736,2377,446,172,1,lysosome_lamp1,Lysosome,lysosome_lamp1:24,38200,36422,1778,38200,36422,1000,3992,299011,299011,24089,41076,38362,38200,38200,11
10,Biohub_OPS0012,93897,86622,7275,969,3874,3,6920,3113,736,2377,446,172,1,lysosome_lamp1,Lysosome,lysosome_lamp1:24,86670,82555,4115,86670,82555,1000,3998,689763,689763,53043,92851,86739,86670,86670,12
11,Biohub_OPS0013,89129,82172,6957,969,3874,3,6753,3113,736,2377,446,172,1,endosome_vps35,Endosome,endosome_vps35:24,82554,78601,3953,82554,78601,1000,3998,636815,636815,48228,88062,82554,82554,82554,13
12,Biohub_OPS0014,58878,54299,4579,969,3870,3,6774,3113,736,2377,446,172,1,late_endosome_rab7a,Endosome,late_endosome_rab7a:72,54886,52170,2716,54886,52170,1000,3994,425179,425179,29380,58247,54974,54886,54886,14
13,Biohub_OPS0015,67905,62381,5524,969,3873,3,6587,3113,736,2377,446,172,1,mitochondria_tomm70a,Mitochondria,mitochondria_tomm70a:24,63372,60099,3273,63372,60099,1000,3997,491415,491415,33789,67244,63507,63372,63372,15
14,Biohub_OPS0016,128733,118982,9751,969,3875,3,6881,3113,736,2377,446,172,1,autophagosome_map1lc3b,Lysosome,autophagosome_map1lc3b:72,120397,114988,5409,120397,114988,1000,3999,907476,907476,62046,127413,120455,120397,120397,16
15,Biohub_OPS0017,147320,136421,10899,969,3875,3,6931,3113,736,2377,446,172,1,autophagosome_map1lc3b,Lysosome,autophagosome_map1lc3b:72,130085,124428,5657,130085,124428,1000,3999,1038811,1038811,124590,144522,130137,130085,130085,17
16,Biohub_OPS0018,63859,58680,5179,969,3873,3,6863,3113,736,2377,446,172,1,clathrin_vesicles_clta,Lysosome,clathrin_vesicles_clta:72,60298,57256,3042,60298,57256,1000,3997,469730,469730,27355,63385,60384,60298,60298,18
17,Biohub_OPS0019,122930,113156,9774,969,3874,3,6900,3113,736,2377,446,172,1,clathrin_vesicles_clta,Lysosome,clathrin_vesicles_clta:72,110369,104686,5683,110369,104686,1000,3998,909099,909099,96119,121162,110416,110369,110369,19
18,Biohub_OPS0020,111580,102710,8870,969,3873,3,6928,3113,736,2377,446,172,1,er_golgi_bridge_vapa,ER/Golgi,er_golgi_bridge_vapa:24,101670,96846,4824,101670,96846,1000,3997,788812,788812,72622,110012,101754,101670,101670,20
19,Biohub_OPS0021,152504,140721,11783,969,3874,4,6914,3113,736,2377,446,172,1,er_golgi_bridge_vapa,ER/Golgi,er_golgi_bridge_vapa:24,135855,129457,6398,135855,129457,1000,3998,1097923,1097923,123276,149926,135877,135855,135855,21
20,Biohub_OPS0022,95952,88663,7289,969,3871,3,6942,3113,736,2377,446,172,1,lipid_droplet_plin2,Lysosome,lipid_droplet_plin2:24,87785,83638,4147,87785,83638,1000,3995,685649,685649,61425,94702,87842,87785,87785,22
21,Biohub_OPS0023,127842,117390,10452,969,3874,3,6937,3113,736,2377,446,172,1,er_golgi_cope,ER/Golgi,er_golgi_cope:24,116823,110873,5950,116823,110873,1000,3997,944590,944590,84433,126303,116894,116823,116823,23
22,Biohub_OPS0025,106089,98321,7768,969,3872,3,6939,3113,736,2377,446,172,1,endosome_vps35,Endosome,endosome_vps35:24,97931,93556,4375,97931,93556,1000,3996,763474,763474,61139,104853,98042,97931,97931,25
23,Biohub_OPS0026,74408,68546,5862,969,3874,3,6927,3113,736,2377,446,172,1,late_endosome_rab7a,Endosome,late_endosome_rab7a:72,69290,65823,3467,69290,65823,1000,3998,555518,555518,39238,73665,69368,69290,69290,26
24,Biohub_OPS0027,104616,96873,7743,969,3874,3,6941,3113,736,2377,446,172,1,recycling_endosome_tfrc,Endosome,recycling_endosome_tfrc:24,96125,91896,4229,96125,91896,1000,3998,760612,760612,63011,103290,96202,96125,96125,27
25,Biohub_OPS0028,83980,77700,6280,969,3872,3,6901,3113,736,2377,446,172,1,chaperones_hspa1b,Stress/PQC,chaperones_hspa1b:72,72088,68798,3290,72088,68798,1000,3995,609488,609488,83887,81989,72149,72088,72088,28
26,Biohub_OPS0029,106003,97800,8203,969,3873,3,6927,3113,736,2377,446,172,1,proteasome_psmb7,Stress/PQC,proteasome_psmb7:24,96411,91798,4613,96411,91798,1000,3996,789583,789583,73464,104619,96546,96411,96411,29
27,Biohub_OPS0030,100300,92655,7645,969,3872,3,7030,3113,736,2377,446,172,1,trans-golgi_vamp3,ER/Golgi,trans-golgi_vamp3:24,87806,83612,4194,87806,83612,1000,3996,729213,729213,84804,98293,88369,87806,87806,30
28,Biohub_OPS0031,105308,97237,8071,969,3856,3,6939,3113,736,2377,446,172,1,autophagosome_atg101,Lysosome,autophagosome_atg101:72,97336,92566,4770,97336,92566,1000,3979,767310,767310,60418,104178,97393,97336,97336,31
29,Biohub_OPS0032,123273,113771,9502,969,3873,3,6943,3113,736,2377,446,172,1,plasma_membrane_atp1b3,Plasma Membrane,plasma_membrane_atp1b3:24,116406,110862,5544,116406,110862,1000,3997,918870,918870,51942,122279,116458,116406,116406,32
30,Biohub_OPS0033,155598,142765,12833,969,3873,3,6951,3113,736,2377,446,172,1,actin_filament_fastact_spy555_live_cell_dye,Cytoskeleton,actin_filament_fastact_spy555_live_cell_dye:72,147412,139635,7777,147412,139635,1000,3997,1160195,1160195,61853,154538,147555,147415,147412,33
31,Biohub_OPS0034,61626,56925,4701,969,3846,3,5489,3113,736,2377,446,172,1,lipid_droplet_bodipy_live_cell_dye,Lysosome,lipid_droplet_bodipy_live_cell_dye:24,59303,56393,2910,59303,56393,1000,3966,454593,454593,16839,61317,59389,59303,59303,34
32,Biohub_OPS0035,137785,127108,10677,969,3875,3,6864,3113,736,2377,446,172,1,er_golgi_cop-ii_sec23a,ER/Golgi,er_golgi_cop-ii_sec23a:24,130846,124430,6416,130846,124430,1000,3999,1030382,1030382,53994,136827,130900,130846,130846,35
33,Biohub_OPS0036,111146,102296,8850,969,3873,3,6905,3113,736,2377,446,172,1,nuclear_speckles_srrm2,Nucleus,nuclear_speckles_srrm2:72,105775,100489,5286,105775,100489,1000,3997,802913,802913,39961,110357,105806,105775,105775,36
34,Biohub_OPS0037,168854,154925,13929,969,3875,3,6953,3113,736,2377,446,172,1,stress_granule_g3bp1,Stress/PQC,stress_granule_g3bp1:24,157307,148862,8445,157307,148862,1000,3999,1242842,1242842,88366,167119,157391,157307,157307,37
35,Biohub_OPS0039,148761,136610,12151,969,3874,3,6960,3113,736,2377,446,172,1,early_endosome_eea1,Endosome,early_endosome_eea1:24,139936,132634,7302,139936,132634,1000,3998,1114138,1114138,66757,147503,140076,139936,139936,39
