assay_key	reporter_slug	display_name	biological_category	screen_id	screen_number	screen_group	figure_row	figure_column	gene_guide_concordant_exact_links	targeting_exact_links	control_exact_links	marker_area_pt2	is_anchor
late_endosome_rab7a::Biohub_OPS0014	late_endosome_rab7a	RAB7A	Endosome	Biohub_OPS0014	14	Single-reporter	0	0	54886	52170	2716	7.655574023921053	False
late_endosome_rab7a::Biohub_OPS0026	late_endosome_rab7a	RAB7A	Endosome	Biohub_OPS0026	26	Single-reporter	0	1	69290	65823	3467	9.664663559331885	False
recycling_endosome_tfrc::Biohub_OPS0027	recycling_endosome_tfrc	TFRC	Endosome	Biohub_OPS0027	27	Single-reporter	1	2	96125	91896	4229	13.407645903316169	False
recycling_endosome_tfrc::Biohub_OPS0060	recycling_endosome_tfrc	TFRC	Endosome	Biohub_OPS0060	60	Single-reporter	1	3	144311	137276	7035	20.12869480315693	False
endosome_vps35::Biohub_OPS0013	endosome_vps35	VPS35	Endosome	Biohub_OPS0013	13	Single-reporter	2	4	82554	78601	3953	11.514744342287262	False
endosome_vps35::Biohub_OPS0025	endosome_vps35	VPS35	Endosome	Biohub_OPS0025	25	Single-reporter	2	5	97931	93556	4375	13.65954924273244	False
early_endosome_eea1::Biohub_OPS0039	early_endosome_eea1	EEA1	Endosome	Biohub_OPS0039	39	Single-reporter	3	6	139936	132634	7302	19.518463845268677	False
lysosome_lysotracker_live-cell_dye::Biohub_OPS0044	lysosome_lysotracker_live-cell_dye	LysoTracker	Lysosome	Biohub_OPS0044	44	Single-reporter	4	7	57373	54295	3078	8.002464170725187	False
lysosome_lysotracker_live-cell_dye::Biohub_OPS0055	lysosome_lysotracker_live-cell_dye	LysoTracker	Lysosome	Biohub_OPS0055	55	Single-reporter	4	8	129331	122531	6800	18.039264003347554	False
lysosome_lysotracker_live-cell_dye::Biohub_OPS0056	lysosome_lysotracker_live-cell_dye	LysoTracker	Lysosome	Biohub_OPS0056	56	Single-reporter	4	9	102030	96815	5215	14.231283344763057	False
autophagosome_map1lc3b::Biohub_OPS0016	autophagosome_map1lc3b	MAP1LC3B	Lysosome	Biohub_OPS0016	16	Single-reporter	5	10	120397	114988	5409	16.79313751699929	False
autophagosome_map1lc3b::Biohub_OPS0017	autophagosome_map1lc3b	MAP1LC3B	Lysosome	Biohub_OPS0017	17	Single-reporter	5	11	130085	124428	5657	18.144432950147035	False
autophagosome_map1lc3b::Biohub_OPS0040	autophagosome_map1lc3b	MAP1LC3B	Lysosome	Biohub_OPS0040	40	Single-reporter	5	12	108630	102946	5684	15.151860332663048	False
autophagosome_atg101::Biohub_OPS0031	autophagosome_atg101	ATG101	Lysosome	Biohub_OPS0031	31	Single-reporter	6	13	97336	92566	4770	13.576557832459638	False
autophagosome_atg101::Biohub_OPS0054	autophagosome_atg101	ATG101	Lysosome	Biohub_OPS0054	54	Single-reporter	6	14	69650	65910	3740	9.714876849580975	False
lipid_droplet_bodipy_live_cell_dye::Biohub_OPS0034	lipid_droplet_bodipy_live_cell_dye	BODIPY	Lysosome	Biohub_OPS0034	34	Single-reporter	7	15	59303	56393	2910	8.271663199005033	False
lipid_droplet_bodipy_live_cell_dye::Biohub_OPS0066	lipid_droplet_bodipy_live_cell_dye	BODIPY	Lysosome	Biohub_OPS0066	66	Single-reporter	7	16	95146	90086	5060	13.271093650111004	False
clathrin_vesicles_clta::Biohub_OPS0018	clathrin_vesicles_clta	CLTA	Lysosome	Biohub_OPS0018	18	Single-reporter	8	17	60298	57256	3042	8.410447153999048	False
clathrin_vesicles_clta::Biohub_OPS0019	clathrin_vesicles_clta	CLTA	Lysosome	Biohub_OPS0019	19	Single-reporter	8	18	110369	104686	5683	15.394418420838516	False
lysosome_lamp1::Biohub_OPS0011	lysosome_lamp1	LAMP1	Lysosome	Biohub_OPS0011	11	Single-reporter	9	19	38200	36422	1778	5.328188020875711	True
lysosome_lamp1::Biohub_OPS0012	lysosome_lamp1	LAMP1	Lysosome	Biohub_OPS0012	12	Single-reporter	9	20	86670	82555	4115	12.08884962746853	True
lipid_droplet_plin2::Biohub_OPS0022	lipid_droplet_plin2	PLIN2	Lysosome	Biohub_OPS0022	22	Single-reporter	10	21	87785	83638	4147	12.244371345878907	False
lipid_droplet_plin2::Biohub_OPS0065	lipid_droplet_plin2	PLIN2	Lysosome	Biohub_OPS0065	65	Multi-reporter	10	56	93009	88316	4693	12.973021979937931	False
er_sec61b::Biohub_OPS0001	er_sec61b	SEC61B	ER/Golgi	Biohub_OPS0001	1	Multi-reporter	11	58	116789	111409	5380	16.289888763613963	False
er_sec61b::Biohub_OPS0005	er_sec61b	SEC61B	ER/Golgi	Biohub_OPS0005	5	Multi-reporter	11	59	85177	81152	4025	11.880603954296607	False
er_sec61b::Biohub_OPS0006	er_sec61b	SEC61B	ER/Golgi	Biohub_OPS0006	6	Multi-reporter	11	60	74138	70677	3461	10.34086920135297	False
er_sec61b::Biohub_OPS0007	er_sec61b	SEC61B	ER/Golgi	Biohub_OPS0007	7	Multi-reporter	11	61	31758	30305	1453	4.429649088140597	False
er_sec61b::Biohub_OPS0008	er_sec61b	SEC61B	ER/Golgi	Biohub_OPS0008	8	Multi-reporter	11	62	79061	75601	3460	11.027535945509282	False
er_sec61b::Biohub_OPS0009	er_sec61b	SEC61B	ER/Golgi	Biohub_OPS0009	9	Multi-reporter	11	63	46428	44153	2275	6.475840665791034	False
er_golgi_cope::Biohub_OPS0023	er_golgi_cope	COPE	ER/Golgi	Biohub_OPS0023	23	Single-reporter	12	22	116823	110873	5950	16.294631129915263	False
er_golgi_cope::Biohub_OPS0074	er_golgi_cope	COPE	ER/Golgi	Biohub_OPS0074	74	Multi-reporter	12	57	110032	104769	5263	15.347413201910895	False
trans-golgi_vamp3::Biohub_OPS0030	trans-golgi_vamp3	VAMP3	ER/Golgi	Biohub_OPS0030	30	Single-reporter	13	23	87806	83612	4194	12.24730045447677	False
trans-golgi_vamp3::Biohub_OPS0059	trans-golgi_vamp3	VAMP3	ER/Golgi	Biohub_OPS0059	59	Single-reporter	13	24	118777	112832	5945	16.567177710878383	False
er_golgi_bridge_vapa::Biohub_OPS0020	er_golgi_bridge_vapa	VAPA	ER/Golgi	Biohub_OPS0020	20	Single-reporter	14	25	101670	96846	4824	14.181070054513965	False
er_golgi_bridge_vapa::Biohub_OPS0021	er_golgi_bridge_vapa	VAPA	ER/Golgi	Biohub_OPS0021	21	Single-reporter	14	26	135855	129457	6398	18.949240407750516	False
er_cona::Biohub_OPS0043	er_cona	ConA	ER/Golgi	Biohub_OPS0043	43	Multi-reporter	15	65	111573	105887	5686	15.562353980449362	False
er_ncln::Biohub_OPS0052	er_ncln	NCLN	ER/Golgi	Biohub_OPS0052	52	Single-reporter	16	27	132163	125564	6599	18.43427521997373	False
er_golgi_cop-ii_sec23a::Biohub_OPS0035	er_golgi_cop-ii_sec23a	SEC23A	ER/Golgi	Biohub_OPS0035	35	Single-reporter	17	28	130846	124430	6416	18.250578266479142	False
actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0033	actin_filament_fastact_spy555_live_cell_dye	FastAct	Cytoskeleton	Biohub_OPS0033	33	Single-reporter	18	29	147412	139635	7777	20.56122650610812	False
actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0076	actin_filament_fastact_spy555_live_cell_dye	FastAct	Cytoskeleton	Biohub_OPS0076	76	Single-reporter	18	30	49615	47117	2498	6.9203677658572875	False
actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0065	actin_filament_fastact_spy555_live_cell_dye	FastAct	Cytoskeleton	Biohub_OPS0065	65	Multi-reporter	18	56	92947	88293	4654	12.964374135506143	False
actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0074	actin_filament_fastact_spy555_live_cell_dye	FastAct	Cytoskeleton	Biohub_OPS0074	74	Multi-reporter	18	57	109969	104747	5222	15.338625876117304	False
actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0072	actin_filament_fastact_spy555_live_cell_dye	FastAct	Cytoskeleton	Biohub_OPS0072	72	Multi-reporter	18	64	121173	115483	5690	16.901375053758443	False
microtubules_map4::Biohub_OPS0046	microtubules_map4	MAP4	Cytoskeleton	Biohub_OPS0046	46	Single-reporter	19	31	153231	145439	7792	21.372868550439946	False
f-actin_phalloidin::Biohub_OPS0043	f-actin_phalloidin	Phalloidin	Cytoskeleton	Biohub_OPS0043	43	Multi-reporter	20	65	111573	105887	5686	15.562353980449362	False
microtubules_tubulin::Biohub_OPS0043	microtubules_tubulin	Tubulin	Cytoskeleton	Biohub_OPS0043	43	Multi-reporter	21	65	111573	105887	5686	15.562353980449362	False
peroxisome_peroxi_spy650_live_cell_dye::Biohub_OPS0045	peroxisome_peroxi_spy650_live_cell_dye	Peroxi	Peroxisome	Biohub_OPS0045	45	Multi-reporter	22	66	98157	93175	4982	13.691072030499924	False
peroxisome_peroxi_spy650_live_cell_dye::Biohub_OPS0057	peroxisome_peroxi_spy650_live_cell_dye	Peroxi	Peroxisome	Biohub_OPS0057	57	Multi-reporter	22	67	99468	94387	5081	13.873932095823696	False
5xupre::Biohub_OPS0001	5xupre	5xUPRE	Stress/PQC	Biohub_OPS0001	1	Multi-reporter	23	58	116789	111409	5380	16.289888763613963	False
5xupre::Biohub_OPS0005	5xupre	5xUPRE	Stress/PQC	Biohub_OPS0005	5	Multi-reporter	23	59	85177	81152	4025	11.880603954296607	False
5xupre::Biohub_OPS0006	5xupre	5xUPRE	Stress/PQC	Biohub_OPS0006	6	Multi-reporter	23	60	74138	70677	3461	10.34086920135297	False
5xupre::Biohub_OPS0007	5xupre	5xUPRE	Stress/PQC	Biohub_OPS0007	7	Multi-reporter	23	61	31758	30305	1453	4.429649088140597	False
5xupre::Biohub_OPS0008	5xupre	5xUPRE	Stress/PQC	Biohub_OPS0008	8	Multi-reporter	23	62	79061	75601	3460	11.027535945509282	False
5xupre::Biohub_OPS0009	5xupre	5xUPRE	Stress/PQC	Biohub_OPS0009	9	Multi-reporter	23	63	46428	44153	2275	6.475840665791034	False
caspase_activity_cellevent-caspase_live-cell_dye::Biohub_OPS0050	caspase_activity_cellevent-caspase_live-cell_dye	Caspase	Stress/PQC	Biohub_OPS0050	50	Single-reporter	24	32	104880	99384	5496	14.628805225901688	False
caspase_activity_cellevent-caspase_live-cell_dye::Biohub_OPS0073	caspase_activity_cellevent-caspase_live-cell_dye	Caspase	Stress/PQC	Biohub_OPS0073	73	Single-reporter	24	33	52300	49684	2616	7.294875222298421	False
chaperones_hspa1b::Biohub_OPS0028	chaperones_hspa1b	HSPA1B	Stress/PQC	Biohub_OPS0028	28	Single-reporter	25	34	72088	68798	3290	10.05493240965676	False
chaperones_hspa1b::Biohub_OPS0072	chaperones_hspa1b	HSPA1B	Stress/PQC	Biohub_OPS0072	72	Multi-reporter	25	64	121268	115519	5749	16.91462578312973	False
proteasome_psmb7::Biohub_OPS0029	proteasome_psmb7	PSMB7	Stress/PQC	Biohub_OPS0029	29	Single-reporter	26	35	96411	91798	4613	13.447537572791836	False
proteasome_psmb7::Biohub_OPS0070	proteasome_psmb7	PSMB7	Stress/PQC	Biohub_OPS0070	70	Single-reporter	26	36	101203	95926	5277	14.11593225855195	False
stress_granule_g3bp1::Biohub_OPS0037	stress_granule_g3bp1	G3BP1	Stress/PQC	Biohub_OPS0037	37	Single-reporter	27	37	157307	148862	8445	21.941394581149094	False
chromalive_488_excitation::Biohub_OPS0002	chromalive_488_excitation	ChromaLIVE 488	Mitochondria	Biohub_OPS0002	2	Single-reporter	28	38	48117	45760	2357	6.7114246858763495	False
chromalive_488_excitation::Biohub_OPS0051	chromalive_488_excitation	ChromaLIVE 488	Mitochondria	Biohub_OPS0051	51	Single-reporter	28	39	140498	132657	7841	19.59685237060198	False
mitochondria_chromalive_561_excitation::Biohub_OPS0063	mitochondria_chromalive_561_excitation	ChromaLIVE 561	Mitochondria	Biohub_OPS0063	63	Single-reporter	29	40	103307	97749	5558	14.409401043785524	False
