reporter_slug	display_name	biological_category	n_screens	screen_ids	n_exact_assay_cell_links	figure_row	label_flag	label_reason
late_endosome_rab7a	RAB7A	Endosome	2	Biohub_OPS0014;Biohub_OPS0026	124176	0	True	manuscript_case;system_representative;alternating_fill
recycling_endosome_tfrc	TFRC	Endosome	2	Biohub_OPS0027;Biohub_OPS0060	240436	1	False	
endosome_vps35	VPS35	Endosome	2	Biohub_OPS0013;Biohub_OPS0025	180485	2	True	alternating_fill
early_endosome_eea1	EEA1	Endosome	1	Biohub_OPS0039	139936	3	False	
lysosome_lysotracker_live-cell_dye	LysoTracker	Lysosome	3	Biohub_OPS0044;Biohub_OPS0055;Biohub_OPS0056	288734	4	True	manuscript_case;repeated_ge3_screens;system_representative;alternating_fill
autophagosome_map1lc3b	MAP1LC3B	Lysosome	3	Biohub_OPS0016;Biohub_OPS0017;Biohub_OPS0040	359112	5	True	manuscript_case;repeated_ge3_screens
autophagosome_atg101	ATG101	Lysosome	2	Biohub_OPS0031;Biohub_OPS0054	166986	6	True	alternating_fill
lipid_droplet_bodipy_live_cell_dye	BODIPY	Lysosome	2	Biohub_OPS0034;Biohub_OPS0066	154449	7	False	
clathrin_vesicles_clta	CLTA	Lysosome	2	Biohub_OPS0018;Biohub_OPS0019	170667	8	True	alternating_fill
lysosome_lamp1	LAMP1	Lysosome	2	Biohub_OPS0011;Biohub_OPS0012	124870	9	True	manuscript_case
lipid_droplet_plin2	PLIN2	Lysosome	2	Biohub_OPS0022;Biohub_OPS0065	180794	10	True	alternating_fill
er_sec61b	SEC61B	ER/Golgi	6	Biohub_OPS0001;Biohub_OPS0005;Biohub_OPS0006;Biohub_OPS0007;Biohub_OPS0008;Biohub_OPS0009	433351	11	True	manuscript_case;repeated_ge3_screens;system_representative
er_golgi_cope	COPE	ER/Golgi	2	Biohub_OPS0023;Biohub_OPS0074	226855	12	False	
trans-golgi_vamp3	VAMP3	ER/Golgi	2	Biohub_OPS0030;Biohub_OPS0059	206583	13	False	
er_golgi_bridge_vapa	VAPA	ER/Golgi	2	Biohub_OPS0020;Biohub_OPS0021	237525	14	False	
er_cona	ConA	ER/Golgi	1	Biohub_OPS0043	111573	15	False	
er_ncln	NCLN	ER/Golgi	1	Biohub_OPS0052	132163	16	False	
er_golgi_cop-ii_sec23a	SEC23A	ER/Golgi	1	Biohub_OPS0035	130846	17	True	manuscript_case
actin_filament_fastact_spy555_live_cell_dye	FastAct	Cytoskeleton	5	Biohub_OPS0033;Biohub_OPS0065;Biohub_OPS0072;Biohub_OPS0074;Biohub_OPS0076	521116	18	True	manuscript_case;repeated_ge3_screens;system_representative
microtubules_map4	MAP4	Cytoskeleton	1	Biohub_OPS0046	153231	19	False	
f-actin_phalloidin	Phalloidin	Cytoskeleton	1	Biohub_OPS0043	111573	20	False	
microtubules_tubulin	Tubulin	Cytoskeleton	1	Biohub_OPS0043	111573	21	False	
peroxisome_peroxi_spy650_live_cell_dye	Peroxi	Peroxisome	2	Biohub_OPS0045;Biohub_OPS0057	197625	22	True	manuscript_case;system_representative
5xupre	5xUPRE	Stress/PQC	6	Biohub_OPS0001;Biohub_OPS0005;Biohub_OPS0006;Biohub_OPS0007;Biohub_OPS0008;Biohub_OPS0009	433351	23	True	manuscript_case;repeated_ge3_screens;system_representative
caspase_activity_cellevent-caspase_live-cell_dye	Caspase	Stress/PQC	2	Biohub_OPS0050;Biohub_OPS0073	157180	24	False	
chaperones_hspa1b	HSPA1B	Stress/PQC	2	Biohub_OPS0028;Biohub_OPS0072	193356	25	True	manuscript_case
proteasome_psmb7	PSMB7	Stress/PQC	2	Biohub_OPS0029;Biohub_OPS0070	197614	26	False	
stress_granule_g3bp1	G3BP1	Stress/PQC	1	Biohub_OPS0037	157307	27	False	
