reporter_slug,marker,short_name,biological_category,category_color,category_rank,n_screens,screen_ids,is_repeated_target,n_exact_assay_cell_links,n_targeting_links,n_control_links,n_target_kos,n_target_guides,n_target_features,n_technical_core_features,source_fluorescence_object_rows,rows_with_mappable_well_tile,duplicate_fluorescence_coordinate_rows_excluded,phase_unique_coordinate_rows_across_assays,coordinate_matches,op_matches,coordinate_match_fraction_of_phase_unique_rows,op_match_fraction_of_coordinate_matches,gene_guide_concordance_fraction_of_op_matches,target_feature_schema,selected_organelles,feature_selection_rule,remote_source_size_gib,cache_size_mib,cache_sha256
oxidative_stress_cellrox_live-cell_dye,"oxidative stress, CellROX live-cell dye",CellROX live-cell dye,Signaling,#7B6597,1,2,Biohub_OPS0048;Biohub_OPS0069,True,269638,255556,14082,1000,4000,24,24,2125010,2125010,168886,289021,269975,269638,0.9341016742728036,0.9987517362718772,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,5.796676550060511,19.405946731567383,d3c03bd1c281b83011e199862f6fbfb37fcf875745a809eede7000d357e083f7
fe2+_ferhonox_live-cell_dye,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,#7B6597,1,2,Biohub_OPS0047;Biohub_OPS0067,True,211029,200122,10907,1000,4000,24,24,1669916,1669916,119961,224847,211458,211029,0.9404528412653936,0.9979712283290298,1.0,OrganelleProfiler,mcherry,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,5.264151528477669,18.327555656433105,526e4bb879673c29044d6bbb2ebb108ef2bd075027a47e8b1ebd63192d1d2a14
b-catenin,b-catenin (4i),b-catenin*,Signaling,#7B6597,1,1,Biohub_OPS0077,False,90286,85290,4996,1000,3998,30,30,759069,759069,0,104305,104305,90286,1.0,0.865596088394612,1.0,single-object CellProfiler-style,marker-specific-4i,marker-specific CellProfiler single-object intensity features,2.3023641230538487,8.24274730682373,629720a083eebe92074a0b2c27b5403df00f5c82210e5420603c80623afd5d32
c-myc,c-Myc (4i),c-Myc*,Signaling,#7B6597,1,1,Biohub_OPS0077,False,90286,85290,4996,1000,3998,30,30,759069,759069,0,104305,104305,90286,1.0,0.865596088394612,1.0,single-object CellProfiler-style,marker-specific-4i,marker-specific CellProfiler single-object intensity features,2.297309649176896,8.345541954040527,9b2fb02fb86a01488b9d8311e9f5c0270bd5e72d1789b275eda642cd26f9042f
p21,p21 (4i),p21*,Signaling,#7B6597,1,1,Biohub_OPS0077,False,90286,85290,4996,1000,3998,30,30,759069,759069,0,104305,104305,90286,1.0,0.865596088394612,1.0,single-object CellProfiler-style,marker-specific-4i,marker-specific CellProfiler single-object intensity features,2.9222818771377206,8.286166191101074,4fcbfcbf7c31e39dff1dc95bb889912ac33bed3e3ae120873042cf54659e6e99
p53,p53 (4i),p53*,Signaling,#7B6597,1,1,Biohub_OPS0077,False,90286,85290,4996,1000,3998,30,30,759069,759069,0,104305,104305,90286,1.0,0.865596088394612,1.0,single-object CellProfiler-style,marker-specific-4i,marker-specific CellProfiler single-object intensity features,2.9222818771377206,8.324750900268555,6d8731130dae275c2207271e88d2c8145067807dc8f03d20d84b4928c17cc466
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,"endocytic vesicle pH, pHrodo-dextran Live Cell Dye",pHrodo-dextran Live Cell Dye,Signaling,#7B6597,1,2,Biohub_OPS0053;Biohub_OPS0064,True,238077,225651,12426,1000,3998,72,24,1881932,1881932,132692,253075,238369,238077,0.9418907438506372,0.9987750084952322,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,5.474925896152854,23.69713497161865,fd2e4fdfe65887a6897810c3088b59b057f4bc68f8de5c1a9164afcdd6674d05
prb,pRb (4i),pRb*,Signaling,#7B6597,1,1,Biohub_OPS0077,False,90286,85290,4996,1000,3998,30,30,759069,759069,0,104305,104305,90286,1.0,0.865596088394612,1.0,single-object CellProfiler-style,marker-specific-4i,marker-specific CellProfiler single-object intensity features,2.9222818771377206,8.374744415283203,01baab01d68b90175090b4871d9161b37786b47a966e81507f71feef01f2e901
ps6,pS6 (4i),pS6*,Signaling,#7B6597,1,1,Biohub_OPS0077,False,90286,85290,4996,1000,3998,30,30,759069,759069,0,104305,104305,90286,1.0,0.865596088394612,1.0,single-object CellProfiler-style,marker-specific-4i,marker-specific CellProfiler single-object intensity features,2.9222818771377206,8.325260162353516,dc56161d518eba8e69eedbcad06e54d0cfd1121050d1b1211dfc9d01f0081f77
nucleolus-dfc_fbl,"nucleolus-DFC, FBL",FBL,Nucleus,#3E6F9C,2,2,Biohub_OPS0041;Biohub_OPS0062,True,224402,214100,10302,1000,3998,24,24,1707291,1707291,116582,238091,224671,224402,0.9436349967029412,0.99880269371659,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,5.230381828732789,20.199670791625977,3e96f2f34d35fa6465bc0d3ec0fb7d8106bbb51f53f7121aaa0aa3cc0b67851c
chromatin_h2bc21,"chromatin, H2BC21",H2BC21,Nucleus,#3E6F9C,2,2,Biohub_OPS0064;Biohub_OPS0069,True,306698,290795,15903,1000,3998,24,24,2430144,2430144,198721,329193,306975,306698,0.9325076778667832,0.9990976463881424,1.0,OrganelleProfiler,mcherry,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,7.044277134351432,24.76634311676025,db69cecdd050c13d91e3339f148084a74f83cc0c32b731db3713f427c673f6ac
nuclei_hoechst,"nuclei, Hoechst (cp)",Hoechst*,Nucleus,#3E6F9C,2,1,Biohub_OPS0043,False,111573,105887,5686,1000,3991,72,60,1069734,1069734,0,147192,147192,111573,1.0,0.7580099461927279,1.0,OrganelleProfiler,nuclei,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,1.9959962256252768,14.673700332641602,6fea73b5c7751e60c766192dbb024b698997a98b3b196f34db06324772b9dafb
cell_proliferation_marker_mki67,"cell proliferation marker, MKI67",MKI67*,Nucleus,#3E6F9C,2,2,Biohub_OPS0045;Biohub_OPS0057,True,197625,187562,10063,1000,3999,72,24,1556607,1556607,119592,211221,197907,197625,0.9369664948087548,0.9985750882990496,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,4.509435785003007,13.914666175842283,a596c5fb983c9bc58831239ef2970c9fcc10ace7513271729ce4f4424a500157
