gene,mean_response_percentile
AACS,0.28407692307692306
AARS,0.30138461538461536
AATF,0.447
ABCE1,0.5822884615384616
ABHD10,0.3507115384615384
ABHD16A,0.4519230769230769
ACSL4,0.3007115384615384
ACSS2,0.4293846153846154
ACTR3,0.47067307692307686
ADAMTS18,0.4161538461538462
ADAMTS4,0.4246923076923077
ADAT3,0.3943076923076924
ADRA2C,0.4020961538461538
ADRB2,0.29584615384615387
ADRM1,0.4036153846153846
ADSS,0.3077884615384615
AGAP4,0.8863461538461538
AGAP9,0.907903846153846
AHCYL1,0.3097499999999999
AKR1C3,0.36769230769230765
ALAS1,0.4263269230769231
ALG12,0.3357115384615384
ALKBH8,0.37148076923076917
ALYREF,0.5609807692307692
AMIGO3,0.3860961538461538
AMMECR1,0.2639423076923077
ANP32B,0.4807307692307693
AP1M1,0.4481153846153846
AP1S1,0.37265384615384617
AP2A1,0.3985384615384616
AP2M1,0.3409038461538462
AP2S1,0.5930192307692308
AP3M1,0.41432692307692304
AP3M2,0.44830769230769224
AP3S1,0.6165
APC,0.4150961538461538
AQP7,0.840576923076923
ARGLU1,0.49601923076923077
ARHGAP22,0.4829230769230769
ARHGEF9,0.36365384615384616
ARID5B,0.39830769230769236
ARL2,0.5037884615384616
ARNT2,0.46242307692307694
ARPC2,0.42859615384615385
ARPC3,0.6180576923076924
ARPC4,0.5209807692307693
ARPP19,0.618923076923077
ASCC3,0.32736538461538467
ASF1B,0.47934615384615376
ASNA1,0.36328846153846145
ASNS,0.38153846153846155
ATAD3A,0.31007692307692314
ATF6,0.526326923076923
ATG9A,0.44040384615384615
ATIC,0.36836538461538465
ATP5F1B,0.5262500000000001
ATP5ME,0.31107692307692303
ATP6V0A1,0.5372307692307691
ATP6V0A2,0.41023076923076923
ATP6V1B2,0.5720576923076923
ATP6V1H,0.46076923076923076
ATRX,0.39432692307692313
ATXN10,0.27053846153846156
ATXN7L3,0.45251923076923084
AURKB,0.9205384615384614
B3GAT3,0.40946153846153843
B3GNT2,0.43515384615384617
B4GALT3,0.5391538461538462
B4GALT5,0.33442307692307693
BEND3,0.66225
BEND6,0.37376923076923074
BET1,0.367798076923077
BLOC1S2,0.40113461538461526
BLOC1S6,0.31124999999999997
BMS1,0.6511346153846154
BORCS7,0.42513461538461544
BORCS8,0.36667307692307693
BRCA1,0.6062307692307694
BRD8,0.6012884615384615
BRD9,0.3942307692307692
BRK1,0.47628846153846155
BTAF1,0.37548076923076923
BTBD9,0.41625
BTF3L4,0.7879615384615384
BUB1B,0.7054807692307692
BUD31,0.7829230769230768
C12orf45,0.5249615384615386
C1D,0.3576153846153846
C1QBP,0.48355769230769236
C2orf27B,0.9652884615384617
C5orf22,0.40619230769230763
C5orf30,0.35825000000000007
CA13,0.34403846153846157
CA5A,0.5471923076923075
CA7,0.3513269230769231
CABIN1,0.47907692307692307
CACNA1D,0.30890384615384614
CACNB1,0.5105192307692308
CAD,0.3864423076923078
CALM1,0.4016153846153847
CALM3,0.42480769230769233
CAPN12,0.6126730769230769
CAPZB,0.6112115384615384
CARS,0.4225192307692307
CASP3,0.20596153846153845
CBWD1,0.9074807692307691
CBWD2,0.6603653846153847
CBWD3,0.8780192307692306
CCDC174,0.5026730769230768
CCDC59,0.45401923076923073
CCNB1,0.5608653846153847
