reporter_slug,modality,display_column,feature_class
fe2+_ferhonox_live-cell_dye,phase,0,cell
fe2+_ferhonox_live-cell_dye,phase,1,cell
fe2+_ferhonox_live-cell_dye,phase,2,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,3,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,4,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,5,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,6,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,7,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,8,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,9,cell
fe2+_ferhonox_live-cell_dye,phase,10,cell
fe2+_ferhonox_live-cell_dye,phase,11,cell
fe2+_ferhonox_live-cell_dye,phase,12,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,13,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,14,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,15,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,16,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,17,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,18,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,19,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,20,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,21,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,22,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,23,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,24,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,25,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,26,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,27,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,28,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,29,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,30,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,31,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,32,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,33,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,34,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,35,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,36,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,37,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,38,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,39,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,40,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,41,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,42,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,43,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,44,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,45,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,46,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,47,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,48,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,49,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,50,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,51,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,52,cell
fe2+_ferhonox_live-cell_dye,phase,53,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,54,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,55,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,56,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,57,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,58,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,59,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,60,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,61,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,62,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,63,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,64,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,65,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,66,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,67,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,68,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,69,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,70,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,71,cell
fe2+_ferhonox_live-cell_dye,phase,72,cell
fe2+_ferhonox_live-cell_dye,phase,73,cell
fe2+_ferhonox_live-cell_dye,phase,74,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,75,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,76,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,77,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,78,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,79,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,80,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,81,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,82,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,83,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,84,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,85,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,86,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,87,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,88,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,89,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,90,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,91,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,92,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,93,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,94,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,95,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,96,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,97,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,98,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,99,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,100,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,101,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,102,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,103,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,104,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,105,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,106,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,107,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,108,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,109,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,110,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,111,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,112,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,113,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,114,phase2d_tubular
