gene,n_targeting_cells
AACS,200
AARS,206
AATF,220
ABCE1,191
ABHD10,178
ABHD16A,199
ACSL4,234
ACSS2,218
ACTR3,256
ADAMTS18,207
ADAMTS4,196
ADAT3,198
ADRA2C,224
ADRB2,197
ADRM1,190
ADSS,213
AGAP4,183
AGAP9,225
AHCYL1,240
AKR1C3,202
ALAS1,221
ALG12,248
ALKBH8,223
ALYREF,227
AMIGO3,269
AMMECR1,178
ANP32B,173
AP1M1,216
AP1S1,207
AP2A1,221
AP2M1,206
AP2S1,202
AP3M1,220
AP3M2,188
AP3S1,167
APC,203
AQP7,184
ARGLU1,201
ARHGAP22,196
ARHGEF9,232
ARID5B,214
ARL2,233
ARNT2,191
ARPC2,192
ARPC3,210
ARPC4,222
ARPP19,214
ASCC3,171
ASF1B,219
ASNA1,257
ASNS,228
ATAD3A,237
ATF6,197
ATG9A,200
ATIC,212
ATP5F1B,210
ATP5ME,166
ATP6V0A1,197
ATP6V0A2,191
ATP6V1B2,178
ATP6V1H,208
ATRX,176
ATXN10,160
ATXN7L3,182
AURKB,175
B3GAT3,214
B3GNT2,145
B4GALT3,225
B4GALT5,223
BEND3,197
BEND6,193
BET1,263
BLOC1S2,207
BLOC1S6,201
BMS1,187
BORCS7,201
BORCS8,169
BRCA1,177
BRD8,158
BRD9,171
BRK1,198
BTAF1,206
BTBD9,219
BTF3L4,174
BUB1B,200
BUD31,186
C12orf45,174
C1D,210
C1QBP,193
C2orf27B,163
C5orf22,238
C5orf30,197
CA13,257
CA5A,198
CA7,183
CABIN1,221
CACNA1D,231
CACNB1,237
CAD,182
CALM1,198
CALM3,231
CAPN12,186
CAPZB,158
CARS,191
CASP3,209
CBWD1,158
CBWD2,195
CBWD3,181
CCDC174,188
CCDC59,208
CCNB1,177
CCNC,206
CCND3,197
CCNF,192
CCNG1,222
CCNH,218
CCR2,196
CCT3,179
CCT4,181
CCT6A,205
CCT7,205
CD164,218
CD2BP2,176
CD3EAP,209
CD4,229
CD5,218
CD9,243
CDC27,205
CDC45,157
CDC5L,183
CDH15,236
CDIPT,186
CDK7,190
CENPA,221
CENPC,149
CENPH,158
CENPW,195
CEP135,210
CEP350,190
CEP55,179
CEP85,177
CERCAM,188
CERS6,185
CFL1,210
CHD1,203
CHD4,176
CHERP,148
CHMP1A,233
CHMP2A,259
CHMP4B,210
CHMP4C,227
CHMP5,195
CHMP6,149
CHMP7,191
CHST12,215
CHTF8,202
CIAO1,180
CIAPIN1,186
CIT,215
CLASP1,137
CLDN15,207
CLK3,223
CMTR1,172
CNOT1,201
CNOT10,238
CNOT11,220
CNOT2,235
CNOT4,170
COA4,184
COA5,209
COG3,164
COG4,222
COG6,200
COG7,179
COG8,213
COL18A1,185
COL9A1,199
COMMD4,215
COMMD5,192
COMTD1,162
COPA,140
COPB1,164
COPB2,164
COPS2,121
COPS3,206
COPS4,212
COPS5,174
COPS6,174
COPS8,188
COPZ1,203
COQ10B,175
COQ4,204
COQ7,187
COX11,187
COX14,208
COX15,207
COX7B,184
COX7C,179
CPOX,252
CPSF2,196
CPSF3,169
CPSF6,227
CRAT,216
CREBBP,179
CSE1L,165
CSNK2A2,197
CSNK2A3,221
CTDSP1,199
CTDSPL2,165
CTPS2,206
CTSG,216
CTU1,191
CTU2,199
CUL1,222
CUL2,180
CYP26C1,209
CYP2C18,223
CYP4V2,212
DAD1,190
DARS,216
DCAF11,214
DCAF7,212
DCTN4,201
DCTN5,211
DDB1,203
DDI2,192
DDOST,185
DDRGK1,208
DDX18,159
DDX39B,187
DDX46,237
DDX47,216
DDX52,185
DENR,220
DERL2,188
DGCR8,257
DGKD,189
DHDDS,219
DHRS9,219
DHX30,196
DHX9,227
DIS3L2,228
DLD,177
DLG4,190
DMRTC2,172
DNAJA3,257
DNAJC19,200
DNASE1L1,199
DNMT1,183
DPH2,188
DPH3,182
DRAP1,170
DUT,217
DYNC1H1,216
DYNC1I2,225
DYNC1LI1,210
DYNC1LI2,236
DYNLL1,185
DYNLL2,166
DYRK1A,210
EBF1,202
ECT2,216
EFR3A,217
EFTUD2,229
EGFL7,200
EIF1AD,223
EIF2AK3,216
EIF2B2,175
EIF2B3,179
EIF2B4,191
EIF2B5,202
EIF2S1,192
EIF2S2,161
EIF3A,156
EIF3B,194
EIF3L,199
EIF3M,162
EIF4A1,176
EIF4G1,210
EIF5B,211
EIF6,176
ELAC2,276
ELAVL1,244
ELOC,192
ELOVL1,176
ELP2,196
ELP4,203
EMC1,233
EMC2,183
EMC3,225
EPB41L2,224
EPRS,203
ERCC3,162
ERCC6,185
ERN1,215
ETHE1,158
ETS1,228
EXOC4,207
EXOC5,227
EXOC7,195
EXOSC3,258
EXOSC5,206
EXOSC6,214
EXOSC8,168
F2,170
FAM83H,235
FANCC,201
FANCG,225
FANCM,210
FARSA,232
FARSB,170
FAT1,200
FAU,147
FBXL4,191
FBXW11,231
FCGR1A,201
FECH,215
FGF1,207
FGF23,191
FGFR1OP,206
FGFR1OP2,251
FIGLA,210
FJX1,234
FKBP9,211
FLII,208
FOXD4L1,167
FOXD4L5,201
FOXK1,206
FOXL2,194
FTH1,177
FTL,262
FTSJ3,196
FUNDC2,215
FZD9,223
GABBR1,245
GABRR3,256
GAK,225
GARS,171
GBF1,148
GGTLC2,239
GINS1,232
GINS2,198
GLB1,228
GMPPB,177
GNG5,198
GNL2,180
GNL3,152
GNL3L,210
GNPNAT1,195
GOLGA2,268
GOLGA6D,184
GOLGA6L1,187
GOLGA8K,186
GOLT1B,184
GPN1,190
GPN2,176
GPS1,217
GPX4,178
GPX8,205
GRB2,205
GRIA3,202
GRPEL1,216
GTF2A1,173
GTF2A2,234
GTF2B,180
GTF2E2,200
GTF3C1,234
GTF3C4,205
GTF3C6,183
GTPBP4,218
H2AFX,228
HAMP,217
HARS,200
HAUS4,197
HAUS5,207
HAUS6,170
HBS1L,218
HDAC3,199
HDAC4,234
HDAC6,223
HECTD1,188
HGS,237
HIC2,207
HIST1H2AI,165
HIST1H2BK,180
HIST2H3D,268
HMGB1,217
HMGB3,233
HMGCR,168
HNRNPH1,159
HNRNPH2,230
HNRNPK,171
HOXB2,261
HSD17B12,206
HSF1,209
HSPA14,197
HSPA5,149
HSPA9,192
HSPB9,193
HSPD1,204
HYOU1,176
IARS2,219
IBA57,217
IDH3A,210
IDH3B,223
IER3IP1,202
IGBP1,193
ILF3,179
IMP4,194
IMPA2,163
IMPDH1,192
IMPDH2,193
INCENP,186
INO80D,224
INO80E,173
INPPL1,218
INTS1,207
INTS10,199
INTS11,156
INTS2,211
INTS5,194
INTS7,216
ITGB1,191
ITPR1,223
IVL,217
IZUMO2,221
JUNB,190
KANSL1,163
KATNBL1,195
KCNG1,225
KCNG4,204
KCTD16,218
