target_feature_name,reporter_slug,marker,short_name,biological_category,screen_ids,measurement_family,measured_signal,inferred_measurement_compartment,numerical_descriptor,official_feature_type,official_compartment,official_channel,official_unit,official_software,official_version,selected_in_technical_core,selection_rule,plain_language_meaning
op_gfp_intensity_min_mean,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_min_mean,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_min_mean fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_min_median,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_min_median,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_min_median fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_min_std,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_min_std,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_min_std fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_min_sum,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_min_sum,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_min_sum fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_min_min,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_min_min,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_min_min fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_min_max,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_min_max,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_min_max fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_max_mean,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_max_mean,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_max_mean fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_max_median,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_max_median,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_max_median fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_max_std,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_max_std,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_max_std fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
op_gfp_intensity_max_sum,lysosome_lamp1,"lysosome, LAMP1",LAMP1,Lysosome,Biohub_OPS0011;Biohub_OPS0012,OrganelleProfiler intensity descriptor,fluorescence intensity,gfp,intensity_max_sum,intensity,gfp,,AU,OrganelleProfiler,,True,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,"A intensity_max_sum fluorescence-intensity statistic for lysosome, LAMP1 measured on gfp. It is one numerical descriptor of the reporter readout, not a separate biological target."
