gene,n_targeting_cells
AACS,95
AARS,119
AATF,104
ABCE1,139
ABHD10,110
ABHD16A,91
ACSL4,109
ACSS2,82
ACTR3,93
ADAMTS18,127
ADAMTS4,143
ADAT3,119
ADRA2C,128
ADRB2,130
ADRM1,115
ADSS,113
AGAP4,126
AGAP9,133
AHCYL1,117
AKR1C3,111
ALAS1,94
ALG12,102
ALKBH8,100
ALYREF,130
AMIGO3,153
AMMECR1,115
ANP32B,99
AP1M1,99
AP1S1,72
AP2A1,131
AP2M1,117
AP2S1,120
AP3M1,115
AP3M2,141
AP3S1,141
APC,129
AQP7,104
ARGLU1,111
ARHGAP22,116
ARHGEF9,116
ARID5B,82
ARL2,121
ARNT2,100
ARPC2,99
ARPC3,109
ARPC4,98
ARPP19,125
ASCC3,115
ASF1B,92
ASNA1,89
ASNS,115
ATAD3A,110
ATF6,104
ATG9A,137
ATIC,116
ATP5F1B,128
ATP5ME,108
ATP6V0A1,111
ATP6V0A2,126
ATP6V1B2,135
ATP6V1H,102
ATRX,109
ATXN10,113
ATXN7L3,126
AURKB,113
B3GAT3,138
B3GNT2,125
B4GALT3,124
B4GALT5,105
BEND3,118
BEND6,117
BET1,116
BLOC1S2,130
BLOC1S6,115
BMS1,133
BORCS7,163
BORCS8,135
BRCA1,115
BRD8,121
BRD9,103
BRK1,76
BTAF1,114
BTBD9,146
BTF3L4,118
BUB1B,131
BUD31,138
C12orf45,94
C1D,86
C1QBP,147
C2orf27B,101
C5orf22,80
C5orf30,96
CA13,79
CA5A,132
CA7,120
CABIN1,160
CACNA1D,104
CACNB1,103
CAD,117
CALM1,112
CALM3,103
CAPN12,129
CAPZB,116
CARS,132
CASP3,115
CBWD1,112
CBWD2,98
CBWD3,140
CCDC174,112
CCDC59,112
CCNB1,152
CCNC,111
CCND3,119
CCNF,121
CCNG1,95
CCNH,129
CCR2,93
CCT3,95
CCT4,95
CCT6A,116
CCT7,113
CD164,125
CD2BP2,121
CD3EAP,124
CD4,99
CD5,123
CD9,106
CDC27,118
CDC45,128
CDC5L,125
CDH15,102
CDIPT,120
CDK7,135
CENPA,109
CENPC,162
CENPH,90
CENPW,80
CEP135,119
CEP350,145
CEP55,107
CEP85,128
CERCAM,119
CERS6,107
CFL1,107
CHD1,110
CHD4,130
CHERP,113
CHMP1A,107
CHMP2A,153
CHMP4B,113
CHMP4C,111
CHMP5,107
CHMP6,96
CHMP7,149
CHST12,120
CHTF8,104
CIAO1,132
CIAPIN1,113
CIT,101
CLASP1,129
CLDN15,113
CLK3,104
CMTR1,119
CNOT1,101
CNOT10,117
CNOT11,124
CNOT2,101
CNOT4,96
COA4,113
COA5,103
COG3,137
COG4,121
COG6,102
COG7,114
COG8,107
COL18A1,113
COL9A1,105
COMMD4,110
COMMD5,113
COMTD1,115
COPA,169
COPB1,125
COPB2,137
COPS2,124
COPS3,122
COPS4,140
COPS5,115
COPS6,104
COPS8,125
COPZ1,163
COQ10B,130
COQ4,126
COQ7,154
COX11,108
COX14,115
COX15,115
COX7B,175
COX7C,141
CPOX,129
CPSF2,126
CPSF3,117
CPSF6,123
CRAT,108
CREBBP,117
CSE1L,151
CSNK2A2,124
CSNK2A3,122
CTDSP1,108
CTDSPL2,105
CTPS2,132
CTSG,119
CTU1,118
CTU2,130
CUL1,99
CUL2,137
CYP26C1,130
