feature_name,phase172_position,aggregation,category,metric,op_units_corrected,organelle,source,unit,zscored_per_batch,official_feature_id,official_feature_name,official_feature_type,official_compartment,official_channel,official_unit,official_software,official_version,in_phase_446d_candidate_panel,in_phase_172d_harmonized_panel,plain_language_meaning
op_phase2d_tubular_distance_from_cell_edge_sum,0,sum,localization,distance_from_cell_edge,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_cell_edge_sum,op_phase2d_tubular_distance_from_cell_edge_sum,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_cell_edge, aggregated by sum; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_cell_edge_mean,1,mean,localization,distance_from_cell_edge,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_cell_edge_mean,op_phase2d_tubular_distance_from_cell_edge_mean,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_cell_edge, aggregated by mean; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_cell_edge_median,2,median,localization,distance_from_cell_edge,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_cell_edge_median,op_phase2d_tubular_distance_from_cell_edge_median,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_cell_edge, aggregated by median; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_cell_edge_std,3,std,localization,distance_from_cell_edge,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_cell_edge_std,op_phase2d_tubular_distance_from_cell_edge_std,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_cell_edge, aggregated by std; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_cell_edge_min,4,min,localization,distance_from_cell_edge,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_cell_edge_min,op_phase2d_tubular_distance_from_cell_edge_min,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_cell_edge, aggregated by min; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_cell_edge_max,5,max,localization,distance_from_cell_edge,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_cell_edge_max,op_phase2d_tubular_distance_from_cell_edge_max,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_cell_edge, aggregated by max; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_cell_edge_count,6,count,localization,distance_from_cell_edge,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_cell_edge_count,op_phase2d_tubular_distance_from_cell_edge_count,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_cell_edge, aggregated by count; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_nucleus_sum,7,sum,localization,distance_from_nucleus,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_sum,op_phase2d_tubular_distance_from_nucleus_sum,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus, aggregated by sum; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_nucleus_mean,8,mean,localization,distance_from_nucleus,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_mean,op_phase2d_tubular_distance_from_nucleus_mean,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus, aggregated by mean; unit=um. This is a numerical image descriptor, not a molecular endpoint."
op_phase2d_tubular_distance_from_nucleus_median,9,median,localization,distance_from_nucleus,True,phase2d_tubular,organelle_profiler,um,none,op_phase2d_tubular_distance_from_nucleus_median,op_phase2d_tubular_distance_from_nucleus_median,correlation,phase2d_tubular,,um,OrganelleProfiler,,True,True,"organelle_profiler localization feature for phase2d_tubular; metric=distance_from_nucleus, aggregated by median; unit=um. This is a numerical image descriptor, not a molecular endpoint."
