target_feature_name,reporter_slug,marker,short_name,biological_category,screen_ids,measurement_family,measured_signal,inferred_measurement_compartment,numerical_descriptor,official_feature_type,official_compartment,official_channel,official_unit,official_software,official_version,selected_in_technical_core,selection_rule,plain_language_meaning
cp_single_object_pRb_cell_Intensity_IntegratedIntensity,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,IntegratedIntensity,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A IntegratedIntensity fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_IntegratedIntensityEdge,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,IntegratedIntensityEdge,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A IntegratedIntensityEdge fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_LowerQuartileIntensity,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,LowerQuartileIntensity,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A LowerQuartileIntensity fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_MADIntensity,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,MADIntensity,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A MADIntensity fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_MassDisplacement,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,MassDisplacement,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A MassDisplacement fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_MaxIntensity,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,MaxIntensity,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A MaxIntensity fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_MaxIntensityEdge,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,MaxIntensityEdge,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A MaxIntensityEdge fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_MeanIntensity,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,MeanIntensity,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A MeanIntensity fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_MeanIntensityEdge,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,MeanIntensityEdge,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A MeanIntensityEdge fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_MedianIntensity,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,MedianIntensity,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A MedianIntensity fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_MinIntensity,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,MinIntensity,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A MinIntensity fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_MinIntensityEdge,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,MinIntensityEdge,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A MinIntensityEdge fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_StdIntensity,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,StdIntensity,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A StdIntensity fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_StdIntensityEdge,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,StdIntensityEdge,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A StdIntensityEdge fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cell_Intensity_UpperQuartileIntensity,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cell,UpperQuartileIntensity,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A UpperQuartileIntensity fluorescence-intensity statistic for pRb (4i) measured on cell. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cytoplasm_Intensity_IntegratedIntensity,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cytoplasm,IntegratedIntensity,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A IntegratedIntensity fluorescence-intensity statistic for pRb (4i) measured on cytoplasm. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cytoplasm_Intensity_IntegratedIntensityEdge,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cytoplasm,IntegratedIntensityEdge,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A IntegratedIntensityEdge fluorescence-intensity statistic for pRb (4i) measured on cytoplasm. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cytoplasm_Intensity_LowerQuartileIntensity,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cytoplasm,LowerQuartileIntensity,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A LowerQuartileIntensity fluorescence-intensity statistic for pRb (4i) measured on cytoplasm. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cytoplasm_Intensity_MADIntensity,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cytoplasm,MADIntensity,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A MADIntensity fluorescence-intensity statistic for pRb (4i) measured on cytoplasm. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cytoplasm_Intensity_MassDisplacement,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cytoplasm,MassDisplacement,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A MassDisplacement fluorescence-intensity statistic for pRb (4i) measured on cytoplasm. It is one numerical descriptor of the reporter readout, not a separate biological target."
cp_single_object_pRb_cytoplasm_Intensity_MaxIntensity,prb,pRb (4i),pRb*,Signaling,Biohub_OPS0077,single-object fluorescence intensity descriptor,fluorescence intensity,cytoplasm,MaxIntensity,shape,,,,OrganelleProfiler,,True,marker-specific CellProfiler single-object intensity features,"A MaxIntensity fluorescence-intensity statistic for pRb (4i) measured on cytoplasm. It is one numerical descriptor of the reporter readout, not a separate biological target."
