gene,n_targeting_cells
AACS,89
AARS,92
AATF,112
ABCE1,83
ABHD10,88
ABHD16A,105
ACSL4,113
ACSS2,91
ACTR3,95
ADAMTS18,83
ADAMTS4,99
ADAT3,80
ADRA2C,69
ADRB2,94
ADRM1,86
ADSS,79
AGAP4,60
AGAP9,65
AHCYL1,69
AKR1C3,92
ALAS1,88
ALG12,88
ALKBH8,85
ALYREF,56
AMIGO3,79
AMMECR1,104
ANP32B,116
AP1M1,100
AP1S1,136
AP2A1,97
AP2M1,113
AP2S1,77
AP3M1,79
AP3M2,110
AP3S1,75
APC,79
AQP7,100
ARGLU1,85
ARHGAP22,75
ARHGEF9,78
ARID5B,87
ARL2,88
ARNT2,93
ARPC2,106
ARPC3,79
ARPC4,74
ARPP19,53
ASCC3,74
ASF1B,98
ASNA1,145
ASNS,104
ATAD3A,99
ATF6,95
ATG9A,79
ATIC,87
ATP5F1B,58
ATP5ME,77
ATP6V0A1,106
ATP6V0A2,98
ATP6V1B2,100
ATP6V1H,80
ATRX,77
ATXN10,93
ATXN7L3,109
AURKB,81
B3GAT3,90
B3GNT2,94
B4GALT3,90
B4GALT5,105
BEND3,93
BEND6,99
BET1,113
BLOC1S2,77
BLOC1S6,53
BMS1,80
BORCS7,82
BORCS8,82
BRCA1,96
BRD8,81
BRD9,95
BRK1,96
BTAF1,90
BTBD9,118
BTF3L4,86
BUB1B,66
BUD31,70
C12orf45,102
C1D,83
C1QBP,75
C2orf27B,71
C5orf22,60
C5orf30,100
CA13,107
CA5A,89
CA7,103
CABIN1,79
CACNA1D,85
CACNB1,82
CAD,71
CALM1,68
CALM3,81
CAPN12,68
CAPZB,72
CARS,67
CASP3,68
CBWD1,107
CBWD2,77
CBWD3,82
CCDC174,97
CCDC59,81
CCNB1,59
CCNC,64
CCND3,100
CCNF,103
CCNG1,93
CCNH,73
CCR2,84
CCT3,77
CCT4,82
CCT6A,79
CCT7,96
CD164,103
CD2BP2,87
CD3EAP,60
CD4,81
CD5,92
CD9,92
CDC27,64
CDC45,110
CDC5L,75
CDH15,97
CDIPT,97
CDK7,82
CENPA,73
CENPC,89
CENPH,90
CENPW,75
CEP135,67
CEP350,101
CEP55,101
CEP85,72
CERCAM,81
CERS6,90
CFL1,82
CHD1,81
CHD4,104
CHERP,84
CHMP1A,93
CHMP2A,69
CHMP4B,82
CHMP4C,79
CHMP5,69
CHMP6,109
CHMP7,87
CHST12,98
CHTF8,126
CIAO1,89
CIAPIN1,125
CIT,45
CLASP1,90
CLDN15,87
CLK3,99
CMTR1,82
CNOT1,90
CNOT10,68
CNOT11,96
CNOT2,51
CNOT4,54
COA4,103
COA5,79
COG3,55
COG4,78
COG6,126
COG7,102
COG8,63
COL18A1,70
COL9A1,58
COMMD4,111
COMMD5,112
COMTD1,70
COPA,114
COPB1,82
COPB2,77
COPS2,68
COPS3,80
COPS4,74
COPS5,90
COPS6,75
COPS8,72
COPZ1,80
COQ10B,54
COQ4,96
COQ7,100
COX11,61
COX14,93
COX15,72
COX7B,67
COX7C,86
CPOX,84
CPSF2,62
CPSF3,79
CPSF6,93
CRAT,88
CREBBP,78
CSE1L,78
CSNK2A2,90
CSNK2A3,87
CTDSP1,88
CTDSPL2,94
CTPS2,86
CTSG,85
CTU1,113
CTU2,68
CUL1,67
CUL2,79
CYP26C1,95
CYP2C18,122
CYP4V2,86
DAD1,75
DARS,69
DCAF11,107
DCAF7,101
DCTN4,98
DCTN5,87
DDB1,81
DDI2,104
DDOST,88
DDRGK1,84
DDX18,70
DDX39B,79
DDX46,86
DDX47,74
DDX52,85
DENR,95
DERL2,101
DGCR8,112
DGKD,113
DHDDS,107
DHRS9,101
DHX30,99
DHX9,82
DIS3L2,83
DLD,82
DLG4,121
DMRTC2,81
DNAJA3,74
DNAJC19,83
DNASE1L1,96
DNMT1,88
DPH2,110
DPH3,97
DRAP1,71
DUT,58
DYNC1H1,65
DYNC1I2,90
DYNC1LI1,100
DYNC1LI2,95
DYNLL1,70
DYNLL2,100
DYRK1A,101
EBF1,115
ECT2,87
EFR3A,92
EFTUD2,44
EGFL7,107
EIF1AD,75
EIF2AK3,80
EIF2B2,70
EIF2B3,56
EIF2B4,85
EIF2B5,66
EIF2S1,78
EIF2S2,94
EIF3A,66
EIF3B,60
EIF3L,104
EIF3M,98
EIF4A1,72
EIF4G1,86
EIF5B,99
EIF6,87
ELAC2,94
ELAVL1,75
ELOC,82
ELOVL1,107
ELP2,140
ELP4,86
EMC1,80
EMC2,103
EMC3,95
EPB41L2,89
EPRS,89
ERCC3,90
ERCC6,88
ERN1,94
ETHE1,88
ETS1,65
EXOC4,89
EXOC5,118
EXOC7,91
EXOSC3,65
EXOSC5,73
EXOSC6,66
EXOSC8,80
F2,72
FAM83H,61
FANCC,89
FANCG,102
FANCM,88
FARSA,95
FARSB,66
FAT1,95
FAU,80
FBXL4,80
FBXW11,94
FCGR1A,93
FECH,104
FGF1,71
FGF23,90
FGFR1OP,110
FGFR1OP2,109
FIGLA,105
FJX1,72
FKBP9,106
FLII,84
FOXD4L1,151
FOXD4L5,77
FOXK1,84
FOXL2,104
