method_id,method,method_color,method_family,method_order,split,split_label,screen_id,n_assays,cell_pearson
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0001,2,0.7156616813937824
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0002,1,0.7496964670717716
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0003,1,0.850751967728138
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0004,1,0.850751967728138
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0005,2,0.7156616813937824
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0006,2,0.7156616813937824
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0007,2,0.7156616813937824
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0008,2,0.7156616813937824
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0009,2,0.7156616813937824
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0011,1,0.7207601274053255
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0012,1,0.7207601274053255
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0013,1,0.8133041163285574
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0014,1,0.8767360143363476
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0015,1,0.7703410980602106
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0016,1,0.885663448770841
