method_id,split,reporter_slug,screen_id,assay_id,cell_pearson,cell_metric_provenance,split_label,method,method_color,method_family,method_order
ridge,field_holdout_sanity,fe2+_ferhonox_live-cell_dye,Biohub_OPS0047,fe2+_ferhonox_live-cell_dye::Biohub_OPS0047,0.948575514058272,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,fe2+_ferhonox_live-cell_dye,Biohub_OPS0067,fe2+_ferhonox_live-cell_dye::Biohub_OPS0067,0.948575514058272,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,b-catenin,Biohub_OPS0077,b-catenin::Biohub_OPS0077,0.4133987188835938,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,c-myc,Biohub_OPS0077,c-myc::Biohub_OPS0077,0.43058958460887276,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,Biohub_OPS0053,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye::Biohub_OPS0053,0.7903026517480611,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,Biohub_OPS0064,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye::Biohub_OPS0064,0.7903026517480611,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,oxidative_stress_cellrox_live-cell_dye,Biohub_OPS0048,oxidative_stress_cellrox_live-cell_dye::Biohub_OPS0048,0.7506901599466801,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,oxidative_stress_cellrox_live-cell_dye,Biohub_OPS0069,oxidative_stress_cellrox_live-cell_dye::Biohub_OPS0069,0.7506901599466801,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,p21,Biohub_OPS0077,p21::Biohub_OPS0077,0.40328706632057826,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,p53,Biohub_OPS0077,p53::Biohub_OPS0077,0.3698298050463199,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,prb,Biohub_OPS0077,prb::Biohub_OPS0077,0.37134104788303374,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,ps6,Biohub_OPS0077,ps6::Biohub_OPS0077,0.4336026578148206,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,cell_proliferation_marker_mki67,Biohub_OPS0045,cell_proliferation_marker_mki67::Biohub_OPS0045,0.7187798348565896,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,cell_proliferation_marker_mki67,Biohub_OPS0057,cell_proliferation_marker_mki67::Biohub_OPS0057,0.7187798348565896,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,chromatin_h2bc21,Biohub_OPS0064,chromatin_h2bc21::Biohub_OPS0064,0.605255538970232,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,chromatin_h2bc21,Biohub_OPS0069,chromatin_h2bc21::Biohub_OPS0069,0.605255538970232,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,nuclear_speckles_srrm2,Biohub_OPS0036,nuclear_speckles_srrm2::Biohub_OPS0036,0.833622615536054,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,nuclear_speckles_srrm2,Biohub_OPS0061,nuclear_speckles_srrm2::Biohub_OPS0061,0.833622615536054,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,nuclei_hoechst,Biohub_OPS0043,nuclei_hoechst::Biohub_OPS0043,0.6466226766506831,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,nucleoli_npm1,Biohub_OPS0043,nucleoli_npm1::Biohub_OPS0043,0.40674584454132445,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,nucleolus-dfc_fbl,Biohub_OPS0041,nucleolus-dfc_fbl::Biohub_OPS0041,0.8005868315696716,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,nucleolus-dfc_fbl,Biohub_OPS0062,nucleolus-dfc_fbl::Biohub_OPS0062,0.8005868315696716,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,nucleolus-gc_npm3,Biohub_OPS0042,nucleolus-gc_npm3::Biohub_OPS0042,0.8162350823481879,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,nucleolus-gc_npm3,Biohub_OPS0058,nucleolus-gc_npm3::Biohub_OPS0058,0.8162350823481879,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,nuclei_nucleolive_live_cell_dye,Biohub_OPS0061,nuclei_nucleolive_live_cell_dye::Biohub_OPS0061,0.6339387693752846,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,nuclei_nucleolive_live_cell_dye,Biohub_OPS0062,nuclei_nucleolive_live_cell_dye::Biohub_OPS0062,0.6339387693752846,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,er_cona,Biohub_OPS0043,er_cona::Biohub_OPS0043,0.533479876526528,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,er_ncln,Biohub_OPS0052,er_ncln::Biohub_OPS0052,0.5569728285074234,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,er_sec61b,Biohub_OPS0001,er_sec61b::Biohub_OPS0001,0.7537735633552074,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,er_sec61b,Biohub_OPS0005,er_sec61b::Biohub_OPS0005,0.7537735633552074,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,er_sec61b,Biohub_OPS0006,er_sec61b::Biohub_OPS0006,0.7537735633552074,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,er_sec61b,Biohub_OPS0007,er_sec61b::Biohub_OPS0007,0.7537735633552074,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,er_sec61b,Biohub_OPS0008,er_sec61b::Biohub_OPS0008,0.7537735633552074,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,er_sec61b,Biohub_OPS0009,er_sec61b::Biohub_OPS0009,0.7537735633552074,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,er_golgi_cop-ii_sec23a,Biohub_OPS0035,er_golgi_cop-ii_sec23a::Biohub_OPS0035,0.8393716213603815,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,er_golgi_cope,Biohub_OPS0023,er_golgi_cope::Biohub_OPS0023,0.8327877931296825,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
ridge,field_holdout_sanity,er_golgi_cope,Biohub_OPS0074,er_golgi_cope::Biohub_OPS0074,0.8327877931296825,frozen reporter-cell score reweighted by physical unit,Field,Ridge,#3E6F9C,Classical tabular,1
