panel,split,method,panel_title,aggregation_unit,reference,evaluation_metric,n_paired_units,median_method,median_reference,median_paired_delta,p_raw_wilcoxon,inference_status,displayed_in_main_figure,display_symbol,p_holm_reporter54,effect_gate_abs_median_delta_ge_0_02,meets_reporter_inference_gate
b,Field,Ridge,Reporter · KO response,reporters,MLP,ko_pearson,52,0.6711715107783676,0.7148080700387558,-0.02066486701369291,4.748693956576338e-09,primary paired reporter-level inference,False,,2.0419384013278254e-07,True,True
b,Field,GBDT,Reporter · KO response,reporters,MLP,ko_pearson,52,0.7084300947810214,0.7148080700387558,-0.0018052710592745824,0.028840488609280297,primary paired reporter-level inference,False,,0.6344907494041665,False,False
b,Field,CatBoost,Reporter · KO response,reporters,MLP,ko_pearson,52,0.6888945209483306,0.7148080700387558,-0.011221918091178062,8.181375540071368e-09,primary paired reporter-level inference,False,,3.10892270522712e-07,False,False
b,Field,TabM,Reporter · KO response,reporters,MLP,ko_pearson,52,0.7012585897619525,0.7148080700387558,0.0027462874849638053,0.8554741654914213,primary paired reporter-level inference,False,,1.0,False,False
b,Field,scButterfly,Reporter · KO response,reporters,MLP,ko_pearson,52,0.6228026686236262,0.7148080700387558,-0.07298267287512633,2.445884310151814e-09,primary paired reporter-level inference,False,,1.0761890964667982e-07,True,True
b,Field,ResMLP,Reporter · KO response,reporters,MLP,ko_pearson,52,0.7023432084172965,0.7148080700387558,-0.009326214157044932,2.8554135374736474e-06,primary paired reporter-level inference,False,,8.851781966168307e-05,False,False
b,Field,MultiTab,Reporter · KO response,reporters,MLP,ko_pearson,52,0.7013104567925135,0.7148080700387558,-0.00848880118379991,6.309868447584085e-07,primary paired reporter-level inference,False,,2.0822565877027482e-05,False,False
b,Field,MIDAS,Reporter · KO response,reporters,MLP,ko_pearson,52,0.5851005497078101,0.7148080700387558,-0.12312600944579263,3.503864964208263e-10,primary paired reporter-level inference,False,,1.892087080672462e-08,True,True
b,Field,scPair,Reporter · KO response,reporters,MLP,ko_pearson,52,0.699061151072383,0.7148080700387558,-0.015996206831186965,5.2979209159907985e-09,primary paired reporter-level inference,False,,2.2251267847161354e-07,False,False
b,Gene,Ridge,Reporter · KO response,reporters,MLP,ko_pearson,52,0.7355834181110064,0.7678571196893851,-0.0176032833755016,3.503864964208263e-10,primary paired reporter-level inference,False,,1.892087080672462e-08,False,False
b,Gene,GBDT,Reporter · KO response,reporters,MLP,ko_pearson,52,0.7656472812096278,0.7678571196893851,-0.0018909639368455133,0.033087617254333325,primary paired reporter-level inference,False,,0.6948399623409999,False,False
b,Gene,CatBoost,Reporter · KO response,reporters,MLP,ko_pearson,52,0.746271916044255,0.7678571196893851,-0.008834176510572445,1.0706222665903016e-08,primary paired reporter-level inference,False,,3.961302386384116e-07,False,False
b,Gene,TabM,Reporter · KO response,reporters,MLP,ko_pearson,52,0.7599681253001714,0.7678571196893851,-0.0029269372423488815,0.06450055244033305,primary paired reporter-level inference,False,,1.0,False,False
b,Gene,scButterfly,Reporter · KO response,reporters,MLP,ko_pearson,52,0.6914688615252573,0.7678571196893851,-0.08071593611966821,3.7149102960965286e-10,primary paired reporter-level inference,False,,1.892087080672462e-08,True,True
b,Gene,ResMLP,Reporter · KO response,reporters,MLP,ko_pearson,52,0.762691041578849,0.7678571196893851,-0.009149303411444154,3.7003746445094955e-05,primary paired reporter-level inference,False,,0.0009991011540175637,False,False
b,Gene,MultiTab,Reporter · KO response,reporters,MLP,ko_pearson,52,0.7495793444001013,0.7678571196893851,-0.010291851229137838,3.741516045276667e-07,primary paired reporter-level inference,False,,1.2721154553940667e-05,False,False
b,Gene,MIDAS,Reporter · KO response,reporters,MLP,ko_pearson,52,0.6141227196882635,0.7678571196893851,-0.13338304782907173,3.503864964208263e-10,primary paired reporter-level inference,False,,1.892087080672462e-08,True,True
b,Gene,scPair,Reporter · KO response,reporters,MLP,ko_pearson,52,0.7557488259921472,0.7678571196893851,-0.012893686691919981,6.239345980343914e-09,primary paired reporter-level inference,False,,2.495738392137566e-07,False,False
b,Whole-screen,Ridge,Reporter · KO response,reporters,MLP,ko_pearson,34,0.7304411999260385,0.6771017902065068,-0.0024346100011219396,0.6005140317138284,primary paired reporter-level inference,False,,1.0,False,False
b,Whole-screen,GBDT,Reporter · KO response,reporters,MLP,ko_pearson,34,0.704746908818682,0.6771017902065068,-4.641545820066595e-05,0.2628566062776372,primary paired reporter-level inference,False,,1.0,False,False
b,Whole-screen,CatBoost,Reporter · KO response,reporters,MLP,ko_pearson,34,0.698995354443064,0.6771017902065068,-0.003083820765217238,0.446560020907782,primary paired reporter-level inference,False,,1.0,False,False
b,Whole-screen,TabM,Reporter · KO response,reporters,MLP,ko_pearson,34,0.6472040297085186,0.6771017902065068,0.006663336056388136,0.892620881437324,primary paired reporter-level inference,False,,1.0,False,False
b,Whole-screen,scButterfly,Reporter · KO response,reporters,MLP,ko_pearson,34,0.6073677752719959,0.6771017902065068,-0.023128860940535956,0.06691826332826167,primary paired reporter-level inference,False,,1.0,True,False
b,Whole-screen,ResMLP,Reporter · KO response,reporters,MLP,ko_pearson,34,0.7291550500473629,0.6771017902065068,-0.0030602466625471725,0.8263502409681678,primary paired reporter-level inference,False,,1.0,False,False
b,Whole-screen,MultiTab,Reporter · KO response,reporters,MLP,ko_pearson,34,0.6960118384255717,0.6771017902065068,-0.0038794962068399164,0.9327671678038314,primary paired reporter-level inference,False,,1.0,False,False
b,Whole-screen,MIDAS,Reporter · KO response,reporters,MLP,ko_pearson,34,0.6418070356982449,0.6771017902065068,-0.046535761034142115,0.13832266710232943,primary paired reporter-level inference,False,,1.0,True,False
b,Whole-screen,scPair,Reporter · KO response,reporters,MLP,ko_pearson,34,0.6909159988992744,0.6771017902065068,0.000539346364449661,0.2556125132832676,primary paired reporter-level inference,False,,1.0,False,False
c,Field,Ridge,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.7353639936695496,0.7633217873672644,-0.020476489058799285,1.3257229430629154e-08,primary paired reporter-level inference,False,,4.772602595026496e-07,True,True
