panel,reporter,gene,screen_id,unit,split,well_canonical,role,phase_row_index,segmentation_id,selection_rule,descriptive_only,pixel_size_um,phase_low,phase_high,fluorescence_low,fluorescence_high,source_path,source_sha256,frozen_copy_sha256,asset_key,entity_key,display_label,diagnostic_cell_id,selection_hash
a,5xUPRE,HSPA5,Biohub_OPS0001,Reporter,Field,A/3/0,KO,6734514.0,9973218.0,frozen pre-specified microscopy roster; selection independent of canonical aggregation repair,True,0.325,-0.556718013882637,0.7848890328407298,105.53495250701904,452.9303023071303,figure3/source_data/microscopy/5xupre_hspa5_ko.npz,d4ed434de65d8cc1fb0ef0137cbf8189b23377fb6e8e3d07e87cb9e27b28d31b,d4ed434de65d8cc1fb0ef0137cbf8189b23377fb6e8e3d07e87cb9e27b28d31b,5xupre_hspa5_ko,5xupre,5xUPRE · HSPA5,,
a,LAMP1,BORCS7,Biohub_OPS0011,Reporter,Gene,A/1/0,KO,255214.0,5095123.0,frozen pre-specified microscopy roster; selection independent of canonical aggregation repair,True,0.325,-0.4185225659608841,0.6370304238796235,105.15650020599364,261.90295123291105,figure3/source_data/microscopy/lamp1_borcs7_ko.npz,0d203a4b1c555afcf1ebeac9deddfb0cc94d6489310efa00e90013d35397df39,0d203a4b1c555afcf1ebeac9deddfb0cc94d6489310efa00e90013d35397df39,lamp1_borcs7_ko,lysosome_lamp1,LAMP1 · BORCS7,,
a,FastAct,ACTR3,Biohub_OPS0033,Reporter,Whole-screen,A/2/0,KO,5892936.0,16150844.0,frozen pre-specified microscopy roster; selection independent of canonical aggregation repair,True,0.325,-0.7747886502742767,1.0280601310729984,173.0,4551.0,figure3/source_data/microscopy/fastact_actr3_ko.npz,3b74d6daccb9c12282a24d0a640c0c92b41fefd6fb69d8101d80f908e9f90ad4,3b74d6daccb9c12282a24d0a640c0c92b41fefd6fb69d8101d80f908e9f90ad4,fastact_actr3_ko,actin_filament_fastact_spy555_live_cell_dye,FastAct · ACTR3,,
a,LAMP1,BORCS7,Biohub_OPS0011,Physical screen,Field,A/2/0,NTC,8286394.0,20443628.0,frozen pre-specified microscopy roster; selection independent of canonical aggregation repair,True,0.325,-0.4185225659608841,0.6370304238796235,105.15650020599364,261.90295123291105,figure3/source_data/microscopy/lamp1_borcs7_ntc.npz,fdeb91489283949ae3714072553058a65b13d85cbbcd0077c0eecc392c4ca5c1,fdeb91489283949ae3714072553058a65b13d85cbbcd0077c0eecc392c4ca5c1,lamp1_borcs7_ntc,Biohub_OPS0011,OPS0011 · LAMP1,,
a,5xUPRE,HSPA5,Biohub_OPS0001,Physical screen,Gene,A/1/0,NTC,8353156.0,21304555.0,frozen pre-specified microscopy roster; selection independent of canonical aggregation repair,True,0.325,-0.556718013882637,0.7848890328407298,105.53495250701904,452.9303023071303,figure3/source_data/microscopy/5xupre_hspa5_ntc.npz,add13ffbb58d70fd4fa452b87bc113d7bd249f50dde82c6bdc29923ed4890c20,add13ffbb58d70fd4fa452b87bc113d7bd249f50dde82c6bdc29923ed4890c20,5xupre_hspa5_ntc,Biohub_OPS0001,OPS0001 · 5xUPRE,,
a,FastAct,ACTR3,Biohub_OPS0033,Physical screen,Whole-screen,A/3/0,NTC,8233075.0,38969301.0,frozen pre-specified microscopy roster; selection independent of canonical aggregation repair,True,0.325,-0.7747886502742767,1.0280601310729984,173.0,4551.0,figure3/source_data/microscopy/fastact_actr3_ntc.npz,2e73bcbd8e132a629d9d62f0591f74120332861a4b9805ed547f55f60c003799,2e73bcbd8e132a629d9d62f0591f74120332861a4b9805ed547f55f60c003799,fastact_actr3_ntc,Biohub_OPS0033,OPS0033 · FastAct,,
a,FastAct,ACTR3,Biohub_OPS0033,Reporter × screen,Field,A/2/0,KO,5892936.0,16150844.0,frozen pre-specified microscopy roster; selection independent of canonical aggregation repair,True,0.325,-0.7747886502742767,1.0280601310729984,173.0,4551.0,figure3/source_data/microscopy/fastact_actr3_ko.npz,3b74d6daccb9c12282a24d0a640c0c92b41fefd6fb69d8101d80f908e9f90ad4,3b74d6daccb9c12282a24d0a640c0c92b41fefd6fb69d8101d80f908e9f90ad4,fastact_actr3_ko,actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0033,FastAct × OPS0033,,
a,5xUPRE,HSPA5,Biohub_OPS0001,Reporter × screen,Gene,A/3/0,KO,6734514.0,9973218.0,frozen pre-specified microscopy roster; selection independent of canonical aggregation repair,True,0.325,-0.556718013882637,0.7848890328407298,105.53495250701904,452.9303023071303,figure3/source_data/microscopy/5xupre_hspa5_ko.npz,d4ed434de65d8cc1fb0ef0137cbf8189b23377fb6e8e3d07e87cb9e27b28d31b,d4ed434de65d8cc1fb0ef0137cbf8189b23377fb6e8e3d07e87cb9e27b28d31b,5xupre_hspa5_ko,5xupre::Biohub_OPS0001,5xUPRE × OPS0001,,
a,LAMP1,BORCS7,Biohub_OPS0011,Reporter × screen,Whole-screen,A/1/0,KO,255214.0,5095123.0,frozen pre-specified microscopy roster; selection independent of canonical aggregation repair,True,0.325,-0.4185225659608841,0.6370304238796235,105.15650020599364,261.90295123291105,figure3/source_data/microscopy/lamp1_borcs7_ko.npz,0d203a4b1c555afcf1ebeac9deddfb0cc94d6489310efa00e90013d35397df39,0d203a4b1c555afcf1ebeac9deddfb0cc94d6489310efa00e90013d35397df39,lamp1_borcs7_ko,lysosome_lamp1::to::Biohub_OPS0011,LAMP1 × OPS0011,,
d,FastAct,ACTR3,Biohub_OPS0033,multi-unit,multi-split,A/3/0,NTC,8233075.0,38969301.0,cell nearest median robust multifeature fluorescence score within screen and role,True,0.325,-0.7747886502742767,1.0280601310729984,173.0,4551.0,figure3/source_data/microscopy/fastact_actr3_ntc.npz,2e73bcbd8e132a629d9d62f0591f74120332861a4b9805ed547f55f60c003799,2e73bcbd8e132a629d9d62f0591f74120332861a4b9805ed547f55f60c003799,fastact_actr3_ntc,FastAct,FastAct · ACTR3,,
