unit,split,entity_id,rank_low_to_high,rank_percentile,component_index,n_components,biological_category,category_color
Reporter,Field,prb,1,0.0,1,1,Signaling,#7B6597
Reporter,Field,p53,2,1.9607843137254901,1,1,Signaling,#7B6597
Reporter,Field,nucleoli_npm1,3,3.9215686274509802,1,1,Nucleus,#3E6F9C
Reporter,Field,c-myc,4,5.88235294117647,1,1,Signaling,#7B6597
Reporter,Field,p21,5,7.8431372549019605,1,1,Signaling,#7B6597
Reporter,Field,proteasome_psmb7,6,9.80392156862745,1,1,Stress/PQC,#CC79A7
Reporter,Field,b-catenin,7,11.76470588235294,1,1,Signaling,#7B6597
Reporter,Field,caspase_activity_cellevent-caspase_live-cell_dye,8,13.72549019607843,1,1,Stress/PQC,#CC79A7
Reporter,Field,ps6,9,15.686274509803921,1,1,Signaling,#7B6597
Reporter,Field,er_ncln,10,17.64705882352941,1,1,ER/Golgi,#4F9A70
Reporter,Field,mitochondria_tomm20,11,19.6078431372549,1,1,Mitochondria,#C85A3C
Reporter,Field,er_cona,12,21.56862745098039,1,1,ER/Golgi,#4F9A70
Reporter,Field,cell_proliferation_marker_mki67,13,23.52941176470588,1,1,Nucleus,#3E6F9C
Reporter,Field,oxidative_stress_cellrox_live-cell_dye,14,25.49019607843137,1,1,Signaling,#7B6597
Reporter,Field,trans-golgi_vamp3,15,27.45098039215686,1,1,ER/Golgi,#4F9A70
Reporter,Field,autophagosome_atg101,16,29.41176470588235,1,1,Lysosome,#E8943A
Reporter,Field,microtubules_tubulin,17,31.372549019607842,1,1,Cytoskeleton,#4FA7B8
Reporter,Field,f-actin_phalloidin,18,33.33333333333333,1,1,Cytoskeleton,#4FA7B8
Reporter,Field,plasma_membrane_atp1b3,19,35.29411764705882,1,1,Plasma Membrane,#9C8C72
Reporter,Field,plasma_membrane_wga,20,37.25490196078431,1,1,Plasma Membrane,#9C8C72
Reporter,Field,mitochondria_tomm70a,21,39.2156862745098,1,1,Mitochondria,#C85A3C
Reporter,Field,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,22,41.17647058823529,1,1,Signaling,#7B6597
Reporter,Field,lipid_droplet_plin2,23,43.13725490196078,1,1,Lysosome,#E8943A
Reporter,Field,chromatin_h2bc21,24,45.09803921568627,1,1,Nucleus,#3E6F9C
Reporter,Field,nuclei_hoechst,25,47.05882352941176,1,1,Nucleus,#3E6F9C
Reporter,Field,lysosome_lamp1,26,49.01960784313725,1,1,Lysosome,#E8943A
Reporter,Field,chromalive_488_excitation,27,50.98039215686274,1,1,Mitochondria,#C85A3C
Reporter,Field,5xupre,28,52.94117647058823,1,1,Stress/PQC,#CC79A7
Reporter,Field,nuclei_nucleolive_live_cell_dye,29,54.90196078431372,1,1,Nucleus,#3E6F9C
Reporter,Field,nucleolus-dfc_fbl,30,56.86274509803921,1,1,Nucleus,#3E6F9C
Reporter,Field,mitochondria_chromalive_561_excitation,31,58.8235294117647,1,1,Mitochondria,#C85A3C
Reporter,Field,nucleolus-gc_npm3,32,60.78431372549019,1,1,Nucleus,#3E6F9C
Reporter,Field,peroxisome_peroxi_spy650_live_cell_dye,33,62.745098039215684,1,1,Peroxisome,#D56C75
Reporter,Field,microtubules_map4,34,64.70588235294117,1,1,Cytoskeleton,#4FA7B8
Reporter,Field,er_golgi_bridge_vapa,35,66.66666666666666,1,1,ER/Golgi,#4F9A70
Reporter,Field,chaperones_hspa1b,36,68.62745098039215,1,1,Stress/PQC,#CC79A7
Reporter,Field,er_golgi_cope,37,70.58823529411764,1,1,ER/Golgi,#4F9A70
