split,split_label,reporter_slug,consensus_ko_pearson,q25,q75,n_methods,difficulty,short_name,biological_category,category_color
field_holdout_sanity,Field,5xupre,0.70341640740633,0.6989355605095625,0.7071260246634483,10,Intermediate (0.60–0.75),5xUPRE,Stress/PQC,#CC79A7
field_holdout_sanity,Field,actin_filament_fastact_spy555_live_cell_dye,0.8824875426789125,0.8773878075182437,0.8870176933084926,10,Readable (≥0.75),FastAct_SPY555 Live Cell Dye,Cytoskeleton,#4FA7B8
field_holdout_sanity,Field,autophagosome_atg101,0.6373124998062849,0.6088305574220916,0.6443984945925574,10,Intermediate (0.60–0.75),ATG101,Lysosome,#E8943A
field_holdout_sanity,Field,autophagosome_map1lc3b,0.8355268033842245,0.774292253019909,0.844703657987217,10,Readable (≥0.75),MAP1LC3B,Lysosome,#E8943A
field_holdout_sanity,Field,b-catenin,0.5188180790965755,0.4684423170452161,0.5232395219352717,10,Hard (<0.60),b-catenin*,Signaling,#7B6597
field_holdout_sanity,Field,c-myc,0.4987877166643739,0.48492646691699814,0.5097949931025505,10,Hard (<0.60),c-Myc*,Signaling,#7B6597
field_holdout_sanity,Field,caspase_activity_cellevent-caspase_live-cell_dye,0.5379191406381627,0.47492677607660877,0.5432045907713472,10,Hard (<0.60),CellEvent-Caspase live-cell dye,Stress/PQC,#CC79A7
field_holdout_sanity,Field,cell_proliferation_marker_mki67,0.624722146615386,0.6042413239056865,0.6341481429835161,10,Intermediate (0.60–0.75),MKI67*,Nucleus,#3E6F9C
field_holdout_sanity,Field,chaperones_hspa1b,0.771560658266147,0.7645107741157213,0.7764351318900784,10,Readable (≥0.75),HSPA1B,Stress/PQC,#CC79A7
field_holdout_sanity,Field,chromalive_488_excitation,0.6984138523538908,0.6719996383103233,0.7095305449018876,10,Intermediate (0.60–0.75),ChromaLIVE 488 excitation,Mitochondria,#C85A3C
field_holdout_sanity,Field,chromatin_h2bc21,0.6814348686486482,0.6585716769099235,0.6941733120630185,10,Intermediate (0.60–0.75),H2BC21,Nucleus,#3E6F9C
field_holdout_sanity,Field,clathrin_vesicles_clta,0.8721618015319109,0.8682687800998488,0.8769594552926718,10,Readable (≥0.75),CLTA,Lysosome,#E8943A
field_holdout_sanity,Field,early_endosome_eea1,0.8759963822861512,0.8679227950672309,0.8822417315716545,10,Readable (≥0.75),EEA1,Endosome,#C6A16A
field_holdout_sanity,Field,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.6763323400169611,0.6588579730751614,0.6888095691179236,10,Intermediate (0.60–0.75),pHrodo-dextran Live Cell Dye,Signaling,#7B6597
field_holdout_sanity,Field,endosome_vps35,0.7814716452111801,0.7662718477348486,0.7874978047485153,10,Readable (≥0.75),VPS35,Endosome,#C6A16A
field_holdout_sanity,Field,er_cona,0.6199518177244399,0.5882625140974092,0.6267449509869847,10,Intermediate (0.60–0.75),ConA*,ER/Golgi,#4F9A70
field_holdout_sanity,Field,er_golgi_bridge_vapa,0.7636038941020766,0.7385193419332305,0.7745660079332689,10,Readable (≥0.75),VAPA,ER/Golgi,#4F9A70
field_holdout_sanity,Field,er_golgi_cop-ii_sec23a,0.888666332140565,0.8837674489244819,0.89596351608634,10,Readable (≥0.75),SEC23A,ER/Golgi,#4F9A70
field_holdout_sanity,Field,er_golgi_cope,0.7761345391472181,0.7729007388154665,0.783786931137244,10,Readable (≥0.75),COPE,ER/Golgi,#4F9A70
field_holdout_sanity,Field,er_ncln,0.570571902487427,0.5572679216973484,0.5770305798389017,10,Hard (<0.60),NCLN,ER/Golgi,#4F9A70
field_holdout_sanity,Field,er_sec61b,0.7772952952732642,0.7731798860554894,0.7821762301648656,10,Readable (≥0.75),SEC61B,ER/Golgi,#4F9A70
field_holdout_sanity,Field,f-actin_phalloidin,0.6582754052761528,0.6270506032018198,0.6662041124991245,10,Intermediate (0.60–0.75),Phalloidin*,Cytoskeleton,#4FA7B8
field_holdout_sanity,Field,fe2+_ferhonox_live-cell_dye,0.8331707987313469,0.7605014908850232,0.8705580648034811,10,Readable (≥0.75),FeRhoNox live-cell dye,Signaling,#7B6597
field_holdout_sanity,Field,late_endosome_rab7a,0.8830103754997254,0.8419533743212619,0.8904456640904148,10,Readable (≥0.75),RAB7A,Endosome,#C6A16A
field_holdout_sanity,Field,lipid_droplet_bodipy_live_cell_dye,0.8818478342145681,0.8753211827327807,0.8932465967411796,10,Readable (≥0.75),BODIPY live cell dye,Lysosome,#E8943A
field_holdout_sanity,Field,lipid_droplet_plin2,0.676765742401282,0.6647079519617061,0.6813310437835752,10,Intermediate (0.60–0.75),PLIN2,Lysosome,#E8943A
field_holdout_sanity,Field,lysosome_lamp1,0.6980090825508038,0.6820655705407263,0.7055953898156683,10,Intermediate (0.60–0.75),LAMP1,Lysosome,#E8943A
field_holdout_sanity,Field,lysosome_lysotracker_live-cell_dye,0.9010267450163761,0.8942321539235611,0.905673229911675,10,Readable (≥0.75),LysoTracker live-cell dye,Lysosome,#E8943A
field_holdout_sanity,Field,microtubules_map4,0.75613337593774,0.71959108132869,0.7614748507738114,10,Readable (≥0.75),MAP4,Cytoskeleton,#4FA7B8
field_holdout_sanity,Field,microtubules_tubulin,0.6387486072257161,0.6050938989035786,0.6461108091701236,10,Intermediate (0.60–0.75),Tubulin*,Cytoskeleton,#4FA7B8
field_holdout_sanity,Field,mitochondria_chromalive_561_excitation,0.7225716152538856,0.7152020034690698,0.7414002647002539,10,Intermediate (0.60–0.75),ChromaLIVE 561 excitation,Mitochondria,#C85A3C
field_holdout_sanity,Field,mitochondria_tomm20,0.5951888979309136,0.5643029912167953,0.6029522235919204,10,Hard (<0.60),TOMM20*,Mitochondria,#C85A3C
