biological_category,category_color,mean,median,n_reporters,ci95_low,ci95_high
Stress/PQC,#CC79A7,0.7331260284019712,0.7441053985059262,5,0.6174689225123731,0.8487831342915694
Cytoskeleton,#4FA7B8,0.796267293776489,0.7784127787376444,4,0.7292824713720216,0.8672168036922812
Lysosome,#E8943A,0.8247955673862072,0.889691340426604,7,0.7517968509346248,0.8889250717170183
Signaling,#7B6597,0.6204623034378595,0.5775233318238557,9,0.5503641665261387,0.703720649715375
Nucleus,#3E6F9C,0.7451834799758055,0.7686495331426462,8,0.6715631359146597,0.8036583619640829
Mitochondria,#C85A3C,0.7444316936941403,0.7522746066873272,4,0.7017574086397265,0.7792630657553673
Endosome,#C6A16A,0.8771745535855492,0.8865717807163794,4,0.8394470577438671,0.9149020494272311
ER/Golgi,#4F9A70,0.7674370255942147,0.7998845250656208,7,0.7012097189160773,0.8378096807570685
Peroxisome,#D56C75,0.7845023048420747,0.7845023048420747,1,0.7845023048420747,0.7845023048420747
Plasma Membrane,#9C8C72,0.7996285410942856,0.749630705267191,3,0.7419182704554664,0.9073366475601992
