reporter_slug,short_name,endpoint_superfamily,pearson,n_endpoints_family,original_marker_map_full,reliability,log10_exact_links,n_endpoints
5xupre,5xUPRE,Intensity extrema/range,0.7348020124936602,15,0.0285662670576592,0.4085795923758126,5.636839803078212,20
5xupre,5xUPRE,Intensity level,0.809853677791668,5,0.0285662670576592,0.4085795923758126,5.636839803078212,20
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,Intensity extrema/range,0.9093212017769225,18,0.0873678024567895,0.4815571491092879,5.716934407661167,24
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,Intensity level,0.947704781914893,6,0.0873678024567895,0.4815571491092879,5.716934407661167,24
autophagosome_atg101,ATG101,Intensity extrema/range,0.7102236906826516,18,0.0535716538480039,0.5696557950339326,5.222680061700779,24
autophagosome_atg101,ATG101,Intensity level,0.7692812709957463,6,0.0535716538480039,0.5696557950339326,5.222680061700779,24
autophagosome_map1lc3b,MAP1LC3B,Intensity extrema/range,0.8970158516998183,18,0.0520653905288117,0.4661954595673966,5.5552299176482345,24
autophagosome_map1lc3b,MAP1LC3B,Intensity level,0.9234491345931022,6,0.0520653905288117,0.4661954595673966,5.5552299176482345,24
b-catenin,b-catenin*,Spatial displacement,0.2492172731940579,2,0.0189772987989755,0.2160133604189748,4.95562041261558,30
b-catenin,b-catenin*,Sub-object distribution,0.5804230755146964,28,0.0189772987989755,0.2160133604189748,4.95562041261558,30
c-myc,c-Myc*,Spatial displacement,0.41925181340503365,2,0.0146426869017418,0.2166304258685255,4.95562041261558,30
c-myc,c-Myc*,Sub-object distribution,0.5686350975908956,28,0.0146426869017418,0.2166304258685255,4.95562041261558,30
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,Intensity extrema/range,0.5809150863801508,18,0.033668206807045,0.3152966465946273,5.196397284437343,24
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,Intensity level,0.6420721274523703,6,0.033668206807045,0.3152966465946273,5.196397284437343,24
cell_proliferation_marker_mki67,MKI67*,Intensity extrema/range,0.692892238244822,18,0.071040592867167,0.3279687777331082,5.295841882940265,24
cell_proliferation_marker_mki67,MKI67*,Intensity level,0.7352898816540271,6,0.071040592867167,0.3279687777331082,5.295841882940265,24
chaperones_hspa1b,HSPA1B,Intensity extrema/range,0.8239077905953004,18,0.0339831082887086,0.3807492021518412,5.286357653142787,24
chaperones_hspa1b,HSPA1B,Intensity level,0.8835709248624206,6,0.0339831082887086,0.3807492021518412,5.286357653142787,24
chromalive_488_excitation,ChromaLIVE 488 excitation,Intensity extrema/range,0.7753389323574518,18,0.0640750366820573,0.3255015696911665,5.275576227946301,24
chromalive_488_excitation,ChromaLIVE 488 excitation,Intensity level,0.7723132174196788,6,0.0640750366820573,0.3255015696911665,5.275576227946301,24
chromatin_h2bc21,H2BC21,Intensity extrema/range,0.7629874052446621,18,0.0848242435465043,0.580774506626757,5.486710943925766,24
chromatin_h2bc21,H2BC21,Intensity level,0.7856595224457696,6,0.0848242435465043,0.580774506626757,5.486710943925766,24
clathrin_vesicles_clta,CLTA,Intensity extrema/range,0.9057900549477387,18,0.0098018072230551,0.5686643877978657,5.23214955448675,24
clathrin_vesicles_clta,CLTA,Intensity level,0.9372894714500445,6,0.0098018072230551,0.5686643877978657,5.23214955448675,24
early_endosome_eea1,EEA1,Intensity extrema/range,0.9164853641287601,18,0.0553728028009787,0.7784811755482057,5.1459294556647635,24
early_endosome_eea1,EEA1,Intensity level,0.9476275799310944,6,0.0553728028009787,0.7784811755482057,5.1459294556647635,24
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,Intensity extrema/range,0.7562225672092562,18,0.0550421017198823,0.4110300664564122,5.376717441370596,24
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,Intensity level,0.7756434379171466,6,0.0550421017198823,0.4110300664564122,5.376717441370596,24
endosome_vps35,VPS35,Intensity extrema/range,0.8219883997163238,18,0.016069439071559,0.3519252152106765,5.256441113787795,24
endosome_vps35,VPS35,Intensity level,0.8698207664847555,6,0.016069439071559,0.3519252152106765,5.256441113787795,24
er_cona,ConA*,Integrated intensity,0.5546437541053252,6,0.0293009832890368,0.2319836986715685,5.047559110643657,72
er_cona,ConA*,Intensity dispersion,0.7061508892250735,24,0.0293009832890368,0.2319836986715685,5.047559110643657,72
er_cona,ConA*,Intensity extrema/range,0.7513671676018095,18,0.0293009832890368,0.2319836986715685,5.047559110643657,72
er_cona,ConA*,Intensity level,0.7485040910647092,24,0.0293009832890368,0.2319836986715685,5.047559110643657,72
er_golgi_bridge_vapa,VAPA,Intensity extrema/range,0.8042973997227938,18,0.0113572899637211,0.6864386449976475,5.375709326763612,24
er_golgi_bridge_vapa,VAPA,Intensity level,0.8294064855780247,6,0.0113572899637211,0.6864386449976475,5.375709326763612,24
er_golgi_cop-ii_sec23a,SEC23A,Intensity extrema/range,0.9240251313999861,18,0.0791082799579209,0.7963114253629393,5.116760450671121,24
er_golgi_cop-ii_sec23a,SEC23A,Intensity level,0.9506910686957503,6,0.0791082799579209,0.7963114253629393,5.116760450671121,24
er_golgi_cope,COPE,Intensity extrema/range,0.8214099828130395,18,0.0550782488272643,0.5671140969254439,5.355748355779594,24
