reporter_slug,consensus10_gene_pearson,consensus10_gene_spearman,consensus10_magnitude_spearman,n_models,marker,short_name,biological_category,n_screens,screen_ids,n_exact_assay_cell_links,within_screen_split_half_pearson_median,cross_screen_pearson_median,well_consistency,guide_half_consistency,random_half_consistency,original_marker_map,original_marker_map_exact,original_marker_map_full,original_phase_marker_tfidf_pearson,original_marker_map_300_cells_per_guide,titration_n_cells,titration_n_guides,titration_n_perturbations,statistical_unit,consensus_aggregation,recoverability_rank
stress_granule_g3bp1,0.927926774074634,0.9131775627828411,0.9306814454239782,10,"stress granule, G3BP1",G3BP1,Stress/PQC,1,Biohub_OPS0037,157307,0.5489821526032832,,0.2804423393326973,0.3498452616652168,0.5457500874588074,"stress granule, G3BP1",True,0.04910209182709079,0.10231298524674062,0.0462234267140128,1012218,4205,1001,reporter,unweighted_median_10_models,1
lysosome_lysotracker_live-cell_dye,0.9248392219344774,0.9103728363699628,0.974222816593513,10,"lysosome, LysoTracker live-cell dye",LysoTracker live-cell dye,Lysosome,3,Biohub_OPS0044;Biohub_OPS0055;Biohub_OPS0056,288734,0.8118267526031067,0.8204466370950083,,,0.8227655223191094,"lysosome, LysoTracker live-cell dye",True,0.1104008174961877,0.2717627723141009,0.0915813936872476,1200659,4206,1001,reporter,unweighted_median_10_models,2
er_golgi_cop-ii_sec23a,0.9248014762997626,0.89772682630501,0.9321134942823082,10,"ER/Golgi COP-II, SEC23A",SEC23A,ER/Golgi,1,Biohub_OPS0035,130846,0.7963114253629393,,0.6161680913988538,0.6045031895437842,0.7855770096545338,"ER/Golgi COP-II, SEC23A",True,0.0791082799579209,0.1500061246837097,0.0771573041256501,913865,4205,1001,reporter,unweighted_median_10_models,3
early_endosome_eea1,0.9192501720041035,0.8924520825230894,0.959871690948203,10,"early endosome, EEA1",EEA1,Endosome,1,Biohub_OPS0039,139936,0.7784811755482057,,0.6945369667562562,0.6630821359621683,0.8244275180417301,"early endosome, EEA1",True,0.055372802800978775,0.12149883904802782,0.0528821431033127,950399,4204,1001,reporter,unweighted_median_10_models,4
lipid_droplet_bodipy_live_cell_dye,0.9148503104845682,0.8909608316211008,0.927660374806761,10,"lipid droplet, BODIPY live cell dye",BODIPY live cell dye,Lysosome,2,Biohub_OPS0034;Biohub_OPS0066,154449,0.693173451270225,0.7270491308411119,0.6505728028964989,0.6460355829403016,0.8121489492712606,"lipid droplet, BODIPY live cell dye",True,0.0776833477247266,0.20067574777805988,0.0742716192865517,996092,4205,1001,reporter,unweighted_median_10_models,5
late_endosome_rab7a,0.9105539268503586,0.8926624829859834,0.9197183297431639,10,"late endosome, RAB7A",RAB7A,Endosome,2,Biohub_OPS0014;Biohub_OPS0026,124176,0.5437250794222616,0.5806218128816876,,,-0.1076137539154044,"late endosome, RAB7A",True,0.012511581530254572,0.03337020020795603,0.012523701988769,881734,4204,1001,reporter,unweighted_median_10_models,6
actin_filament_fastact_spy555_live_cell_dye,0.9096364724139372,0.8907793790291154,0.9208447910130291,10,"actin filament, FastAct_SPY555 Live Cell Dye",FastAct_SPY555 Live Cell Dye,Cytoskeleton,5,Biohub_OPS0033;Biohub_OPS0065;Biohub_OPS0072;Biohub_OPS0074;Biohub_OPS0076,521116,0.4815571491092879,0.45475664889027,,,0.3069824562313499,"actin filament, FastAct_SPY555 Live Cell Dye",True,0.08736780245678955,0.26665205495050653,0.0519561542698976,1249672,4206,1001,reporter,unweighted_median_10_models,7
plasma_membrane_slc3a2,0.9073366475601992,0.8784071938041899,0.9105504925365182,10,"plasma membrane, SLC3A2",SLC3A2,Plasma Membrane,2,Biohub_OPS0003;Biohub_OPS0004,145845,0.4535912492305982,0.4500201655132556,0.4184045581441393,0.5044021277239262,0.6375809262180705,"plasma membrane, SLC3A2",True,0.012052870199114522,0.0029031301644663276,0.0120161250888465,989115,4204,1001,reporter,unweighted_median_10_models,8
clathrin_vesicles_clta,0.9066772521783909,0.8881931670746833,0.9266886122334899,10,"clathrin vesicles, CLTA",CLTA,Lysosome,2,Biohub_OPS0018;Biohub_OPS0019,170667,0.5686643877978657,0.6317620144208324,,,0.19202533548236,"clathrin vesicles, CLTA",True,0.009801807223055112,0.06678887192194985,0.0091359877245007,1061344,4204,1001,reporter,unweighted_median_10_models,9
autophagosome_map1lc3b,0.889691340426604,0.7926053321789173,0.8417661008996384,10,"autophagosome, MAP1LC3B",MAP1LC3B,Lysosome,3,Biohub_OPS0016;Biohub_OPS0017;Biohub_OPS0040,359112,0.4661954595673966,0.426011165810057,,,0.2150767331516949,"autophagosome, MAP1LC3B",True,0.052065390528811775,0.11943223017058732,0.0389489894148784,1231166,4206,1001,reporter,unweighted_median_10_models,10
fe2+_ferhonox_live-cell_dye,0.871222957285742,0.7594618892528607,0.8887794207462909,10,"Fe2+, FeRhoNox live-cell dye",FeRhoNox live-cell dye,Signaling,2,Biohub_OPS0047;Biohub_OPS0067,211029,0.6070291514177555,0.5115315740494464,-0.0148487300906302,0.0154040793606453,0.3989611953933886,"Fe2+, FeRhoNox live-cell dye",True,0.07675871840737858,0.12280536044250824,0.0677773282219726,1130510,4206,1001,reporter,unweighted_median_10_models,11
recycling_endosome_tfrc,0.8625896345824002,0.8467479067407642,0.9375551477629365,10,"recycling endosome, TFRC",TFRC,Endosome,2,Biohub_OPS0027;Biohub_OPS0060,240436,0.591056052462748,0.6576130240843253,0.0747769187369216,0.2262482864822812,0.4236574413784361,"recycling endosome, TFRC",True,0.04493153037764193,0.09644299355262549,0.040245565059399,1173883,4204,1001,reporter,unweighted_median_10_models,12
nuclear_speckles_srrm2,0.8493885807693005,0.7944421828876594,0.8497016109293645,10,"nuclear speckles, SRRM2",SRRM2,Nucleus,2,Biohub_OPS0036;Biohub_OPS0061,277841,0.619391207547443,0.6158820456943749,,,0.4895879392262918,"nuclear speckles, SRRM2",True,0.12716412277591171,0.24195970372176356,0.1132721391988784,1198598,4204,1001,reporter,unweighted_median_10_models,13
er_golgi_cope,0.8243623409420252,0.7596160297574854,0.9318140727652882,10,"ER/Golgi, COPE",COPE,ER/Golgi,2,Biohub_OPS0023;Biohub_OPS0074,226855,0.5671140969254439,0.537755035072178,0.3255254707755316,0.2410340285597123,0.5927464074950468,"ER/Golgi, COPE",True,0.05507824882726434,0.05322124176946256,0.0477198823334189,1171331,4204,1001,reporter,unweighted_median_10_models,14
chaperones_hspa1b,0.8219783624013265,0.7926432835637909,0.7821320998915793,10,"chaperones, HSPA1B",HSPA1B,Stress/PQC,2,Biohub_OPS0028;Biohub_OPS0072,193356,0.3807492021518412,0.4496506427110658,,,0.0198570608595612,"chaperones, HSPA1B",True,0.033983108288708694,0.08003085125966902,0.0314801322130075,1131138,4205,1001,reporter,unweighted_median_10_models,15
nucleolus-gc_npm3,0.8214593877394993,0.7795273489292849,0.8199020510772838,10,"nucleolus-GC, NPM3",NPM3,Nucleus,2,Biohub_OPS0042;Biohub_OPS0058,213118,0.4003235836780205,0.4767967734841842,,,0.3345004843839075,"nucleolus-GC, NPM3",True,0.10785368154198847,0.20179072018466054,0.1004826631779333,1134686,4206,1001,reporter,unweighted_median_10_models,16
nuclei_nucleolive_live_cell_dye,0.8201554869612058,0.7792049244202471,0.8118814881793475,10,"nucleus, NucleoLIVE Live Cell dye",NucleoLIVE Live Cell dye,Nucleus,2,Biohub_OPS0061;Biohub_OPS0062,269328,0.6299969683630331,0.6576510267642196,,,0.2743772868866996,"nucleus, NucleoLIVE Live Cell dye",True,0.12526894416257062,0.27958263859959825,0.1071633862212683,1198281,4204,1001,reporter,unweighted_median_10_models,17
microtubules_map4,0.8168677599479754,0.7896568164981154,0.6778292704053275,10,"microtubules, MAP4",MAP4,Cytoskeleton,1,Biohub_OPS0046,153231,0.557891172634394,,,,0.3411448830411058,"microtubules, MAP4",True,0.04810216782459899,0.08088947454747901,0.0468637771486093,1016684,4204,1001,reporter,unweighted_median_10_models,18
endosome_vps35,0.8163044809053341,0.7971308420485936,0.712542332514402,10,"endosome, VPS35",VPS35,Endosome,2,Biohub_OPS0013;Biohub_OPS0025,180485,0.3519252152106765,0.2487848321997394,0.1445434086814302,0.1449310667005616,0.4152154032648406,"endosome, VPS35",True,0.01606943907155903,0.0015784554266416284,0.015219048696922,1080278,4205,1001,reporter,unweighted_median_10_models,19
er_sec61b,0.8011578214665254,0.7717879206778893,0.803583949021468,10,"ER, SEC61B",SEC61B,ER/Golgi,6,Biohub_OPS0001;Biohub_OPS0005;Biohub_OPS0006;Biohub_OPS0007;Biohub_OPS0008;Biohub_OPS0009,433351,0.4571854056007768,0.4333772785856781,,,0.4332640581402455,"ER, SEC61B",True,0.06114229581440848,0.08487735434343541,0.0415696129660105,1245402,4204,1001,reporter,unweighted_median_10_models,20
er_golgi_bridge_vapa,0.7998845250656208,0.7588430896260246,0.8325001963134591,10,"ER/golgi bridge, VAPA",VAPA,ER/Golgi,2,Biohub_OPS0020;Biohub_OPS0021,237525,0.6864386449976475,0.7694866705978605,0.7048207461580841,0.6486488167775594,0.826117980358082,"ER/golgi bridge, VAPA",True,0.011357289963721194,-0.011627501182578338,0.0111616992477222,1139063,4204,1001,reporter,unweighted_median_10_models,21
mitochondria_chromalive_561_excitation,0.792696370681127,0.7646221570947765,0.919669634289979,10,"mitochondria, ChromaLIVE 561 excitation",ChromaLIVE 561 excitation,Mitochondria,2,Biohub_OPS0063;Biohub_OPS0075,234909,0.7231375976605061,0.8009035291722653,0.6621438898577932,0.5701508046577872,0.8107801277002468,"mitochondria, ChromaLIVE 561 excitation",True,0.09754170470295888,0.2795911246380205,0.0854195702660733,1139538,4205,1001,reporter,unweighted_median_10_models,22
peroxisome_peroxi_spy650_live_cell_dye,0.7845023048420747,0.7655384176070094,0.8338738166023234,10,"peroxisome, Peroxi_SPY650 live cell dye",Peroxi_SPY650 live cell dye,Peroxisome,2,Biohub_OPS0045;Biohub_OPS0057,197625,0.491094238791797,0.562789265643651,,,0.1663774294327532,"peroxisome, Peroxi_SPY650 live cell dye",True,0.047475339201820545,0.08056073623351921,0.0442303794675879,1120491,4205,1001,reporter,unweighted_median_10_models,23
nucleolus-dfc_fbl,0.7793305455396573,0.6981556369697701,0.8176846099690173,10,"nucleolus-DFC, FBL",FBL,Nucleus,2,Biohub_OPS0041;Biohub_OPS0062,224402,0.2774818093462274,0.3067584546823129,0.0865713577510611,0.0452799719412937,0.3974820770634423,"nucleolus-DFC, FBL",True,0.07861846616721607,0.18122486780763533,0.0729755258001974,1170572,4204,1001,reporter,unweighted_median_10_models,24
chromalive_488_excitation,0.765586062396566,0.741858919881636,0.8106159439666197,10,ChromaLIVE 488 excitation,ChromaLIVE 488 excitation,Mitochondria,2,Biohub_OPS0002;Biohub_OPS0051,188615,0.3255015696911665,0.306221734681592,,,0.523027207591009,ChromaLIVE 488 excitation,True,0.06407503668205738,0.16029207175841975,0.0602560282080633,1090692,4205,1001,reporter,unweighted_median_10_models,25
chromatin_h2bc21,0.757968520745635,0.7242393000061207,0.7296578277095063,10,"chromatin, H2BC21",H2BC21,Nucleus,2,Biohub_OPS0064;Biohub_OPS0069,306698,0.580774506626757,0.6401417408029008,0.4236693641551209,0.4527895753344156,0.6008810089853722,"chromatin, H2BC21",True,0.08482424354650431,0.20353231679234884,0.0707903122440936,1208756,4204,1001,reporter,unweighted_median_10_models,26
plasma_membrane_atp1b3,0.749630705267191,0.7070512913391958,0.7313903886535404,10,"plasma membrane, ATP1B3",ATP1B3,Plasma Membrane,2,Biohub_OPS0032;Biohub_OPS0071,248481,0.5016975413704213,0.5465011530111286,0.4232796587385627,0.4277658948237046,0.6437785514220107,"plasma membrane, ATP1B3",True,0.06992083851201564,0.1188079035121669,0.0609783503464138,1166588,4205,1001,reporter,unweighted_median_10_models,27
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.7449175643424193,0.6869214705528317,0.8863182364396878,10,"endocytic vesicle pH, pHrodo-dextran Live Cell Dye",pHrodo-dextran Live Cell Dye,Signaling,2,Biohub_OPS0053;Biohub_OPS0064,238077,0.4110300664564122,0.371973045067865,,,0.6260526771875503,"endocytic vesicle pH, pHrodo-dextran Live Cell Dye",True,0.05504210171988238,0.1453835446009211,0.0497447383981808,1157565,4204,1001,reporter,unweighted_median_10_models,28
5xupre,0.7441053985059262,0.7103999506942253,0.744607375859313,10,5xUPRE,5xUPRE,Stress/PQC,6,Biohub_OPS0001;Biohub_OPS0005;Biohub_OPS0006;Biohub_OPS0007;Biohub_OPS0008;Biohub_OPS0009,433351,0.4085795923758126,0.5146882059582216,,,0.0422256334353751,5xUPRE,True,0.028566267057659248,0.024674116373309653,0.0212786896949777,1245402,4204,1001,reporter,unweighted_median_10_models,29
plasma_membrane_wga,0.7419182704554664,0.7188249215355627,0.7606219585222829,10,"plasma membrane, WGA (cp)",WGA*,Plasma Membrane,1,Biohub_OPS0043,111573,0.2955940866884624,,0.1309205550623561,0.1854856414673568,0.287832297551676,"plasma membrane, WGA (cp)",True,0.06361267757400281,0.157109967128603,0.0614768566807472,1044929,4201,1001,reporter,unweighted_median_10_models,30
f-actin_phalloidin,0.7399577975273133,0.7093259558428071,0.7485963833192277,10,"f-actin, Phalloidin (cp)",Phalloidin*,Cytoskeleton,1,Biohub_OPS0043,111573,0.3996475172727066,,0.1581673080256325,0.2277065106266463,0.362540287646687,"f-actin, Phalloidin (cp)",True,0.02164522680102044,0.13352852663225934,0.0203720738986255,1044929,4201,1001,reporter,unweighted_median_10_models,31
mitochondria_tomm70a,0.7389631509780884,0.7095163435546052,0.7679580054255057,10,"mitochondria, TOMM70A",TOMM70A,Mitochondria,2,Biohub_OPS0015;Biohub_OPS0068,139205,0.3915349809035072,0.4373408801621547,0.1250988531304568,0.1786746250325804,0.3362678687098983,"mitochondria, TOMM70A",True,0.020682119436186492,0.05977496697112778,0.0202726834189626,940584,4204,1001,reporter,unweighted_median_10_models,32
lysosome_lamp1,0.7367389331261318,0.7240286789699166,0.7794439989194872,10,"lysosome, LAMP1",LAMP1,Lysosome,2,Biohub_OPS0011;Biohub_OPS0012,124870,0.4475988330251703,0.5572684264207466,0.4555456086063264,0.4617345945977302,0.6306682965276502,"lysosome, LAMP1",True,0.015071107356152844,0.007080541857568278,0.015166405685624,884455,4204,1001,reporter,unweighted_median_10_models,33
nuclei_hoechst,0.7314091514050961,0.7132288233066253,0.6453848132244099,10,"nuclei, Hoechst (cp)",Hoechst*,Nucleus,1,Biohub_OPS0043,111573,0.187063345712023,,0.0343624592951019,0.0057603999350883,0.1175089394430572,"nuclei, Hoechst (cp)",True,0.033641709613392294,0.10493962955526168,0.0322402321276928,1044929,4201,1001,reporter,unweighted_median_10_models,34
microtubules_tubulin,0.71860714521673,0.6859311644159419,0.7281169078667112,10,"microtubules, Tubulin (cp)",Tubulin*,Cytoskeleton,1,Biohub_OPS0043,111573,0.2737965813011502,,0.162670499349413,0.1673888765484563,0.3092903717346943,"microtubules, Tubulin (cp)",True,0.03456123241903044,0.10798043566895904,0.0330373452014273,1044929,4201,1001,reporter,unweighted_median_10_models,35
er_cona,0.7051554984102646,0.6752852283049497,0.6993832116709009,10,"ER, ConA (cp)",ConA*,ER/Golgi,1,Biohub_OPS0043,111573,0.2319836986715685,,0.0751833317064176,0.126834492205733,0.2250465156185861,"ER, ConA (cp)",True,0.029300983289036863,0.10958933611374322,0.02727329098127,1044929,4201,1001,reporter,unweighted_median_10_models,36
autophagosome_atg101,0.7028304977342487,0.6622068761150328,0.6720188767638541,10,"autophagosome, ATG101",ATG101,Lysosome,2,Biohub_OPS0031;Biohub_OPS0054,166986,0.5696557950339326,0.6545571953361736,,,-0.3438261558753475,"autophagosome, ATG101",True,0.053571653848003956,0.12832459448656014,0.051040495633149,1049267,4205,1001,reporter,unweighted_median_10_models,37
