arm,metric,n_reporters,median,q1,q3,summary_display
exact_pair,Cell,52,0.7569575357561309,0.6051559248732197,0.8404690862322847,median_and_IQR
exact_pair,KO,52,0.7690513706455628,0.695610772125009,0.8567108146225413,median_and_IQR
gene_screen_deranged,Cell,52,0.2913566181111188,0.09566591757547932,0.4793214058503509,median_and_IQR
gene_screen_deranged,KO,52,0.29291529218923334,0.1809414299578646,0.37030149328881323,median_and_IQR
covariate_matched_deranged,Cell,52,0.5307113753631711,0.370793875084362,0.6110981141837935,median_and_IQR
covariate_matched_deranged,KO,52,0.5018989926359305,0.42232446852140126,0.5798408173024654,median_and_IQR
size_shape_only,Cell,52,0.2612916058860719,0.22367940677019452,0.33125385952363195,median_and_IQR
size_shape_only,KO,52,0.3285804825543891,0.2673363189571924,0.4521571788055653,median_and_IQR
remove_size_shape,Cell,52,0.756974619999528,0.6044479894762238,0.840248881218334,median_and_IQR
remove_size_shape,KO,52,0.7691918826351563,0.6962532155474441,0.8567492196336388,median_and_IQR
