reporter_slug,control,metric,exact_minus_control
5xupre,gene_screen_deranged,Cell,0.41228264000266795
actin_filament_fastact_spy555_live_cell_dye,gene_screen_deranged,Cell,0.4798143031075598
autophagosome_atg101,gene_screen_deranged,Cell,0.3522339783531304
autophagosome_map1lc3b,gene_screen_deranged,Cell,0.24957520949343837
b-catenin,gene_screen_deranged,Cell,0.420967714827275
c-myc,gene_screen_deranged,Cell,0.4055311138210042
caspase_activity_cellevent-caspase_live-cell_dye,gene_screen_deranged,Cell,0.43834587585394436
cell_proliferation_marker_mki67,gene_screen_deranged,Cell,0.26637153504416344
chaperones_hspa1b,gene_screen_deranged,Cell,0.31344835000733545
chromalive_488_excitation,gene_screen_deranged,Cell,0.4054584750905634
chromatin_h2bc21,gene_screen_deranged,Cell,0.5293483950663358
clathrin_vesicles_clta,gene_screen_deranged,Cell,0.6204909412617174
early_endosome_eea1,gene_screen_deranged,Cell,0.5377046711771982
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,gene_screen_deranged,Cell,0.1944665022194385
endosome_vps35,gene_screen_deranged,Cell,0.3597283334160844
er_cona,gene_screen_deranged,Cell,0.4914750482309803
er_golgi_bridge_vapa,gene_screen_deranged,Cell,0.5952929675229826
er_golgi_cop-ii_sec23a,gene_screen_deranged,Cell,0.5878693497351681
er_golgi_cope,gene_screen_deranged,Cell,0.2446229649086793
er_ncln,gene_screen_deranged,Cell,0.4649304897672363
er_sec61b,gene_screen_deranged,Cell,0.522816946322564
f-actin_phalloidin,gene_screen_deranged,Cell,0.5194859413880397
fe2+_ferhonox_live-cell_dye,gene_screen_deranged,Cell,0.11560077378526323
late_endosome_rab7a,gene_screen_deranged,Cell,0.5385738155494134
lipid_droplet_bodipy_live_cell_dye,gene_screen_deranged,Cell,0.524377040984109
lipid_droplet_plin2,gene_screen_deranged,Cell,0.21424839918812122
lysosome_lamp1,gene_screen_deranged,Cell,0.471256160712801
lysosome_lysotracker_live-cell_dye,gene_screen_deranged,Cell,0.4737521518060626
microtubules_map4,gene_screen_deranged,Cell,0.5999642780050636
microtubules_tubulin,gene_screen_deranged,Cell,0.5186123570721167
mitochondria_chromalive_561_excitation,gene_screen_deranged,Cell,0.26692285739506294
mitochondria_tomm20,gene_screen_deranged,Cell,0.4718712575831281
mitochondria_tomm70a,gene_screen_deranged,Cell,0.23940368671901524
nuclear_speckles_srrm2,gene_screen_deranged,Cell,0.28004414029419433
nuclei_hoechst,gene_screen_deranged,Cell,0.6144159211032093
nuclei_nucleolive_live_cell_dye,gene_screen_deranged,Cell,0.34265628239760804
nucleoli_npm1,gene_screen_deranged,Cell,0.4114500729580565
nucleolus-dfc_fbl,gene_screen_deranged,Cell,0.23216786930958422
nucleolus-gc_npm3,gene_screen_deranged,Cell,0.349503423149387
oxidative_stress_cellrox_live-cell_dye,gene_screen_deranged,Cell,0.2852377223471802
p21,gene_screen_deranged,Cell,0.3068497409045813
p53,gene_screen_deranged,Cell,0.3484378900194618
peroxisome_peroxi_spy650_live_cell_dye,gene_screen_deranged,Cell,0.3093216854458055
plasma_membrane_atp1b3,gene_screen_deranged,Cell,0.37355356880774104
plasma_membrane_slc3a2,gene_screen_deranged,Cell,0.52560213226825
plasma_membrane_wga,gene_screen_deranged,Cell,0.5227836880027301
prb,gene_screen_deranged,Cell,0.2911173873918596
proteasome_psmb7,gene_screen_deranged,Cell,0.16512647432585564
ps6,gene_screen_deranged,Cell,0.44509075765556194
recycling_endosome_tfrc,gene_screen_deranged,Cell,0.36868358043332905
stress_granule_g3bp1,gene_screen_deranged,Cell,0.7360366506502033
trans-golgi_vamp3,gene_screen_deranged,Cell,0.3950495096699645
5xupre,gene_screen_deranged,KO,0.36259772963821896
actin_filament_fastact_spy555_live_cell_dye,gene_screen_deranged,KO,0.6389917343544462
autophagosome_atg101,gene_screen_deranged,KO,0.39996455668782194
autophagosome_map1lc3b,gene_screen_deranged,KO,0.34599851692716277
b-catenin,gene_screen_deranged,KO,0.40784332764364095
c-myc,gene_screen_deranged,KO,0.4376811832810442
caspase_activity_cellevent-caspase_live-cell_dye,gene_screen_deranged,KO,0.41571927263570013
cell_proliferation_marker_mki67,gene_screen_deranged,KO,0.48053233941318474
chaperones_hspa1b,gene_screen_deranged,KO,0.4933315578227242
chromalive_488_excitation,gene_screen_deranged,KO,0.5456637445240631
chromatin_h2bc21,gene_screen_deranged,KO,0.4789407687300507
