input,provenance,sha256,bytes
means,released-panel-local copy,7ce53777a1e95ec1af27809df99e350e36eae4370a297374e3825b7606b1e5cb,24005
advantage,released-panel-local copy,e07b6a6d497518ba56acc8f7b94f6bc0f7b26acb1fd024d1e515c0b02b8631eb,816
residual,released-panel-local copy,a14c93cec8795fae89b59bcd0082e884db6093997a6f78973eab15ed36fa6c43,4192
summary,released-panel-local copy,e980f746a9f8e3634edb5aaffb560234edca8d3643f4328e5a6b68322fcdde9c,1070
utility,released-panel-local copy,349f518bce3b6594ebc7c46b55b9f3ad282e787991e8e4392840d28aa1b39ab7,23844
genes,released-panel-local copy,5ed8a91e3fd877dfec8b3c6040070e48f7c77a48a73707aac6c89b6b1200f504,19208467
transfer_selection,released-panel-local copy,c7c0566598f4929d760b43752aa1911f9d980635537cc1ba14d7e32e49cbb214,466
transfer_profiles,released-panel-local copy,2e699e98f0a37287c84317282e3b9f6c8d62bebef4a852736f658d796cf68356,170407
strict,released-panel-local copy,a4d3f50b4f1d4c81e28b165d87eb50d61ab6a657627db577d226efcb0f58dd94,72198
roster,released-panel-local copy,d7210ae1097661e0143d18a3b04719d971d3857e84b7bbeb68bf024df1405f92,540
prb_microscopy,released-panel-local copy,e1e21cd8b833f29ad230dc139fe942f18fab2d52b8bcfd03a081270f1f065398,1081998
microscopy_selection,released-panel-local copy,fcf376bd411290ded4324581d3b7d2f897eb96dd79d5636982ececa8c6936681,3285
microscopy_display,released-panel-local copy,aeb0c69d3107d69ae0cd6448a460bbbfa799321c0f7b10dee4023ee0bef4f890,399
