row_term,column_term,spearman_rho,n_reporters_pairwise_complete
within_screen_split_half_pearson_median,within_screen_split_half_pearson_median,1.0,52
within_screen_split_half_pearson_median,guide_half_consistency,0.811764705882353,35
within_screen_split_half_pearson_median,cross_screen_pearson_median,0.9104660045836517,34
within_screen_split_half_pearson_median,log10_exact_links,0.38670706740066996,52
guide_half_consistency,within_screen_split_half_pearson_median,0.811764705882353,35
guide_half_consistency,guide_half_consistency,1.0,35
guide_half_consistency,cross_screen_pearson_median,0.6904024767801857,18
guide_half_consistency,log10_exact_links,0.2768398608517057,35
cross_screen_pearson_median,within_screen_split_half_pearson_median,0.9104660045836517,34
cross_screen_pearson_median,guide_half_consistency,0.6904024767801857,18
cross_screen_pearson_median,cross_screen_pearson_median,1.0,34
cross_screen_pearson_median,log10_exact_links,0.1969743299281777,34
log10_exact_links,within_screen_split_half_pearson_median,0.3867070674006699,52
log10_exact_links,guide_half_consistency,0.2768398608517057,35
log10_exact_links,cross_screen_pearson_median,0.1969743299281777,34
log10_exact_links,log10_exact_links,1.0,52
