target,test,replicate_or_draw,pearson_r,statistical_role
pRb,Well pairs,0,0.0720946476921659,observed partition
pRb,Well pairs,1,-0.0153553197807242,observed partition
pRb,Well pairs,2,-0.0313230867160951,observed partition
pRb,Independent guide halves,0,-0.0216191817916613,observed partition
pRb,Independent guide halves,1,-0.0196065331916808,observed partition
pRb,Independent guide halves,2,0.0095290949262456,observed partition
pRb,Random cell halves,0,0.1475898750924578,resampling draw
pRb,Random cell halves,1,0.2153178771215819,resampling draw
pRb,Random cell halves,2,0.1667553087965848,resampling draw
pRb,Random cell halves,3,0.1980502602740952,resampling draw
pRb,Random cell halves,4,0.1215806763550193,resampling draw
pRb,Random cell halves,5,0.1324345198493983,resampling draw
pRb,Random cell halves,6,0.1426913753810979,resampling draw
pRb,Random cell halves,7,0.1528944133731856,resampling draw
pRb,Random cell halves,8,0.1751075033465411,resampling draw
pRb,Random cell halves,9,0.1253424300200014,resampling draw
pRb,Random cell halves,10,0.1549568438616513,resampling draw
pRb,Random cell halves,11,0.184730025889886,resampling draw
pRb,Random cell halves,12,0.1447805459945954,resampling draw
pRb,Random cell halves,13,0.1635557826218381,resampling draw
pRb,Random cell halves,14,0.1547349993188047,resampling draw
pRb,Random cell halves,15,0.1616239971223195,resampling draw
pRb,Random cell halves,16,0.1104938265666042,resampling draw
pRb,Random cell halves,17,0.1635365278502363,resampling draw
pRb,Random cell halves,18,0.1595582377505124,resampling draw
pRb,Random cell halves,19,0.1720530439748651,resampling draw
pRb,Random cell halves,20,0.1555891950909547,resampling draw
pRb,Random cell halves,21,0.1904896527960647,resampling draw
pRb,Random cell halves,22,0.1496815627072351,resampling draw
pRb,Random cell halves,23,0.1639157798720646,resampling draw
pRb,Random cell halves,24,0.1518605917337167,resampling draw
pRb,Random cell halves,25,0.1684958723319953,resampling draw
pRb,Random cell halves,26,0.1732860703030944,resampling draw
pRb,Random cell halves,27,0.1570982582750891,resampling draw
pRb,Random cell halves,28,0.155655145982807,resampling draw
