target,screen,gene,representation,n_cells,n_guides,cross_guide_constraint,median_neighbour_phase_distance,median_neighbour_raw_fluor_difference,median_random_raw_fluor_difference,raw_fluor_discrepancy_ratio,median_neighbour_endpoint_rms,median_random_endpoint_rms,endpoint_discrepancy_ratio,case_order,representation_order,case_label,representation_label,log2_discrepancy_ratio
FeRhoNox,Biohub_OPS0047,AACS,phase172,24,4,True,0.8008215840607662,0.7403687434706585,0.8959418809358741,0.826358002929042,1.094066143035889,1.550548076629639,0.7055996060371399,0,0,"FeRhoNox
OPS0047",Engineered 172D,-0.5030783395027327
FeRhoNox,Biohub_OPS0047,AARS,phase172,24,4,True,0.8225120259353479,1.1586956306786464,0.988798258703252,1.17182207844723,1.2356120347976685,1.7175796031951904,0.719391405582428,0,0,"FeRhoNox
OPS0047",Engineered 172D,-0.47515117088484393
FeRhoNox,Biohub_OPS0047,AATF,phase172,24,4,True,0.8283793077720398,0.9974347934941132,1.5038770298219388,0.6632422556598334,0.8191040754318237,1.3057390451431274,0.6273106932640076,0,0,"FeRhoNox
OPS0047",Engineered 172D,-0.672747939559825
FeRhoNox,Biohub_OPS0047,ABCE1,phase172,24,4,True,0.9337032560223448,0.2619064755223781,0.6032736968854966,0.4341420434448161,0.8310824036598206,1.4490402936935425,0.5735399127006531,0,0,"FeRhoNox
OPS0047",Engineered 172D,-0.8020342078586585
FeRhoNox,Biohub_OPS0047,ABHD10,phase172,24,4,True,0.8094469494381773,0.6450005257521755,0.6240312607914555,1.0336029078641424,0.87563157081604,1.421126365661621,0.6161531805992126,0,0,"FeRhoNox
OPS0047",Engineered 172D,-0.6986390338725925
FeRhoNox,Biohub_OPS0047,ABHD16A,phase172,24,4,True,0.9466429749517422,0.8357906720831555,0.8241598454370964,1.0141123432674528,1.1024315357208252,1.4140605926513672,0.7796211242675781,0,0,"FeRhoNox
OPS0047",Engineered 172D,-0.35915491313815606
FeRhoNox,Biohub_OPS0047,ACSL4,phase172,24,4,True,0.8038610746811081,0.4751824973739081,0.8476255215934705,0.5606042825145258,1.206407904624939,1.88705849647522,0.6393060684204102,0,0,"FeRhoNox
OPS0047",Engineered 172D,-0.6454213066322
FeRhoNox,Biohub_OPS0047,ACSS2,phase172,24,4,True,0.8862984042015494,0.7161764690401222,1.0129898524608212,0.7069927376866999,0.8764598369598389,1.4776195287704468,0.593156635761261,0,0,"FeRhoNox
OPS0047",Engineered 172D,-0.7535149651645758
FeRhoNox,Biohub_OPS0047,ACTR3,phase172,24,4,True,0.8199346518564286,3.79339957028096,2.2141660010043207,1.7132408177888725,1.335913896560669,1.796138882637024,0.7437698245048523,0,0,"FeRhoNox
OPS0047",Engineered 172D,-0.42707187734927143
FeRhoNox,Biohub_OPS0047,ADAMTS18,phase172,24,4,True,0.8103604385086701,1.013829774740369,1.464413020002359,0.6923113635924487,1.1646206378936768,1.824279546737671,0.6384003162384033,0,0,"FeRhoNox
OPS0047",Engineered 172D,-0.647466728672556
FeRhoNox,Biohub_OPS0047,ADAMTS4,phase172,24,4,True,0.8741490306199955,0.358367854989891,0.6133072476640032,0.5843202674595176,1.1859490871429443,1.696629762649536,0.6990028619766235,0,0,"FeRhoNox
OPS0047",Engineered 172D,-0.5166297323466947
