reporter_slug,n_genes,top_k,magnitude_spearman,magnitude_pearson,magnitude_variance_ratio,top5pct_recall,top5pct_jaccard,median_profile_pearson,median_profile_cosine,go_bp_top10_jaccard,go_bp_enrichment_spearman,go_cc_top10_jaccard,go_cc_enrichment_spearman,ebi_complex_top10_jaccard,ebi_complex_enrichment_spearman,statistical_unit,consensus_aggregation,marker,short_name,biological_category,n_screens,screen_ids,n_exact_assay_cell_links,within_screen_split_half_pearson_median,cross_screen_pearson_median,well_consistency,guide_half_consistency,random_half_consistency,amplitude_compressed
prb,1000,50,0.7083289323289323,0.139993496461865,0.0169407424247728,0.6,0.4285714285714285,0.7619403834997662,0.8123603659523857,0.6666666666666666,0.4943382355236354,0.6666666666666666,0.7856982926026803,0.6666666666666666,0.6120284853491824,reporter,unweighted_median_10_models,pRb (4i),pRb*,Signaling,1,Biohub_OPS0077,90286,0.1509084849662904,,-0.0153553197807242,-0.0196065331916808,0.1537214462739089,True
p53,1000,50,0.6648243888243889,0.5523939993660858,0.1358458864429193,0.4,0.25,0.7668394892378145,0.8183034995880525,0.4285714285714285,0.4160858440713804,0.5384615384615384,0.723672253623716,0.6666666666666666,0.6582763760003791,reporter,unweighted_median_10_models,p53 (4i),p53*,Signaling,1,Biohub_OPS0077,90286,0.6790572976946833,,0.5375491901173886,0.5473011009688131,0.7137156951000332,True
p21,1000,50,0.7383808383808383,0.8041675742178941,0.2482938383826282,0.64,0.4705882352941176,0.805647844411037,0.8670210208317397,0.5384615384615384,0.5328056370468279,0.6666666666666666,0.817672246612491,0.6666666666666666,0.7162065455252418,reporter,unweighted_median_10_models,p21 (4i),p21*,Signaling,1,Biohub_OPS0077,90286,0.673271028808692,,0.5443651058922807,0.4982652597385675,0.7222882555066912,True
c-myc,1000,50,0.6272016392016392,0.5631795515553557,0.3962574389284446,0.5,0.3333333333333333,0.8009803396607982,0.7894486249787378,0.0,0.5609726574100667,0.1111111111111111,0.6853784690395419,0.4285714285714285,0.236490947700071,reporter,unweighted_median_10_models,c-Myc (4i),c-Myc*,Signaling,1,Biohub_OPS0077,90286,0.2166304258685255,,0.0875536999730922,0.0685964045986798,0.2397821391218887,True
ps6,1000,50,0.6643925683925684,0.221814269460773,0.067433058982859,0.28,0.1627906976744186,0.8017517102802785,0.8343787233575252,0.0526315789473684,0.3549166717230619,0.1111111111111111,0.569141856458529,0.5384615384615384,0.3479900730963018,reporter,unweighted_median_10_models,pS6 (4i),pS6*,Signaling,1,Biohub_OPS0077,90286,0.3470813638953472,,0.1673013109869479,0.1839341294976889,0.3714222046445805,True
mitochondria_tomm20,1000,50,0.7201066441066442,0.7792262292523566,0.4002878735877984,0.52,0.3513513513513513,0.8741611363806925,0.8578184202710137,0.25,0.4162433646076542,0.1111111111111111,0.5765522408713853,1.0,0.7993594234106113,reporter,unweighted_median_10_models,"mitochondria, TOMM20 (cp)",TOMM20*,Mitochondria,1,Biohub_OPS0043,111573,0.4495396744921411,,0.2730180086235134,0.2899880161470094,0.4480053295917157,True
lipid_droplet_plin2,1000,50,0.5638696318696319,0.6096298883967052,0.4431610278678239,0.44,0.282051282051282,0.6805896539224011,0.7429181329885793,0.1111111111111111,0.5837414415964537,0.0,0.5517564478520911,0.4285714285714285,0.485281789801339,reporter,unweighted_median_10_models,"lipid droplet, PLIN2",PLIN2,Lysosome,2,Biohub_OPS0022;Biohub_OPS0065,180794,0.3164645586840825,0.2868692246260167,0.06817488540949,0.0720505316455139,0.2761598807583277,True
b-catenin,1000,50,0.6645843525843527,0.692362361428721,0.4643259821575787,0.5,0.3333333333333333,0.8338217490145947,0.8184397146084813,0.0,0.5882457253420897,0.3333333333333333,0.6196883118974262,0.5384615384615384,0.3687995371440175,reporter,unweighted_median_10_models,b-catenin (4i),b-catenin*,Signaling,1,Biohub_OPS0077,90286,0.2160133604189748,,0.1099941110776901,0.1212733471743713,0.2470047819997927,True
caspase_activity_cellevent-caspase_live-cell_dye,1000,50,0.5789962469962471,0.6370917868661305,0.467215707855086,0.42,0.2658227848101265,0.7120390740485015,0.71916830246616,0.0526315789473684,0.5742317134174793,0.1111111111111111,0.7680554920097917,0.4285714285714285,0.5690315580569837,reporter,unweighted_median_10_models,"caspase activity, CellEvent-Caspase live-cell dye",CellEvent-Caspase live-cell dye,Stress/PQC,2,Biohub_OPS0050;Biohub_OPS0073,157180,0.3152966465946273,0.2763948117497713,0.2632136245677227,0.2956526869899273,0.5045521375553166,True
nucleoli_npm1,1000,50,0.4887014367014367,0.5685114018024447,0.4743451980311171,0.42,0.2658227848101265,0.5573655435934244,0.6371600336895139,0.5384615384615384,0.2469949783169592,0.6666666666666666,0.5289097734487288,0.1764705882352941,0.0601328747175318,reporter,unweighted_median_10_models,"nucleoli, NPM1 (cp)",NPM1*,Nucleus,1,Biohub_OPS0043,111573,0.2156298259088717,,0.0693038288058879,0.0535583340294323,0.1969091790668775,True
