display_order,reporter_slug,scientific_utility_index,magnitude_spearman,top5pct_recall,go_bp_top10_jaccard,go_cc_top10_jaccard,ebi_complex_top10_jaccard,short_name,biological_category,substitutability_tier,selected_label
1,early_endosome_eea1,0.9639423076923076,0.9728429768429768,0.96,1.0,1.0,1.0,EEA1,Endosome,quantitative_proxy,False
2,recycling_endosome_tfrc,0.9423076923076924,0.9551779391779394,0.92,1.0,1.0,1.0,TFRC,Endosome,quantitative_proxy,False
3,lipid_droplet_bodipy_live_cell_dye,0.9206730769230768,0.960959316959317,0.96,0.8181818181818182,1.0,1.0,BODIPY live cell dye,Lysosome,quantitative_proxy,False
4,late_endosome_rab7a,0.8269230769230769,0.9536693216693218,0.96,0.8181818181818182,0.8181818181818182,0.8181818181818182,RAB7A,Endosome,quantitative_proxy,False
5,oxidative_stress_cellrox_live-cell_dye,0.8245192307692306,0.7922595482595484,0.82,0.8181818181818182,1.0,1.0,CellROX live-cell dye,Signaling,ranking_proxy,False
6,er_golgi_bridge_vapa,0.8197115384615385,0.9081841521841524,0.88,0.8181818181818182,1.0,0.8181818181818182,VAPA,ER/Golgi,quantitative_proxy,False
7,actin_filament_fastact_spy555_live_cell_dye,0.8173076923076923,0.9713158073158076,0.94,0.8181818181818182,0.8181818181818182,0.8181818181818182,FastAct_SPY555 Live Cell Dye,Cytoskeleton,quantitative_proxy,False
8,fe2+_ferhonox_live-cell_dye,0.8125,0.93401305001305,0.86,0.8181818181818182,0.8181818181818182,1.0,FeRhoNox live-cell dye,Signaling,quantitative_proxy,False
9,lysosome_lysotracker_live-cell_dye,0.8052884615384616,0.9877188397188398,0.92,0.8181818181818182,0.8181818181818182,0.8181818181818182,LysoTracker live-cell dye,Lysosome,quantitative_proxy,False
10,trans-golgi_vamp3,0.7956730769230769,0.7384963864963865,0.86,0.8181818181818182,1.0,0.8181818181818182,VAMP3,ER/Golgi,ranking_proxy,False
11,clathrin_vesicles_clta,0.75,0.9554859914859912,0.92,0.6666666666666666,0.8181818181818182,0.8181818181818182,CLTA,Lysosome,quantitative_proxy,False
12,er_golgi_cope,0.7403846153846154,0.854032154032154,0.78,0.8181818181818182,1.0,0.8181818181818182,COPE,ER/Golgi,quantitative_proxy,False
13,5xupre,0.7355769230769231,0.8691121491121492,0.9,0.8181818181818182,0.6666666666666666,0.8181818181818182,5xUPRE,Stress/PQC,quantitative_proxy,False
14,nucleolus-gc_npm3,0.7235576923076922,0.8472391992391993,0.86,1.0,0.8181818181818182,0.6666666666666666,NPM3,Nucleus,quantitative_proxy,False
15,chaperones_hspa1b,0.6826923076923077,0.8072720072720073,0.84,0.6666666666666666,0.8181818181818182,0.8181818181818182,HSPA1B,Stress/PQC,quantitative_proxy,False
16,er_golgi_cop-ii_sec23a,0.673076923076923,0.9429933669933668,0.92,0.6666666666666666,0.8181818181818182,0.6666666666666666,SEC23A,ER/Golgi,quantitative_proxy,False
17,mitochondria_chromalive_561_excitation,0.6466346153846153,0.9472878352878352,0.88,0.8181818181818182,0.6666666666666666,0.6666666666666666,ChromaLIVE 561 excitation,Mitochondria,quantitative_proxy,False
18,plasma_membrane_slc3a2,0.6346153846153846,0.9344774504774508,0.88,0.5384615384615384,0.6666666666666666,0.8181818181818182,SLC3A2,Plasma Membrane,quantitative_proxy,False
19,nuclei_nucleolive_live_cell_dye,0.6322115384615384,0.8531728331728332,0.84,0.8181818181818182,0.5384615384615384,0.8181818181818182,NucleoLIVE,Nucleus,quantitative_proxy,True
20,autophagosome_map1lc3b,0.6225961538461539,0.9305271065271066,0.86,0.8181818181818182,0.6666666666666666,0.6666666666666666,MAP1LC3B,Lysosome,quantitative_proxy,False
21,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.5961538461538461,0.7996151716151716,0.86,0.6666666666666666,0.5384615384615384,0.8181818181818182,pHrodo-dextran Live Cell Dye,Signaling,quantitative_proxy,False
22,stress_granule_g3bp1,0.5889423076923077,0.9342547302547302,0.88,0.25,0.6666666666666666,0.8181818181818182,G3BP1,Stress/PQC,quantitative_proxy,True
23,er_sec61b,0.5841346153846153,0.9014797934797936,0.86,0.4285714285714285,0.6666666666666666,0.8181818181818182,SEC61B,ER/Golgi,quantitative_proxy,False
24,chromalive_488_excitation,0.5745192307692307,0.8282332562332563,0.72,0.8181818181818182,0.5384615384615384,0.8181818181818182,ChromaLIVE 488 excitation,Mitochondria,quantitative_proxy,False
25,nucleolus-dfc_fbl,0.5528846153846153,0.8226278946278948,0.8,0.5384615384615384,0.8181818181818182,0.6666666666666666,FBL,Nucleus,not_identifiable,False
26,plasma_membrane_atp1b3,0.5288461538461539,0.787051375051375,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,ATP1B3,Plasma Membrane,quantitative_proxy,False
27,nuclear_speckles_srrm2,0.5192307692307693,0.8712907272907273,0.76,0.4285714285714285,0.6666666666666666,0.8181818181818182,SRRM2,Nucleus,ranking_proxy,True
28,mitochondria_tomm70a,0.514423076923077,0.8310551190551191,0.8,0.1764705882352941,0.6666666666666666,0.8181818181818182,TOMM70A,Mitochondria,quantitative_proxy,False
29,autophagosome_atg101,0.4951923076923077,0.7562580362580363,0.8,0.5384615384615384,0.6666666666666666,0.6666666666666666,ATG101,Lysosome,quantitative_proxy,False
30,chromatin_h2bc21,0.4879807692307693,0.8261045621045622,0.74,0.8181818181818182,0.4285714285714285,0.6666666666666666,H2BC21,Nucleus,quantitative_proxy,False
31,prb,0.4543269230769231,0.7083289323289323,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,pRb,Signaling,not_identifiable,True
32,p21,0.4399038461538462,0.7383808383808383,0.64,0.5384615384615384,0.6666666666666666,0.6666666666666666,p21,Signaling,ranking_proxy,False
33,peroxisome_peroxi_spy650_live_cell_dye,0.4086538461538461,0.8792889512889513,0.78,0.6666666666666666,0.5384615384615384,0.5384615384615384,Peroxi_SPY650 live cell dye,Peroxisome,quantitative_proxy,False
