reporter_slug,ensemble_recoverability_r,magnitude_spearman,amplitude_fidelity,within_screen_split_half_pearson_median,short_name,substitutability_tier,scientific_utility_index,outer_loo_prediction,selected_alpha,mean_utility,prediction_residual,label_flag,label_reason
5xupre,0.7517535811802963,0.8691121491121492,0.901870450508552,0.4085795923758126,5xUPRE,quantitative_proxy,0.7377450980392157,0.5584204027483319,10.0,0.6480827503937738,-0.1793246952908838,False,
actin_filament_fastact_spy555_live_cell_dye,0.9186551056294152,0.9713158073158076,0.934008721749014,0.4815571491092879,FastAct_SPY555 Live Cell Dye,quantitative_proxy,0.821078431372549,0.7119378416352993,10.0,0.7665081365039241,-0.10914058973724972,False,
autophagosome_atg101,0.713638245878343,0.7562580362580363,0.7354794724560445,0.5696557950339326,ATG101,quantitative_proxy,0.4950980392156863,0.5025412127679636,10.0,0.49881962599182494,0.007443173552277305,False,
autophagosome_map1lc3b,0.9001608299252496,0.9305271065271066,0.9347263774201356,0.4661954595673966,MAP1LC3B,quantitative_proxy,0.6249999999999999,0.6742849052906609,10.0,0.6496424526453304,0.049284905290660985,False,
b-catenin,0.5709871635927863,0.6645843525843527,0.4643259821575786,0.2160133604189748,b-catenin,not_identifiable,0.15196078431372548,0.21552786338855462,10.0,0.18374432385114003,0.06356707907482914,False,
c-myc,0.5667739586418341,0.6272016392016392,0.3962574389284445,0.2166304258685255,c-Myc,not_identifiable,0.07598039215686275,0.17354956010096834,10.0,0.12476497612891554,0.09756916794410558,False,
caspase_activity_cellevent-caspase_live-cell_dye,0.5980371807000908,0.5789962469962471,0.46721570785508626,0.3152966465946273,CellEvent-Caspase live-cell dye,measurement_required,0.08088235294117649,0.19349608879761981,10.0,0.13718922086939817,0.11261373585644333,False,
cell_proliferation_marker_mki67,0.7042952594051338,0.6634308394308395,0.5366833306482973,0.3279687777331082,MKI67,unresolved,0.40441176470588236,0.295470554953268,10.0,0.3499411598295752,-0.10894120975261434,False,
chaperones_hspa1b,0.8331724455604629,0.8072720072720073,0.932221391997017,0.3807492021518412,HSPA1B,quantitative_proxy,0.6862745098039216,0.5217928039766018,10.0,0.6040336568902617,-0.1644817058273198,False,
chromalive_488_excitation,0.7746614618872987,0.8282332562332563,0.8162227429190112,0.3255015696911665,ChromaLIVE 488 excitation,quantitative_proxy,0.5759803921568627,0.4872931515963399,10.0,0.5316367718766013,-0.0886872405605228,False,
chromatin_h2bc21,0.7667328332766998,0.8261045621045622,0.61796238750515,0.580774506626757,H2BC21,quantitative_proxy,0.4852941176470589,0.5532572885991122,10.0,0.5192757031230855,0.06796317095205329,False,
clathrin_vesicles_clta,0.9145526433041556,0.9554859914859912,0.9855845185194662,0.5686643877978657,CLTA,quantitative_proxy,0.7549019607843137,0.7451686658111953,10.0,0.7500353132977545,-0.009733294973118367,False,
early_endosome_eea1,0.923219694743772,0.9728429768429768,0.9981320286620441,0.7784811755482057,EEA1,quantitative_proxy,0.9730392156862746,0.8426522814874632,10.0,0.907845748586869,-0.13038693419881142,False,
