reporter_slug,baseline,absolute:all gates:looser,absolute:all gates:tighter,absolute:recoverability_min:looser,absolute:recoverability_min:tighter,absolute:magnitude_spearman_min:looser,absolute:magnitude_spearman_min:tighter,absolute:top5pct_quantitative_min:looser,absolute:top5pct_quantitative_min:tighter,absolute:top5pct_ranking_min:looser,absolute:top5pct_ranking_min:tighter,absolute:reliability_min:looser,absolute:reliability_min:tighter,absolute:measurement_recoverability_max_exclusive:looser,absolute:measurement_recoverability_max_exclusive:tighter,absolute:variance_ratio_min:looser,absolute:variance_ratio_min:tighter,absolute:variance_ratio_max:looser,absolute:variance_ratio_max:tighter,relative:all gates:looser,relative:all gates:tighter,relative:recoverability_min:looser,relative:recoverability_min:tighter,relative:magnitude_spearman_min:looser,relative:magnitude_spearman_min:tighter,relative:top5pct_quantitative_min:looser,relative:top5pct_quantitative_min:tighter,relative:top5pct_ranking_min:looser,relative:top5pct_ranking_min:tighter,relative:reliability_min:looser,relative:reliability_min:tighter,relative:measurement_recoverability_max_exclusive:looser,relative:measurement_recoverability_max_exclusive:tighter,relative:variance_ratio_min:looser,relative:variance_ratio_min:tighter,relative:variance_ratio_max:looser,relative:variance_ratio_max:tighter
stress_granule_g3bp1,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
lysosome_lysotracker_live-cell_dye,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
er_golgi_cop-ii_sec23a,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
early_endosome_eea1,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
lipid_droplet_bodipy_live_cell_dye,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
late_endosome_rab7a,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
actin_filament_fastact_spy555_live_cell_dye,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
plasma_membrane_slc3a2,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
clathrin_vesicles_clta,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
autophagosome_map1lc3b,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
