reporter_slug,short_name,display_label,biological_category,destination_screen,display_screen,metric,metric_label,value,reporter_order,status
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,LysoTracker,Lysosome,Biohub_OPS0044,OPS0044,consensus10_strict_gene_pearson,Recovery across screens,0.9115333991746108,1,stable_above
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,LysoTracker,Lysosome,Biohub_OPS0055,OPS0055,consensus10_strict_gene_pearson,Recovery across screens,0.9290434022744496,1,stable_above
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,LysoTracker,Lysosome,Biohub_OPS0056,OPS0056,consensus10_strict_gene_pearson,Recovery across screens,0.9215849488973618,1,stable_above
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,LysoTracker,Lysosome,Biohub_OPS0044,OPS0044,consensus10_strict_magnitude_spearman,Rank across screens,0.9663740523740524,1,stable_above
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,LysoTracker,Lysosome,Biohub_OPS0055,OPS0055,consensus10_strict_magnitude_spearman,Rank across screens,0.9908793428793428,1,stable_above
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,LysoTracker,Lysosome,Biohub_OPS0056,OPS0056,consensus10_strict_magnitude_spearman,Rank across screens,0.965000177000177,1,stable_above
lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,BODIPY,Lysosome,Biohub_OPS0034,OPS0034,consensus10_strict_gene_pearson,Recovery across screens,0.9110287303725878,2,stable_above
lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,BODIPY,Lysosome,Biohub_OPS0066,OPS0066,consensus10_strict_gene_pearson,Recovery across screens,0.9145932340373596,2,stable_above
lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,BODIPY,Lysosome,Biohub_OPS0034,OPS0034,consensus10_strict_magnitude_spearman,Rank across screens,0.9170199170199168,2,stable_above
lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,BODIPY,Lysosome,Biohub_OPS0066,OPS0066,consensus10_strict_magnitude_spearman,Rank across screens,0.946076488076488,2,stable_above
clathrin_vesicles_clta,CLTA,CLTA,Lysosome,Biohub_OPS0018,OPS0018,consensus10_strict_gene_pearson,Recovery across screens,0.8925102185457945,3,stable_above
clathrin_vesicles_clta,CLTA,CLTA,Lysosome,Biohub_OPS0019,OPS0019,consensus10_strict_gene_pearson,Recovery across screens,0.9189244968195756,3,stable_above
clathrin_vesicles_clta,CLTA,CLTA,Lysosome,Biohub_OPS0018,OPS0018,consensus10_strict_magnitude_spearman,Rank across screens,0.8913070533070533,3,stable_above
clathrin_vesicles_clta,CLTA,CLTA,Lysosome,Biohub_OPS0019,OPS0019,consensus10_strict_magnitude_spearman,Rank across screens,0.9524707424707424,3,stable_above
plasma_membrane_slc3a2,SLC3A2,SLC3A2,Plasma Membrane,Biohub_OPS0003,OPS0003,consensus10_strict_gene_pearson,Recovery across screens,0.9074940557281176,4,stable_above
plasma_membrane_slc3a2,SLC3A2,SLC3A2,Plasma Membrane,Biohub_OPS0004,OPS0004,consensus10_strict_gene_pearson,Recovery across screens,0.9240375831723214,4,stable_above
plasma_membrane_slc3a2,SLC3A2,SLC3A2,Plasma Membrane,Biohub_OPS0003,OPS0003,consensus10_strict_magnitude_spearman,Rank across screens,0.9012230652230652,4,stable_above
plasma_membrane_slc3a2,SLC3A2,SLC3A2,Plasma Membrane,Biohub_OPS0004,OPS0004,consensus10_strict_magnitude_spearman,Rank across screens,0.9152338292338292,4,stable_above
late_endosome_rab7a,RAB7A,RAB7A,Endosome,Biohub_OPS0014,OPS0014,consensus10_strict_gene_pearson,Recovery across screens,0.8916496870418389,5,stable_above
late_endosome_rab7a,RAB7A,RAB7A,Endosome,Biohub_OPS0026,OPS0026,consensus10_strict_gene_pearson,Recovery across screens,0.9015414888660114,5,stable_above
late_endosome_rab7a,RAB7A,RAB7A,Endosome,Biohub_OPS0014,OPS0014,consensus10_strict_magnitude_spearman,Rank across screens,0.8747760287760288,5,stable_above
late_endosome_rab7a,RAB7A,RAB7A,Endosome,Biohub_OPS0026,OPS0026,consensus10_strict_magnitude_spearman,Rank across screens,0.920893700893701,5,stable_above
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,FastAct-SPY555,Cytoskeleton,Biohub_OPS0033,OPS0033,consensus10_strict_gene_pearson,Recovery across screens,0.9132349422822396,6,stable_above
