reporter_slug,short_name,biological_category_y,n_directions,minimum,median,maximum,metric,metric_label,range,status,reporter_order,display_label
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,Lysosome,3,0.9115333991746108,0.9215849488973618,0.9290434022744496,consensus10_strict_gene_pearson,Recovery across screens,0.017510003099838745,stable_above,1,LysoTracker
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,Lysosome,3,0.965000177000177,0.9663740523740524,0.9908793428793428,consensus10_strict_magnitude_spearman,Rank across screens,0.025879165879165722,stable_above,1,LysoTracker
lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,Lysosome,2,0.9110287303725878,0.9128109822049737,0.9145932340373596,consensus10_strict_gene_pearson,Recovery across screens,0.00356450366477179,stable_above,2,BODIPY
lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,Lysosome,2,0.9170199170199168,0.9315482025482025,0.946076488076488,consensus10_strict_magnitude_spearman,Rank across screens,0.029056571056571223,stable_above,2,BODIPY
clathrin_vesicles_clta,CLTA,Lysosome,2,0.8925102185457945,0.905717357682685,0.9189244968195756,consensus10_strict_gene_pearson,Recovery across screens,0.026414278273781067,stable_above,3,CLTA
clathrin_vesicles_clta,CLTA,Lysosome,2,0.8913070533070533,0.9218888978888978,0.9524707424707424,consensus10_strict_magnitude_spearman,Rank across screens,0.06116368916368908,stable_above,3,CLTA
plasma_membrane_slc3a2,SLC3A2,Plasma Membrane,2,0.9074940557281176,0.9157658194502195,0.9240375831723214,consensus10_strict_gene_pearson,Recovery across screens,0.016543527444203843,stable_above,4,SLC3A2
plasma_membrane_slc3a2,SLC3A2,Plasma Membrane,2,0.9012230652230652,0.9082284472284472,0.9152338292338292,consensus10_strict_magnitude_spearman,Rank across screens,0.014010764010764065,stable_above,4,SLC3A2
late_endosome_rab7a,RAB7A,Endosome,2,0.8916496870418389,0.8965955879539251,0.9015414888660114,consensus10_strict_gene_pearson,Recovery across screens,0.009891801824172486,stable_above,5,RAB7A
late_endosome_rab7a,RAB7A,Endosome,2,0.8747760287760288,0.8978348648348649,0.920893700893701,consensus10_strict_magnitude_spearman,Rank across screens,0.04611767211767226,stable_above,5,RAB7A
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,Cytoskeleton,5,0.8513300462315481,0.8992468838890393,0.9132349422822396,consensus10_strict_gene_pearson,Recovery across screens,0.061904896050691494,stable_above,6,FastAct-SPY555
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,Cytoskeleton,5,0.8666996606996606,0.893100893100893,0.9236049236049236,consensus10_strict_magnitude_spearman,Rank across screens,0.05690526290526299,stable_above,6,FastAct-SPY555
recycling_endosome_tfrc,TFRC,Endosome,2,0.8283504365632932,0.8514042980968952,0.8744581596304973,consensus10_strict_gene_pearson,Recovery across screens,0.04610772306720412,stable_above,7,TFRC
recycling_endosome_tfrc,TFRC,Endosome,2,0.9048405948405948,0.9188228438228438,0.9328050928050928,consensus10_strict_magnitude_spearman,Rank across screens,0.02796449796449807,stable_above,7,TFRC
er_sec61b,SEC61B,ER/Golgi,6,0.7891836023579042,0.859978630207479,0.937248277167479,consensus10_strict_gene_pearson,Recovery across screens,0.14806467480957486,stable_above,8,SEC61B
er_sec61b,SEC61B,ER/Golgi,6,0.7354520254520255,0.7873871563871564,0.8107889107889108,consensus10_strict_magnitude_spearman,Rank across screens,0.07533688533688532,stable_above,8,SEC61B
er_golgi_bridge_vapa,VAPA,ER/Golgi,2,0.8006095308810472,0.8025765387962263,0.8045435467114052,consensus10_strict_gene_pearson,Recovery across screens,0.0039340158303579065,stable_above,9,VAPA
er_golgi_bridge_vapa,VAPA,ER/Golgi,2,0.7830850470850471,0.8322227742227742,0.8813605013605014,consensus10_strict_magnitude_spearman,Rank across screens,0.09827545427545425,stable_above,9,VAPA
mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,Mitochondria,2,0.7001154460012913,0.7039012958606085,0.7076871457199256,consensus10_strict_gene_pearson,Recovery across screens,0.0075716997186343615,stable_above,10,ChromaLIVE 561
mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,Mitochondria,2,0.8596380376380377,0.86053242617866,0.8614268147192823,consensus10_strict_magnitude_spearman,Rank across screens,0.0017887770812445858,stable_above,10,ChromaLIVE 561
lysosome_lamp1,LAMP1,Lysosome,2,0.7118165741364161,0.7530210890496771,0.7942256039629381,consensus10_strict_gene_pearson,Recovery across screens,0.08240902982652198,stable_above,11,LAMP1
lysosome_lamp1,LAMP1,Lysosome,2,0.7314129474129474,0.762064977064977,0.7927170067170067,consensus10_strict_magnitude_spearman,Rank across screens,0.061304059304059355,stable_above,11,LAMP1
5xupre,5xUPRE,Stress/PQC,6,0.7097535341978074,0.7536989267915487,0.78638836145401,consensus10_strict_gene_pearson,Recovery across screens,0.07663482725620263,stable_above,12,5xUPRE
5xupre,5xUPRE,Stress/PQC,6,0.6746746826746827,0.7394621264621265,0.7867109107109107,consensus10_strict_magnitude_spearman,Rank across screens,0.11203622803622804,crosses_gate,12,5xUPRE
plasma_membrane_atp1b3,ATP1B3,Plasma Membrane,2,0.7461572575072447,0.7520149283421536,0.7578725991770625,consensus10_strict_gene_pearson,Recovery across screens,0.011715341669817803,stable_above,13,ATP1B3
