reporter_slug,ensemble_recoverability_r,magnitude_spearman,magnitude_variance_ratio,top5pct_recall,reliability,expected_tier
stress_granule_g3bp1,0.9324876788211308,0.9342547302547302,1.043912150978496,0.88,0.5489821526032832,quantitative_proxy
lysosome_lysotracker_live-cell_dye,0.93490548931505,0.9877188397188398,0.93033168340503,0.92,0.8118267526031067,quantitative_proxy
er_golgi_cop-ii_sec23a,0.9308613195197672,0.9429933669933668,0.874519085676562,0.92,0.7963114253629393,quantitative_proxy
early_endosome_eea1,0.923219694743772,0.9728429768429768,1.0018714671850175,0.96,0.7784811755482057,quantitative_proxy
lipid_droplet_bodipy_live_cell_dye,0.9235090597591196,0.960959316959317,0.794749466510299,0.96,0.693173451270225,quantitative_proxy
late_endosome_rab7a,0.9199228804921062,0.9536693216693218,0.8287993930605023,0.96,0.5437250794222616,quantitative_proxy
actin_filament_fastact_spy555_live_cell_dye,0.9186551056294152,0.9713158073158076,0.934008721749014,0.94,0.4815571491092879,quantitative_proxy
plasma_membrane_slc3a2,0.9125596810075852,0.9344774504774508,0.8999707561799031,0.88,0.4535912492305982,quantitative_proxy
clathrin_vesicles_clta,0.9145526433041556,0.9554859914859912,0.985584518519466,0.92,0.5686643877978657,quantitative_proxy
autophagosome_map1lc3b,0.9001608299252496,0.9305271065271066,0.9347263774201356,0.86,0.4661954595673966,quantitative_proxy
fe2+_ferhonox_live-cell_dye,0.9095895901510402,0.93401305001305,0.7370803755819276,0.86,0.6070291514177555,quantitative_proxy
recycling_endosome_tfrc,0.8749470277911986,0.9551779391779394,1.0244270122384225,0.92,0.591056052462748,quantitative_proxy
er_golgi_cope,0.8337829869186318,0.854032154032154,0.7655537577096397,0.78,0.5671140969254439,quantitative_proxy
chaperones_hspa1b,0.8331724455604629,0.8072720072720073,0.932221391997017,0.84,0.3807492021518412,quantitative_proxy
nucleolus-gc_npm3,0.8345335517417443,0.8472391992391993,0.8011097295184371,0.86,0.4003235836780205,quantitative_proxy
nuclei_nucleolive_live_cell_dye,0.8274654823751895,0.8531728331728332,0.7928864032456882,0.84,0.6299969683630331,quantitative_proxy
endosome_vps35,0.8287198369034531,0.84987312987313,0.8053327690277692,0.7,0.3519252152106765,quantitative_proxy
er_sec61b,0.8119267301316617,0.9014797934797936,0.5989096388069226,0.86,0.4571854056007768,quantitative_proxy
er_golgi_bridge_vapa,0.8133458602825705,0.9081841521841524,0.7683852696346999,0.88,0.6864386449976475,quantitative_proxy
mitochondria_chromalive_561_excitation,0.806188695791279,0.9472878352878352,0.7999771592606584,0.88,0.7231375976605061,quantitative_proxy
peroxisome_peroxi_spy650_live_cell_dye,0.8100131207326374,0.8792889512889513,0.8830879531925239,0.78,0.491094238791797,quantitative_proxy
chromalive_488_excitation,0.7746614618872987,0.8282332562332563,0.8162227429190112,0.72,0.3255015696911665,quantitative_proxy
chromatin_h2bc21,0.7667328332766998,0.8261045621045622,0.61796238750515,0.74,0.580774506626757,quantitative_proxy
plasma_membrane_atp1b3,0.7553579532449395,0.787051375051375,0.810088999533144,0.8,0.5016975413704213,quantitative_proxy
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.7581907603760246,0.7996151716151716,0.9039930888567946,0.86,0.4110300664564122,quantitative_proxy
5xupre,0.7517535811802963,0.8691121491121492,0.901870450508552,0.9,0.4085795923758126,quantitative_proxy
f-actin_phalloidin,0.7509903596059767,0.7647367407367408,0.5555329806518493,0.62,0.3996475172727066,quantitative_proxy
mitochondria_tomm70a,0.749968655494523,0.8310551190551191,0.8071671781490796,0.8,0.3915349809035072,quantitative_proxy
lysosome_lamp1,0.7512566414208901,0.8246867246867248,0.7882504923139584,0.72,0.4475988330251703,quantitative_proxy
autophagosome_atg101,0.713638245878343,0.7562580362580363,0.7354794724560444,0.8,0.5696557950339326,quantitative_proxy
nuclear_speckles_srrm2,0.865553630356042,0.8712907272907273,0.4952132737175836,0.76,0.619391207547443,ranking_proxy
proteasome_psmb7,0.6036111647146251,0.8499032139032139,0.851693631535629,0.78,0.4309405843280984,ranking_proxy
oxidative_stress_cellrox_live-cell_dye,0.6789181487433704,0.7922595482595484,0.7552727102266045,0.82,0.566358845982032,ranking_proxy
er_ncln,0.6631427849101728,0.7536111576111576,0.8064229303337181,0.58,0.5109354049791082,ranking_proxy
trans-golgi_vamp3,0.6824360548684879,0.7384963864963865,0.7688269382820128,0.86,0.565576846698852,ranking_proxy
p21,0.6191052901211831,0.7383808383808383,0.2482938383826281,0.64,0.673271028808692,ranking_proxy
mitochondria_tomm20,0.6939597856755839,0.7201066441066442,0.4002878735877984,0.52,0.4495396744921411,ranking_proxy
p53,0.5897136792901746,0.6648243888243889,0.1358458864429194,0.4,0.6790572976946833,measurement_required
caspase_activity_cellevent-caspase_live-cell_dye,0.5980371807000908,0.5789962469962471,0.4672157078550862,0.42,0.3152966465946273,measurement_required
ps6,0.5893811845368762,0.6643925683925684,0.067433058982859,0.28,0.3470813638953472,measurement_required
prb,0.5147917575055067,0.7083289323289323,0.0169407424247728,0.6,0.1509084849662904,not_identifiable
nuclei_hoechst,0.7552751627234884,0.670925242925243,0.6970531092744202,0.52,0.187063345712023,not_identifiable
nucleoli_npm1,0.5498100329077995,0.4887014367014367,0.4743451980311171,0.42,0.2156298259088717,not_identifiable
b-catenin,0.5709871635927863,0.6645843525843527,0.4643259821575786,0.5,0.2160133604189748,not_identifiable
c-myc,0.5667739586418341,0.6272016392016392,0.3962574389284445,0.5,0.2166304258685255,not_identifiable
er_cona,0.715259638635678,0.7217280977280978,0.5309365644444025,0.56,0.2319836986715685,not_identifiable
microtubules_tubulin,0.7284577421088885,0.7399994599994602,0.5857511505265177,0.6,0.2737965813011502,not_identifiable
nucleolus-dfc_fbl,0.7957789914412075,0.8226278946278948,0.7610209142882526,0.8,0.2774818093462274,not_identifiable
plasma_membrane_wga,0.7535324862592845,0.7645170085170087,0.6043069062375509,0.6,0.2955940866884624,not_identifiable
microtubules_map4,0.8231292524393403,0.6780510060510061,0.8142748720121701,0.66,0.557891172634394,unresolved
lipid_droplet_plin2,0.7182798950958886,0.5638696318696319,0.443161027867824,0.44,0.3164645586840825,unresolved
cell_proliferation_marker_mki67,0.7042952594051338,0.6634308394308395,0.5366833306482973,0.62,0.3279687777331082,unresolved
