reporter_slug,fold,ensemble_recoverability_r,n_gene_screen_pairs,n_endpoints,n_methods,evaluation_state
stress_granule_g3bp1,0,0.9391553468567299,211,24,10,checkpoint_average
stress_granule_g3bp1,1,0.9334162251811265,187,24,10,checkpoint_average
stress_granule_g3bp1,2,0.9244180606895233,183,24,10,checkpoint_average
stress_granule_g3bp1,3,0.9280646982657093,197,24,10,checkpoint_average
stress_granule_g3bp1,4,0.9373840631125665,222,24,10,checkpoint_average
lysosome_lysotracker_live-cell_dye,0,0.9390147863880597,633,24,10,checkpoint_average
lysosome_lysotracker_live-cell_dye,1,0.9381786471342769,561,24,10,checkpoint_average
lysosome_lysotracker_live-cell_dye,2,0.9315776429889416,549,24,10,checkpoint_average
lysosome_lysotracker_live-cell_dye,3,0.9314510057571174,591,24,10,checkpoint_average
lysosome_lysotracker_live-cell_dye,4,0.9343053643068556,666,24,10,checkpoint_average
er_golgi_cop-ii_sec23a,0,0.9406991616882442,211,24,10,checkpoint_average
er_golgi_cop-ii_sec23a,1,0.9254269522877997,187,24,10,checkpoint_average
er_golgi_cop-ii_sec23a,2,0.9222614926986791,183,24,10,checkpoint_average
er_golgi_cop-ii_sec23a,3,0.9296037740051221,197,24,10,checkpoint_average
er_golgi_cop-ii_sec23a,4,0.9363152169189904,222,24,10,checkpoint_average
early_endosome_eea1,0,0.9195336797943622,211,24,10,checkpoint_average
early_endosome_eea1,1,0.9152825083271207,187,24,10,checkpoint_average
early_endosome_eea1,2,0.929035402882954,183,24,10,checkpoint_average
early_endosome_eea1,3,0.9299916449063707,197,24,10,checkpoint_average
early_endosome_eea1,4,0.9222552378080519,222,24,10,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,0,0.9287627971693482,422,24,10,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,1,0.913514282545996,374,24,10,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,2,0.926905017502611,366,24,10,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,3,0.9207400290847696,394,24,10,checkpoint_average
lipid_droplet_bodipy_live_cell_dye,4,0.9276231724928725,444,24,10,checkpoint_average
late_endosome_rab7a,0,0.9198990431065349,422,24,10,checkpoint_average
late_endosome_rab7a,1,0.9222429743468199,374,24,10,checkpoint_average
late_endosome_rab7a,2,0.9200531826713395,366,24,10,checkpoint_average
late_endosome_rab7a,3,0.9126621384385875,394,24,10,checkpoint_average
late_endosome_rab7a,4,0.9247570638972497,444,24,10,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,0,0.9227260631051702,1055,24,10,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,1,0.9211507840759307,935,24,10,checkpoint_average
