model,measured_hit_rank,compound,reference_loss,predicted_loss,reference_rank,predicted_rank,reference_top,predicted_top,recovered
BF_Ridge100,1,Trabectedin,0.8994912047443602,0.8919063245126488,1,1,True,True,True
BF_Ridge100,2,Dasatinib,0.38232631576449977,0.4142545950259043,2,2,True,True,True
BF_Ridge100,3,Abemaciclib,0.3545510243502972,0.3746695530125837,3,3,True,True,True
BF_Ridge100,4,Selinexor,0.35214057537740556,0.19188795734322261,4,11,True,True,True
BF_Ridge100,5,Risperidone,0.26049369269226125,0.08170978813593706,5,35,True,False,False
BF_Ridge100,6,Fluazinam,0.2579023234767205,0.22584821789081538,6,7,True,True,True
BF_Ridge100,7,Chlorothalonil,0.24713687801504158,0.24682808981320822,7,4,True,True,True
BF_Ridge100,8,Astemizole,0.24645379319807276,0.2292028897607113,8,6,True,True,True
BF_Ridge100,9,Tegaserod,0.24606621305734946,0.23254608043877956,9,5,True,True,True
BF_Ridge100,10,Pralsetinib,0.236852008268993,0.1989137168381389,10,10,True,True,True
BF_Ridge100,11,Nitrofurazone,0.23103877247405658,0.2197870527359245,11,8,True,True,True
BF_HGB100,1,Trabectedin,0.8994912047443602,0.9080000470877605,1,1,True,True,True
BF_HGB100,2,Dasatinib,0.38232631576449977,0.4927584907287754,2,2,True,True,True
BF_HGB100,3,Abemaciclib,0.3545510243502972,0.37834980836876686,3,3,True,True,True
BF_HGB100,4,Selinexor,0.35214057537740556,0.22476033117242622,4,10,True,True,True
BF_HGB100,5,Risperidone,0.26049369269226125,0.07743780633347126,5,37,True,False,False
BF_HGB100,6,Fluazinam,0.2579023234767205,0.23026599847760557,6,9,True,True,True
BF_HGB100,7,Chlorothalonil,0.24713687801504158,0.23571843150701233,7,7,True,True,True
BF_HGB100,8,Astemizole,0.24645379319807276,0.24618899494235397,8,5,True,True,True
BF_HGB100,9,Tegaserod,0.24606621305734946,0.25649977621645415,9,4,True,True,True
BF_HGB100,10,Pralsetinib,0.236852008268993,0.23455126012816535,10,8,True,True,True
BF_HGB100,11,Nitrofurazone,0.23103877247405658,0.21670817485751487,11,11,True,True,True
FluorescenceCount_Ridge100,1,Trabectedin,0.8994912047443602,0.6706748485133903,1,1,True,True,True
FluorescenceCount_Ridge100,2,Dasatinib,0.38232631576449977,0.24496589761392457,2,3,True,True,True
FluorescenceCount_Ridge100,3,Abemaciclib,0.3545510243502972,0.3004946772851228,3,2,True,True,True
FluorescenceCount_Ridge100,4,Selinexor,0.35214057537740556,0.15653313841581948,4,8,True,True,True
FluorescenceCount_Ridge100,5,Risperidone,0.26049369269226125,0.008726696972685447,5,128,True,False,False
FluorescenceCount_Ridge100,6,Fluazinam,0.2579023234767205,0.188609888744792,6,5,True,True,True
FluorescenceCount_Ridge100,7,Chlorothalonil,0.24713687801504158,0.07896694027933635,7,25,True,False,False
FluorescenceCount_Ridge100,8,Astemizole,0.24645379319807276,0.16630896433184172,8,6,True,True,True
FluorescenceCount_Ridge100,9,Tegaserod,0.24606621305734946,0.04938329885459179,9,48,True,False,False
FluorescenceCount_Ridge100,10,Pralsetinib,0.236852008268993,0.15084206259255561,10,10,True,True,True
FluorescenceCount_Ridge100,11,Nitrofurazone,0.23103877247405658,0.20872852705865536,11,4,True,True,True
FluorescenceCount_HGB100,1,Trabectedin,0.8994912047443602,0.8824471615857247,1,1,True,True,True
FluorescenceCount_HGB100,2,Dasatinib,0.38232631576449977,0.27639518727582735,2,3,True,True,True
FluorescenceCount_HGB100,3,Abemaciclib,0.3545510243502972,0.3656708571973846,3,2,True,True,True
FluorescenceCount_HGB100,4,Selinexor,0.35214057537740556,0.14524195800035158,4,13,True,False,False
FluorescenceCount_HGB100,5,Risperidone,0.26049369269226125,0.014320423060312603,5,69,True,False,False
FluorescenceCount_HGB100,6,Fluazinam,0.2579023234767205,0.23433271141152517,6,5,True,True,True
