panel	context	model	fraction	compound	source_pair	reference_loss	predicted_loss	reference_rank	predicted_rank	reference_top	predicted_top	recovered	n_compounds	k	overlap	recall	recall_lower95	recall_upper95	random_expected_overlap	random_expected_recall	enrichment_over_random	random_overlap_lower95	random_overlap_upper95	random_selection_tail_probability	signed_spearman	signed_pearson	selected_reference_loss_mean	selected_reference_loss_min	selected_reference_loss_max	true_top_loss_mean	n_bootstrap	interpretation	measured_repeat_recall	measured_repeat_overlap	recall_difference_from_repeat	difference_lower95	difference_upper95
Figure6d	A_all_heldout	BF_Ridge100	0.05	(2r)-2-(4-Chloro-2-methylphenoxy)propanoic acid	assayworks_prod_26|assayworks_prod_27	-0.02562056303672166	-0.009192991471598482	144.0	151.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	1,4-Benzodinitrile	assayworks_prod_26|assayworks_prod_27	-0.0560956467752871	-0.02053340761928292	195.0	179.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	1,6-Dichlorohexane	assayworks_prod_26|assayworks_prod_27	-0.07102996720999907	-0.024862434605396066	210.0	194.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	2-Bromo-4'-hydroxyacetophenone	assayworks_prod_26|assayworks_prod_27	-0.060067787253554286	-0.01823411327078472	203.0	172.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	2-Ethyl-2-(hydroxymethyl)propane-1,3-diol	assayworks_prod_26|assayworks_prod_27	-0.04543118883410223	-0.040207572591829055	179.0	209.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	2-Ethylhexan-1-ol	assayworks_prod_26|assayworks_prod_27	-0.04982850193113517	-0.024254048047495834	191.0	191.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	4,4-Dimethyloxazolidine	assayworks_prod_26|assayworks_prod_27	-0.04826313891596549	-0.014339162882935816	189.0	164.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	4-Aminosalicylic acid	assayworks_prod_25|assayworks_prod_27	-0.08515309142893637	-0.04511227347849822	214.0	214.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	4-Nitrophenol	assayworks_prod_26|assayworks_prod_27	-0.013571399250540149	0.0329389378865166	127.0	63.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	5-Azacytidine	assayworks_prod_26|assayworks_prod_30	0.0832160145206296	0.06818125793429992	44.0	41.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	5-Hydroxymethylfurfural	assayworks_prod_25|assayworks_prod_26	-0.0037314988996671322	-0.00031166997060863913	114.0	127.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Abemaciclib	assayworks_prod_26|assayworks_prod_30	0.3545510243502972	0.3746695530125837	3.0	3.0	True	True	True																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Acetarsol	assayworks_prod_25|assayworks_prod_27	0.015159230301345611	0.020018378761588178	86.0	78.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Acetylcholine (chloride)	assayworks_prod_25|assayworks_prod_26	0.026669056006315854	-0.0007252853795579083	76.0	129.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Almotriptan	assayworks_prod_25|assayworks_prod_27	-0.006487139001272714	0.009356923450124292	121.0	103.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Altretamine	assayworks_prod_26|assayworks_prod_30	-0.04759867046622261	-0.04469792685218144	186.0	213.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Ampiroxicam	assayworks_prod_25|assayworks_prod_27	-0.03504832828606383	-0.04135957170242412	162.0	211.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Apalutamide	assayworks_prod_25|assayworks_prod_27	0.10610894065188325	-0.0007325848550379793	35.0	130.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Aplaviroc (hydrochloride)	assayworks_prod_25|assayworks_prod_27	0.010798416599847281	0.006834818468537884	91.0	107.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Argatroban	assayworks_prod_25|assayworks_prod_27	-0.004526753464470734	0.008475152265939258	116.0	104.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Aripiprazole	assayworks_prod_25|assayworks_prod_27	0.18524078673858574	0.12234837187871594	18.0	26.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Astemizole	assayworks_prod_25|assayworks_prod_26	0.24645379319807276	0.2292028897607113	8.0	6.0	True	True	True																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Azelnidipine	assayworks_prod_25|assayworks_prod_27	0.03011744299336621	0.14238713257918037	73.0	19.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Aztreonam	assayworks_prod_25|assayworks_prod_27	-0.011597450282694606	-0.024408216271655226	126.0	192.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Beclometasone	assayworks_prod_25|assayworks_prod_27	0.027630415083705527	-0.022684047196030788	75.0	187.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Bedaquiline (fumarate)	assayworks_prod_25|assayworks_prod_27	0.03495657433202304	0.02806025249988755	71.0	66.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Benzarone	assayworks_prod_25|assayworks_prod_27	-0.04832992988868033	-0.008994657782534075	190.0	150.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Benzoic acid	assayworks_prod_26|assayworks_prod_30	-0.0375122651727735	-0.009841497506797064	168.0	152.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Berotralstat (dihydrochloride)	assayworks_prod_26|assayworks_prod_27	0.13392391971960343	0.08803777018599919	27.0	33.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Biperiden	assayworks_prod_25|assayworks_prod_27	-0.02780359951050384	-0.01526006415455888	150.0	167.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Bithionol	assayworks_prod_25|assayworks_prod_26	0.19085409544894233	0.13152692938568308	17.0	23.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Bosentan	assayworks_prod_26|assayworks_prod_30	0.0014008663162805163	0.017186549755518265	101.0	83.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Cabergoline	assayworks_prod_25|assayworks_prod_27	0.019674942275320302	0.034607743105846196	79.0	58.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Capecitabine	assayworks_prod_25|assayworks_prod_27	-0.013710900925207811	0.011845948327546419	128.0	96.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Capmatinib	assayworks_prod_26|assayworks_prod_30	0.08367397344630699	0.0049083285391989945	43.0	115.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Capsaicin	assayworks_prod_25|assayworks_prod_26	0.019005829063446653	-0.017519440789373078	80.0	170.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Cefaclor	assayworks_prod_26|assayworks_prod_30	-0.015611056265407701	0.006662273423875277	129.0	108.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Cefdinir	assayworks_prod_26|assayworks_prod_30	0.011092435541576247	0.020313957899348315	90.0	77.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Cefepime	assayworks_prod_25|assayworks_prod_26	-0.02500198635718094	0.0007107015760507845	141.0	126.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Cenobamate	assayworks_prod_26|assayworks_prod_27	-0.0291581370098435	-0.004891236051376422	153.0	140.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Chloramphenicol	assayworks_prod_26|assayworks_prod_27	-0.010037876260669307	0.002734986605666473	125.0	118.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Chlorothalonil	assayworks_prod_25|assayworks_prod_27	0.24713687801504158	0.24682808981320822	7.0	4.0	True	True	True																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Chlorzoxazone	assayworks_prod_25|assayworks_prod_26	-0.027102332967131007	-0.020190414083613533	148.0	177.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Cilnidipine	assayworks_prod_25|assayworks_prod_26	0.006773924050123822	0.05013198570130278	97.0	51.0	False	False	False																									
