reporter_slug,short_name,biological_category,true_assay_stability,model_screen_penalty,domain_sensitive,scientific_utility_index,display_order,tier_lane,tier_lane_x,go_bp_top10_jaccard,go_cc_top10_jaccard,ebi_complex_top10_jaccard,nested_loo_order,nested_loo_short_name
stress_granule_g3bp1,G3BP1,Stress/PQC,,,False,0.5889423076923077,1,0,-0.26,0.25,0.6666666666666666,0.8181818181818182,50,G3BP1
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,Lysosome,0.53125952838276,-0.0032542730371156,False,0.8052884615384616,2,0,0.06137767415,0.8181818181818182,0.8181818181818182,0.8181818181818182,27,LysoTracker live-cell dye
er_golgi_cop-ii_sec23a,SEC23A,ER/Golgi,,,False,0.673076923076923,3,0,-0.1372446516999999,0.6666666666666666,0.8181818181818182,0.6666666666666666,17,SEC23A
early_endosome_eea1,EEA1,Endosome,,,False,0.9639423076923076,4,0,0.18413302245,1.0,1.0,1.0,12,EEA1
lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,Lysosome,0.3146152403677564,-0.0020393282795945,False,0.9206730769230768,5,0,-0.0144893033999999,0.8181818181818182,1.0,1.0,24,BODIPY live cell dye
late_endosome_rab7a,RAB7A,Endosome,0.3971875074772658,-0.0139583388964334,False,0.8269230769230769,6,0,-0.2131116292499998,0.8181818181818182,0.8181818181818182,0.8181818181818182,23,RAB7A
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,Cytoskeleton,0.394593837940922,-0.0103895885248979,False,0.8173076923076923,7,0,0.1082660449,0.8181818181818182,0.8181818181818182,0.8181818181818182,1,FastAct_SPY555 Live Cell Dye
plasma_membrane_slc3a2,SLC3A2,Plasma Membrane,0.2977230432501973,0.0084291718900204,False,0.6346153846153846,8,0,-0.0903562809499996,0.5384615384615384,0.6666666666666666,0.8181818181818182,44,SLC3A2
clathrin_vesicles_clta,CLTA,Lysosome,0.412846415412472,-0.0009598944957058,False,0.75,9,0,0.2310213932000001,0.6666666666666666,0.8181818181818182,0.8181818181818182,11,CLTA
autophagosome_map1lc3b,MAP1LC3B,Lysosome,0.2978302215935259,-0.2050602672000727,True,0.6225961538461539,10,0,0.03239906735,0.8181818181818182,0.6666666666666666,0.6666666666666666,3,MAP1LC3B
fe2+_ferhonox_live-cell_dye,FeRhoNox live-cell dye,Signaling,0.1050016303580176,-0.6941700497272754,False,0.8125,11,0,-0.1662232584999996,0.8181818181818182,0.8181818181818182,1.0,22,FeRhoNox live-cell dye
recycling_endosome_tfrc,TFRC,Endosome,0.6100951467388043,-0.0111853364855049,False,0.9423076923076924,12,0,0.1551544156500001,1.0,1.0,1.0,49,TFRC
er_golgi_cope,COPE,ER/Golgi,0.3845731366439751,-0.3561067577451468,True,0.7403846153846154,13,0,-0.0434679101999999,0.8181818181818182,1.0,0.8181818181818182,18,COPE
chaperones_hspa1b,HSPA1B,Stress/PQC,0.1950962614565962,-0.0561887685209512,False,0.6826923076923077,14,0,-0.2420902360500001,0.6666666666666666,0.8181818181818182,0.8181818181818182,8,HSPA1B
nucleolus-gc_npm3,NPM3,Nucleus,0.2005990219760342,-0.1278558384704713,False,0.7235576923076922,15,0,0.0792874381000006,1.0,0.8181818181818182,0.6666666666666666,38,NPM3
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,Nucleus,0.4396873093994177,-0.3938479988738739,True,0.6322115384615384,16,0,-0.1193348877499995,0.8181818181818182,0.5384615384615384,0.8181818181818182,35,NucleoLIVE
endosome_vps35,VPS35,Endosome,0.2264963931194391,-0.0508599473163485,False,0.2475961538461538,17,0,0.2020427864000003,0.0,0.1764705882352941,0.6666666666666666,14,VPS35
er_sec61b,SEC61B,ER/Golgi,0.3256054976694345,0.0588208087409536,False,0.5841346153846153,18,0,0.0034204605500001,0.4285714285714285,0.6666666666666666,0.8181818181818182,20,SEC61B
er_golgi_bridge_vapa,VAPA,ER/Golgi,0.4412553836333088,0.0026920137306054,False,0.8197115384615385,19,0,-0.1952018652999999,0.8181818181818182,1.0,0.8181818181818182,16,VAPA
mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,Mitochondria,0.6848877737094499,-0.0887950748205185,False,0.6466346153846153,20,0,0.1261758088500008,0.8181818181818182,0.6666666666666666,0.6666666666666666,30,ChromaLIVE 561 excitation
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,Peroxisome,0.3310233785633913,-0.1320030980122586,False,0.4086538461538461,21,0,-0.0724465169999993,0.6666666666666666,0.5384615384615384,0.5384615384615384,42,Peroxi_SPY650 live cell dye
chromalive_488_excitation,ChromaLIVE 488 excitation,Mitochondria,0.307761571979715,-0.1010578065800169,False,0.5745192307692307,22,0,0.2489311571500005,0.8181818181818182,0.5384615384615384,0.8181818181818182,9,ChromaLIVE 488 excitation
chromatin_h2bc21,H2BC21,Nucleus,0.3846523266322802,-0.0373946490387121,False,0.4879807692307693,23,0,0.0503088313000003,0.8181818181818182,0.4285714285714285,0.6666666666666666,10,H2BC21
plasma_membrane_atp1b3,ATP1B3,Plasma Membrane,0.3996576977236951,0.0023842230749626,False,0.5288461538461539,24,0,-0.1483134945499998,0.6666666666666666,0.6666666666666666,0.6666666666666666,43,ATP1B3
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,Signaling,0.2700504021252813,-0.4261378492771958,False,0.5961538461538461,25,0,0.1730641796,0.6666666666666666,0.5384615384615384,0.8181818181818182,13,pHrodo-dextran Live Cell Dye
5xupre,5xUPRE,Stress/PQC,0.2681782692566383,0.0095935282856225,False,0.7355769230769231,26,0,-0.0255581462499991,0.8181818181818182,0.6666666666666666,0.8181818181818182,0,5xUPRE
f-actin_phalloidin,Phalloidin*,Cytoskeleton,,,False,0.2019230769230769,27,0,-0.2241804721000002,0.0,0.3333333333333333,0.5384615384615384,21,Phalloidin
mitochondria_tomm70a,TOMM70A,Mitochondria,0.2207750161863484,-0.1402383698111711,False,0.514423076923077,28,0,0.0971972020500014,0.1764705882352941,0.6666666666666666,0.8181818181818182,32,TOMM70A
lysosome_lamp1,LAMP1,Lysosome,0.3081290687323559,0.0162821559235452,False,0.4038461538461538,29,0,-0.1014251237999987,0.6666666666666666,0.6666666666666666,0.4285714285714285,26,LAMP1
autophagosome_atg101,ATG101,Lysosome,0.1288877009301797,0.0040937374035516,False,0.4951923076923077,30,0,0.2199525503500011,0.5384615384615384,0.6666666666666666,0.6666666666666666,2,ATG101
nuclear_speckles_srrm2,SRRM2,Nucleus,0.2327343935217939,-0.2141668404995774,False,0.5192307692307693,31,1,0.74,0.4285714285714285,0.6666666666666666,0.8181818181818182,33,SRRM2
proteasome_psmb7,PSMB7,Stress/PQC,0.2159787315423343,-0.0223929070945207,False,0.2716346153846153,32,1,1.06137767415,0.25,0.1764705882352941,0.5384615384615384,47,PSMB7
oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,Signaling,0.134228274807196,-0.1884402524652007,False,0.8245192307692306,33,1,0.8627553483,0.8181818181818182,1.0,1.0,39,CellROX
er_ncln,NCLN,ER/Golgi,,,False,0.2764423076923077,34,1,1.18413302245,0.5384615384615384,0.3333333333333333,0.5384615384615384,19,NCLN
trans-golgi_vamp3,VAMP3,ER/Golgi,0.1107210875878993,-0.1037360708074022,False,0.7956730769230769,35,1,0.9855106966,0.8181818181818182,1.0,0.8181818181818182,51,VAMP3
p21,p21*,Signaling,,,False,0.4399038461538462,36,1,0.7868883707500002,0.5384615384615384,0.6666666666666666,0.6666666666666666,40,p21
mitochondria_tomm20,TOMM20*,Mitochondria,,,False,0.3629807692307692,37,1,1.1082660449,0.25,0.1111111111111111,1.0,31,TOMM20
p53,p53*,Signaling,,,False,0.2932692307692308,38,2,1.74,0.4285714285714285,0.5384615384615384,0.6666666666666666,41,p53
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,Stress/PQC,0.1168124275265936,-0.0245746685900182,False,0.0889423076923076,39,2,2.06137767415,0.0526315789473684,0.1111111111111111,0.4285714285714285,6,CellEvent-Caspase live-cell dye
ps6,pS6*,Signaling,,,False,0.1081730769230769,40,2,1.8627553483,0.0526315789473684,0.1111111111111111,0.5384615384615384,48,pS6
prb,pRb*,Signaling,,,False,0.4543269230769231,41,3,2.74,0.6666666666666666,0.6666666666666666,0.6666666666666666,46,pRb
nuclei_hoechst,Hoechst*,Nucleus,,,False,0.141826923076923,42,3,3.06137767415,0.0,0.1764705882352941,0.5384615384615384,34,Hoechst
nucleoli_npm1,NPM1*,Nucleus,,,False,0.2740384615384615,43,3,2.8627553483,0.5384615384615384,0.6666666666666666,0.1764705882352941,36,NPM1
b-catenin,b-catenin*,Signaling,,,False,0.1586538461538461,44,3,3.18413302245,0.0,0.3333333333333333,0.5384615384615384,4,b-catenin
c-myc,c-Myc*,Signaling,,,False,0.0841346153846153,45,3,2.9855106966,0.0,0.1111111111111111,0.4285714285714285,5,c-Myc
er_cona,ConA*,ER/Golgi,,,False,0.173076923076923,46,3,2.7868883707500003,0.1111111111111111,0.3333333333333333,0.4285714285714285,15,ConA
microtubules_tubulin,Tubulin*,Cytoskeleton,,,False,0.2692307692307692,47,3,3.1082660449,0.1764705882352941,0.25,0.6666666666666666,29,Tubulin
nucleolus-dfc_fbl,FBL,Nucleus,0.1169059915626713,-0.3508175475003858,False,0.5528846153846153,48,3,2.9096437190500004,0.5384615384615384,0.8181818181818182,0.6666666666666666,37,FBL
plasma_membrane_wga,WGA*,Plasma Membrane,,,False,0.2307692307692307,49,3,3.2310213932000003,0.0,0.25,0.6666666666666666,45,WGA
microtubules_map4,MAP4,Cytoskeleton,,,False,0.2980769230769231,50,4,3.74,0.4285714285714285,0.4285714285714285,0.5384615384615384,28,MAP4
lipid_droplet_plin2,PLIN2,Lysosome,-0.0100801394932994,-0.3816428100127572,False,0.09375,51,4,4.06137767415,0.1111111111111111,0.0,0.4285714285714285,25,PLIN2
cell_proliferation_marker_mki67,MKI67*,Nucleus,0.0566756174393453,-0.1144814085525771,False,0.40625,52,4,3.8627553483,0.4285714285714285,0.6666666666666666,0.6666666666666666,7,MKI67
