asset_id,filename,canonical_relative_path,use_status,figure_panel_usage,reporter,reporter_slug,gene,screen_id,well,perturbation_role,phase_row_index,segmentation_id,pixel_size_um,source_level,channels,selection_rule,provenance_uri,source_relative_path,file_sha256,pixel_sha256,array_spec,dtype_class,bytes,note
lamp1_borcs7_ko,lamp1_borcs7_ko.npz,raw_assets/lamp1_borcs7_ko.npz,rendered; potential,Fig.1c; Fig.1e; Fig.3d (retained potential),LAMP1,lysosome_lamp1,BORCS7,Biohub_OPS0011,A/1/0,KO,255214,5095123,0.325,OME-Zarr level 0,phase=0; fluorescence=2,Frozen registered same-cell crop; fixed display windows are in render_spec.csv.,s3://ops-explorer-public/leonetti_ops/ops_data_portal_submission/v1.0.20260521/datasets/Biohub_OPS0011/Biohub_OPS0011.zarr,figure1/e_same_cell_response_maps/source_data/frozen_inputs/B_exact_same_cell_microscopy/lamp1_exact_same_cell.npz,81925e7524f4e97bb096b67d5135c674ae3c3b194ee0d0e29e903b11aac12152,eba524d36add2e80518e4744cb1f8d4065d94d875c4766371a88b75a217edd67,fluorescence:384x384:float32; phase:384x384:float32,float32,1044077,
ferhonox_alg12_ko,ferhonox_alg12_ko.npz,raw_assets/ferhonox_alg12_ko.npz,rendered,Fig.1c; Fig.1e,FeRhoNox,fe2+_ferhonox_live-cell_dye,ALG12,Biohub_OPS0047,A/1/0,KO,4515,3546304,0.325,OME-Zarr level 0,phase=0; fluorescence=2,Frozen registered same-cell crop; fixed display windows are in render_spec.csv.,s3://ops-explorer-public/leonetti_ops/ops_data_portal_submission/v1.0.20260521/datasets/Biohub_OPS0047/Biohub_OPS0047.zarr,figure1/e_same_cell_response_maps/source_data/frozen_inputs/B_exact_same_cell_microscopy/ferhonox_exact_same_cell.npz,a23705fe55c3813b0ad31f6024bfd5dd95bc7c097b7337ca79a1ac8f9b5c486d,a02e0d698f8254d6ef2338f60c457503e6bb4417430850b61ad1b5b1e7cbe1d1,fluorescence:384x384:float32; phase:384x384:float32,float32,805125,
prb_fech_ko,prb_fech_ko.npz,raw_assets/prb_fech_ko.npz,rendered; potential,Fig.1e; Fig.3d (retained potential),pRb,prb,FECH,Biohub_OPS0077,A/1/0,KO,751,2246962,0.325,OME-Zarr level 0,phase=0; fluorescence=9,Frozen registered same-cell crop; phase and target channels remain paired.,s3://ops-explorer-public/leonetti_ops/ops_data_portal_submission/v1.0.20260521/datasets/Biohub_OPS0077/Biohub_OPS0077.zarr,figure1/e_same_cell_response_maps/source_data/frozen_inputs/B_exact_same_cell_microscopy/prb_exact_same_cell.npz,0adbb1e059f23bdd72afbe77f3328aed7acecd582d526d6d936a6500d74fd55a,4f05e315df92fe1180febac01fb7c02aa7c05f283690db0febec0defb3fc2e24,fluorescence:384x384:float32; phase:384x384:float32,float32,1053578,
fastact_actr3_ko,fastact_actr3_ko.npz,raw_assets/fastact_actr3_ko.npz,rendered,Fig.3a,FastAct,actin_filament_fastact_spy555_live_cell_dye,ACTR3,Biohub_OPS0033,A/2/0,KO,5892936,16150844,0.325,OME-Zarr level 0,phase=0; fluorescence=2,Frozen pre-specified microscopy roster; selection independent of canonical aggregation repair.,s3://ops-explorer-public/leonetti_ops/ops_data_portal_submission/v1.0.20260521/datasets/Biohub_OPS0033/Biohub_OPS0033.zarr,figure3/source_data/microscopy/fastact_actr3_ko.npz,3b74d6daccb9c12282a24d0a640c0c92b41fefd6fb69d8101d80f908e9f90ad4,6875712b1581bdf3cda9ff26a28bd8942453e5cbd67ab141466756f3e2f7feae,fluorescence:384x384:float32; phase:384x384:float32,float32,846820,
fastact_actr3_ntc,fastact_actr3_ntc.npz,raw_assets/fastact_actr3_ntc.npz,potential,Fig.3 paired future-edit counterpart,FastAct,actin_filament_fastact_spy555_live_cell_dye,ACTR3,Biohub_OPS0033,A/3/0,NTC,8233075,38969301,0.325,OME-Zarr level 0,phase=0; fluorescence=2,Frozen paired NTC counterpart for future same-reporter comparisons.,s3://ops-explorer-public/leonetti_ops/ops_data_portal_submission/v1.0.20260521/datasets/Biohub_OPS0033/Biohub_OPS0033.zarr,figure3/source_data/microscopy/fastact_actr3_ntc.npz,2e73bcbd8e132a629d9d62f0591f74120332861a4b9805ed547f55f60c003799,01573b7f830e3f47592f9e27dda6f537f020a82fea825c9d26541d461ef2ec94,fluorescence:384x384:float32; phase:384x384:float32,float32,792494,
lamp1_borcs7_ntc,lamp1_borcs7_ntc.npz,raw_assets/lamp1_borcs7_ntc.npz,rendered; potential,Fig.3a; Fig.3 paired future-edit counterpart,LAMP1,lysosome_lamp1,BORCS7,Biohub_OPS0011,A/2/0,NTC,8286394,20443628,0.325,OME-Zarr level 0,phase=0; fluorescence=2,Frozen pre-specified microscopy roster; selection independent of canonical aggregation repair.,s3://ops-explorer-public/leonetti_ops/ops_data_portal_submission/v1.0.20260521/datasets/Biohub_OPS0011/Biohub_OPS0011.zarr,figure3/source_data/microscopy/lamp1_borcs7_ntc.npz,fdeb91489283949ae3714072553058a65b13d85cbbcd0077c0eecc392c4ca5c1,fdc248a6c5ae68bdf777e086b53eaa431a85436ea91f5f22d1bc0ec0a98ee69d,fluorescence:384x384:float32; phase:384x384:float32,float32,1045721,
5xupre_hspa5_ko,5xupre_hspa5_ko.npz,raw_assets/5xupre_hspa5_ko.npz,rendered,Fig.3a,5xUPRE,5xupre,HSPA5,Biohub_OPS0001,A/3/0,KO,6734514,9973218,0.325,OME-Zarr level 0,phase=0; fluorescence=2,Frozen pre-specified microscopy roster; selection independent of canonical aggregation repair.,s3://ops-explorer-public/leonetti_ops/ops_data_portal_submission/v1.0.20260521/datasets/Biohub_OPS0001/Biohub_OPS0001.zarr,figure3/source_data/microscopy/5xupre_hspa5_ko.npz,d4ed434de65d8cc1fb0ef0137cbf8189b23377fb6e8e3d07e87cb9e27b28d31b,f68ae34200c729dcb7b5cf91f9126db63dace16c287dfd424fd96f45a7cdd555,fluorescence:384x384:float32; phase:384x384:float32,float32,1055868,
5xupre_hspa5_ntc,5xupre_hspa5_ntc.npz,raw_assets/5xupre_hspa5_ntc.npz,potential,Fig.3 paired future-edit counterpart,5xUPRE,5xupre,HSPA5,Biohub_OPS0001,A/1/0,NTC,8353156,21304555,0.325,OME-Zarr level 0,phase=0; fluorescence=2,Frozen paired NTC counterpart for future same-reporter comparisons.,s3://ops-explorer-public/leonetti_ops/ops_data_portal_submission/v1.0.20260521/datasets/Biohub_OPS0001/Biohub_OPS0001.zarr,figure3/source_data/microscopy/5xupre_hspa5_ntc.npz,add13ffbb58d70fd4fa452b87bc113d7bd249f50dde82c6bdc29923ed4890c20,fdea920a0b1c497528e0fa17e384834aa01bb8c9e883a8059d9e2beffc3d3029,fluorescence:384x384:float32; phase:384x384:float32,float32,1033809,
prb_sall3_ops0077_a1,prb_sall3_ops0077_a1.npz,raw_assets/prb_sall3_ops0077_a1.npz,rendered,Fig.5b,pRb,prb,SALL3,Biohub_OPS0077,A/1/0,KO,703281,34071508,0.325,Stage-B level-0 crop,phase=0; fluorescence=9; masks,Soft-QC non-edge targeting cell; phase/geometry medoid within well.,Local staged raw crop; original OPS source documented in source figure manifest.,figure5/source_data/microscopy/cell_00.npz,c194e7ce8f8a4b6cc24a61b874c7b6296872d8a9378700cc58679447e98132dd,f1badfb69aa238dd8cdc37d1afa34c385de9fe0d242fb665c7e1e3afe127c8a1,cell_mask:384x384:int32; fluorescence:384x384:float32; nuclear_mask:384x384:int32; phase:384x384:float32; reporter_mask:384x384:int32,float32,1089752,
prb_sall3_ops0077_a2,prb_sall3_ops0077_a2.npz,raw_assets/prb_sall3_ops0077_a2.npz,rendered,Fig.4c; Fig.5b,pRb,prb,SALL3,Biohub_OPS0077,A/2/0,KO,3159763,8627706,0.325,Stage-B level-0 crop,phase=0; fluorescence=9; masks,Soft-QC non-edge targeting cell; phase/geometry medoid within well.,Local staged raw crop; original OPS source documented in source figure manifest.,figure5/source_data/microscopy/cell_01.npz,e1e21cd8b833f29ad230dc139fe942f18fab2d52b8bcfd03a081270f1f065398,cdc6a3d21ef1c8ef5a7b3151a56cf5c1cab0fc7c61621d0415a37e8ba19575c6,cell_mask:384x384:int32; fluorescence:384x384:float32; nuclear_mask:384x384:int32; phase:384x384:float32; reporter_mask:384x384:int32,float32,1081998,
