reporter_index,metric_index,reporter_slug,short_name,tier,metric,source_column,value,threshold,scaled_margin,passes
0,0,stress_granule_g3bp1,G3BP1,quantitative_proxy,Recovery,ensemble_recoverability_r,0.9324876788211308,0.7,0.7749589294037694,True
0,1,stress_granule_g3bp1,G3BP1,quantitative_proxy,Rank,magnitude_spearman,0.9342547302547302,0.7,0.7808491008491005,True
0,2,stress_granule_g3bp1,G3BP1,quantitative_proxy,Amplitude,magnitude_variance_ratio,1.043912150978496,"[0.5, 1.5]",0.9121756980430078,True
0,3,stress_granule_g3bp1,G3BP1,quantitative_proxy,Top-5%,top5pct_recall,0.88,0.6,0.7000000000000001,True
0,4,stress_granule_g3bp1,G3BP1,quantitative_proxy,Reliability,reliability,0.5489821526032832,0.3,0.35568878943326177,True
1,0,lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,quantitative_proxy,Recovery,ensemble_recoverability_r,0.93490548931505,0.7,0.7830182977168334,True
1,1,lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,quantitative_proxy,Rank,magnitude_spearman,0.9877188397188398,0.7,0.9590627990627992,True
1,2,lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.93033168340503,"[0.5, 1.5]",0.8606633668100601,True
1,3,lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,quantitative_proxy,Top-5%,top5pct_recall,0.92,0.6,0.8000000000000002,True
1,4,lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,quantitative_proxy,Reliability,reliability,0.8118267526031067,0.3,0.7311810751472952,True
2,0,er_golgi_cop-ii_sec23a,SEC23A,quantitative_proxy,Recovery,ensemble_recoverability_r,0.9308613195197672,0.7,0.7695377317325576,True
2,1,er_golgi_cop-ii_sec23a,SEC23A,quantitative_proxy,Rank,magnitude_spearman,0.9429933669933668,0.7,0.8099778899778893,True
2,2,er_golgi_cop-ii_sec23a,SEC23A,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.874519085676562,"[0.5, 1.5]",0.749038171353124,True
2,3,er_golgi_cop-ii_sec23a,SEC23A,quantitative_proxy,Top-5%,top5pct_recall,0.92,0.6,0.8000000000000002,True
2,4,er_golgi_cop-ii_sec23a,SEC23A,quantitative_proxy,Reliability,reliability,0.7963114253629393,0.3,0.7090163219470562,True
3,0,early_endosome_eea1,EEA1,quantitative_proxy,Recovery,ensemble_recoverability_r,0.923219694743772,0.7,0.7440656491459066,True
3,1,early_endosome_eea1,EEA1,quantitative_proxy,Rank,magnitude_spearman,0.9728429768429768,0.7,0.9094765894765894,True
3,2,early_endosome_eea1,EEA1,quantitative_proxy,Amplitude,magnitude_variance_ratio,1.0018714671850175,"[0.5, 1.5]",0.996257065629965,True
3,3,early_endosome_eea1,EEA1,quantitative_proxy,Top-5%,top5pct_recall,0.96,0.6,0.8999999999999999,True
3,4,early_endosome_eea1,EEA1,quantitative_proxy,Reliability,reliability,0.7784811755482057,0.3,0.6835445364974368,True
4,0,lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,quantitative_proxy,Recovery,ensemble_recoverability_r,0.9235090597591196,0.7,0.7450301991970653,True
4,1,lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,quantitative_proxy,Rank,magnitude_spearman,0.960959316959317,0.7,0.8698643898643901,True
4,2,lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.794749466510299,"[0.5, 1.5]",0.589498933020598,True
4,3,lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,quantitative_proxy,Top-5%,top5pct_recall,0.96,0.6,0.8999999999999999,True
4,4,lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,quantitative_proxy,Reliability,reliability,0.693173451270225,0.3,0.5616763589574644,True
5,0,late_endosome_rab7a,RAB7A,quantitative_proxy,Recovery,ensemble_recoverability_r,0.9199228804921062,0.7,0.7330762683070209,True
5,1,late_endosome_rab7a,RAB7A,quantitative_proxy,Rank,magnitude_spearman,0.9536693216693218,0.7,0.8455644055644062,True
5,2,late_endosome_rab7a,RAB7A,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.8287993930605023,"[0.5, 1.5]",0.6575987861210046,True
5,3,late_endosome_rab7a,RAB7A,quantitative_proxy,Top-5%,top5pct_recall,0.96,0.6,0.8999999999999999,True
5,4,late_endosome_rab7a,RAB7A,quantitative_proxy,Reliability,reliability,0.5437250794222616,0.3,0.3481786848889451,True
