method,fraction,gene_macro_feature_pearson_mean,gene_macro_feature_pearson_sd,n_folds,n_reporters,source_regime,method_color,method_family,method_order,full_label_anchor,relative_to_full_anchor,fraction_label
Ridge,0.001,0.4700140320664219,0.0277023563839722,5,12,low_label,#3E6F9C,Classical tabular,1,0.756783906519564,0.6210676892271775,0.1%
Ridge,0.01,0.6755873327950852,0.0049126101476696,5,12,low_label,#3E6F9C,Classical tabular,1,0.756783906519564,0.8927083768233123,1%
Ridge,0.2,0.7444591846077323,0.0093120778576749,5,12,low_label,#3E6F9C,Classical tabular,1,0.756783906519564,0.9837143446026584,20%
Ridge,1.0,0.756783906519564,0.0074142356415967,5,12,independent_full_label_anchor,#3E6F9C,Classical tabular,1,0.756783906519564,1.0,100%
GBDT,0.001,0.6302078234580485,0.0044674969706563,5,12,low_label,#5E88AD,Classical tabular,2,0.7773601915164209,0.81070246500362,0.1%
GBDT,0.01,0.7232562795567059,0.0075038830744675,5,12,low_label,#5E88AD,Classical tabular,2,0.7773601915164209,0.9304004597223164,1%
GBDT,0.2,0.7659886518770859,0.0099768753255549,5,12,low_label,#5E88AD,Classical tabular,2,0.7773601915164209,0.9853715950939652,20%
GBDT,1.0,0.7773601915164209,0.0096076540452142,5,12,independent_full_label_anchor,#5E88AD,Classical tabular,2,0.7773601915164209,1.0,100%
CatBoost,0.001,0.6385040550137152,0.0119206083750399,5,12,low_label,#79A8C9,Classical tabular,3,0.7696075167117157,0.8296489329286137,0.1%
CatBoost,0.01,0.7288269248627195,0.0070054017809653,5,12,low_label,#79A8C9,Classical tabular,3,0.7696075167117157,0.9470111830206148,1%
CatBoost,0.2,0.763373213601471,0.0105044028116477,5,12,low_label,#79A8C9,Classical tabular,3,0.7696075167117157,0.9918993734145402,20%
CatBoost,1.0,0.7696075167117157,0.0100013645502458,5,12,independent_full_label_anchor,#79A8C9,Classical tabular,3,0.7696075167117157,1.0,100%
MLP,0.001,0.4602019159209548,0.0101221650496423,5,12,low_label,#7B6597,Neural specialists,4,0.7803019812334053,0.5897741220565969,0.1%
MLP,0.01,0.643601360680849,0.0059204138472105,5,12,low_label,#7B6597,Neural specialists,4,0.7803019812334053,0.8248106196828096,1%
MLP,0.2,0.7548136246608597,0.0104847657792411,5,12,low_label,#7B6597,Neural specialists,4,0.7803019812334053,0.9673352661078,20%
MLP,1.0,0.7803019812334053,0.0099942925412132,5,12,independent_full_label_anchor,#7B6597,Neural specialists,4,0.7803019812334053,1.0,100%
TabM,0.001,0.5288444566875828,0.0154763684954334,5,12,low_label,#A783AD,Neural specialists,5,0.7788612078069882,0.6789970425881543,0.1%
TabM,0.01,0.6718283398880346,0.0347865250573181,5,12,low_label,#A783AD,Neural specialists,5,0.7788612078069882,0.8625777393377669,1%
TabM,0.2,0.7624587023533725,0.0169705525927199,5,12,low_label,#A783AD,Neural specialists,5,0.7788612078069882,0.9789404000491954,20%
TabM,1.0,0.7788612078069882,0.0063573683489146,5,12,independent_full_label_anchor,#A783AD,Neural specialists,5,0.7788612078069882,1.0,100%
scButterfly,0.001,0.4285314770143789,0.0222784846657447,5,12,low_label,#CC79A7,Neural specialists,6,0.6856166733906786,0.6250307112502101,0.1%
scButterfly,0.01,0.6116422034867017,0.0184388272197075,5,12,low_label,#CC79A7,Neural specialists,6,0.6856166733906786,0.8921052057585761,1%
scButterfly,0.2,0.6799773962752618,0.0107552718139447,5,12,low_label,#CC79A7,Neural specialists,6,0.6856166733906786,0.9917748833505928,20%
scButterfly,1.0,0.6856166733906786,0.0102633676120399,5,12,independent_full_label_anchor,#CC79A7,Neural specialists,6,0.6856166733906786,1.0,100%
ResMLP,0.001,0.5619881079800433,0.0130446224081562,5,12,low_label,#4F9A70,Generic multi-task,7,0.7604170542609763,0.7390524776252166,0.1%
ResMLP,0.01,0.6864994730893522,0.0058705894847186,5,12,low_label,#4F9A70,Generic multi-task,7,0.7604170542609763,0.9027933674587796,1%
ResMLP,0.2,0.755261772355082,0.0095810508788702,5,12,low_label,#4F9A70,Generic multi-task,7,0.7604170542609763,0.9932204546478716,20%
ResMLP,1.0,0.7604170542609763,0.009948088788582,5,12,independent_full_label_anchor,#4F9A70,Generic multi-task,7,0.7604170542609763,1.0,100%
MultiTab,0.001,0.6172988654101802,0.009863743527388,5,12,low_label,#4FA7B8,Generic multi-task,8,0.7700923320447974,0.8015907180520673,0.1%
MultiTab,0.01,0.7091649808930621,0.0074853708437986,5,12,low_label,#4FA7B8,Generic multi-task,8,0.7700923320447974,0.9208830569836254,1%
MultiTab,0.2,0.7659148279763327,0.0101929081659974,5,12,low_label,#4FA7B8,Generic multi-task,8,0.7700923320447974,0.9945753205237452,20%
MultiTab,1.0,0.7700923320447974,0.0088991571044763,5,12,independent_full_label_anchor,#4FA7B8,Generic multi-task,8,0.7700923320447974,1.0,100%
MIDAS,0.001,0.6318126057789669,0.033789096130494,5,12,low_label,#C85A3C,Biological completion,9,0.6442321628606792,0.9807219232480356,0.1%
MIDAS,0.01,0.6732351288822032,0.0151817863809902,5,12,low_label,#C85A3C,Biological completion,9,0.6442321628606792,1.0450194319587178,1%
MIDAS,0.2,0.6660096221045737,0.0366196392615639,5,12,low_label,#C85A3C,Biological completion,9,0.6442321628606792,1.0338037442079775,20%
MIDAS,1.0,0.6442321628606792,0.0331332770817259,5,12,independent_full_label_anchor,#C85A3C,Biological completion,9,0.6442321628606792,1.0,100%
scPair,0.001,0.4617535101854965,0.0260363728093883,5,12,low_label,#DDA06A,Biological completion,10,0.7675566162927835,0.6015888605269494,0.1%
scPair,0.01,0.6597822719569861,0.009305266669428,5,12,low_label,#DDA06A,Biological completion,10,0.7675566162927835,0.8595877593286396,1%
scPair,0.2,0.7512486999057646,0.0090388667578662,5,12,low_label,#DDA06A,Biological completion,10,0.7675566162927835,0.9787534677692123,20%
scPair,1.0,0.7675566162927835,0.0086780529526951,5,12,independent_full_label_anchor,#DDA06A,Biological completion,10,0.7675566162927835,1.0,100%
