panel,source_table,mark_id,reporter_slug,ensemble_recoverability_r,magnitude_spearman,amplitude_fidelity,within_screen_split_half_pearson_median,short_name,substitutability_tier,scientific_utility_index,outer_loo_prediction,selected_alpha,mean_utility,prediction_residual,label_flag,label_reason,predictor,label,rho,ci_low,ci_high,n_reporters,ci_method,bootstrap_reps,bootstrap_seed,outer_loo_r2,outer_loo_spearman,median_selected_alpha,reporter_short_name,biological_category_x,destination_screen,n_source_screens,n_source_control_cells,n_destination_control_cells,n_common_genes,phase_ntc_shift_rms_smd,phase_ntc_shift_median_abs_smd,phase_ntc_shift_p90_abs_smd,phenotype_ntc_shift_rms_smd,phenotype_ntc_shift_median_abs_smd,true_ko_response_rms_shift,true_ko_profile_cross_screen_pearson,true_ko_magnitude_cross_screen_spearman,consensus10_strict_gene_pearson,consensus10_strict_magnitude_spearman,consensus10_strict_cell_pearson,consensus10_gene_holdout_pearson,consensus10_gene_holdout_cell_pearson,biological_category_y,consensus10_screen_penalty_gene,consensus10_screen_penalty_cell,statistical_unit,inference_cluster,consensus_aggregation,gene_minus_strict_screen_pearson,ordered_direction_index,display_screen,display_label,biological_category,metric,metric_label,value,reporter_order,status,n_directions,minimum,median,maximum,range,stable_above_gate,crosses_gate,stable_below_gate,median_within_reporter_range,iqr25_within_reporter_range,iqr75_within_reporter_range,maximum_within_reporter_range,reporter_group_eta_squared_descriptive,gate,context,model,fraction,n_compounds,k,overlap,recall,recall_lower95,recall_upper95,random_expected_overlap,random_expected_recall,enrichment_over_random,random_overlap_lower95,random_overlap_upper95,random_selection_tail_probability,signed_spearman,signed_pearson,selected_reference_loss_mean,selected_reference_loss_min,selected_reference_loss_max,true_top_loss_mean,n_bootstrap,interpretation,measured_repeat_recall,measured_repeat_overlap,recall_difference_from_repeat,difference_lower95,difference_upper95
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:0,5xupre,0.7517535811802963,0.8691121491121492,0.901870450508552,0.4085795923758126,5xUPRE,quantitative_proxy,0.7377450980392157,0.5584204027483319,10.0,0.6480827503937738,-0.1793246952908838,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:1,actin_filament_fastact_spy555_live_cell_dye,0.9186551056294152,0.9713158073158076,0.934008721749014,0.4815571491092879,FastAct_SPY555 Live Cell Dye,quantitative_proxy,0.821078431372549,0.7119378416352993,10.0,0.7665081365039241,-0.10914058973724972,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:2,autophagosome_atg101,0.713638245878343,0.7562580362580363,0.7354794724560445,0.5696557950339326,ATG101,quantitative_proxy,0.4950980392156863,0.5025412127679636,10.0,0.49881962599182494,0.007443173552277305,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:3,autophagosome_map1lc3b,0.9001608299252496,0.9305271065271066,0.9347263774201356,0.4661954595673966,MAP1LC3B,quantitative_proxy,0.6249999999999999,0.6742849052906609,10.0,0.6496424526453304,0.049284905290660985,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:4,b-catenin,0.5709871635927863,0.6645843525843527,0.4643259821575786,0.2160133604189748,b-catenin,not_identifiable,0.15196078431372548,0.21552786338855462,10.0,0.18374432385114003,0.06356707907482914,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:5,c-myc,0.5667739586418341,0.6272016392016392,0.3962574389284445,0.2166304258685255,c-Myc,not_identifiable,0.07598039215686275,0.17354956010096834,10.0,0.12476497612891554,0.09756916794410558,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:6,caspase_activity_cellevent-caspase_live-cell_dye,0.5980371807000908,0.5789962469962471,0.46721570785508626,0.3152966465946273,CellEvent-Caspase live-cell dye,measurement_required,0.08088235294117649,0.19349608879761981,10.0,0.13718922086939817,0.11261373585644333,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:7,cell_proliferation_marker_mki67,0.7042952594051338,0.6634308394308395,0.5366833306482973,0.3279687777331082,MKI67,unresolved,0.40441176470588236,0.295470554953268,10.0,0.3499411598295752,-0.10894120975261434,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:8,chaperones_hspa1b,0.8331724455604629,0.8072720072720073,0.932221391997017,0.3807492021518412,HSPA1B,quantitative_proxy,0.6862745098039216,0.5217928039766018,10.0,0.6040336568902617,-0.1644817058273198,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:9,chromalive_488_excitation,0.7746614618872987,0.8282332562332563,0.8162227429190112,0.3255015696911665,ChromaLIVE 488 excitation,quantitative_proxy,0.5759803921568627,0.4872931515963399,10.0,0.5316367718766013,-0.0886872405605228,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
