reporter_slug,short_name,run_state,biological_category,reliability,historical_reference_tier,method_id,method,recoverability_r,magnitude_spearman,variance_ratio,top5pct_recall,n_genes,observed_boundary_ties,predicted_boundary_ties,tier,proxy_supported,pass_reliability,pass_recovery,pass_rank,pass_variance_lower,pass_variance_upper,pass_quantitative_hit,pass_ranking_hit,pass_measurement_recovery,failed_quantitative_gates,failed_ranking_gates
stress_granule_g3bp1,G3BP1,checkpoint_average,Stress/PQC,0.5489821526032832,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.927926774074634,0.9342547302547302,1.043912150978496,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
stress_granule_g3bp1,G3BP1,checkpoint_average,Stress/PQC,0.5489821526032832,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.9278380284822714,0.9342547302547302,1.043912150978496,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,checkpoint_average,Lysosome,0.8118267526031067,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.9248392219344774,0.9877188397188398,0.93033168340503,0.92,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,checkpoint_average,Lysosome,0.8118267526031067,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.9253937450747876,0.9877188397188398,0.93033168340503,0.92,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_golgi_cop-ii_sec23a,SEC23A,checkpoint_average,ER/Golgi,0.7963114253629393,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.9248014762997626,0.9429933669933668,0.874519085676562,0.92,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_golgi_cop-ii_sec23a,SEC23A,checkpoint_average,ER/Golgi,0.7963114253629393,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.9236962742535406,0.9429933669933668,0.874519085676562,0.92,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
early_endosome_eea1,EEA1,checkpoint_average,Endosome,0.7784811755482057,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.9192501720041036,0.9728429768429768,1.0018714671850175,0.96,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
early_endosome_eea1,EEA1,checkpoint_average,Endosome,0.7784811755482057,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.9169670459816828,0.9728429768429768,1.0018714671850175,0.96,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,checkpoint_average,Lysosome,0.693173451270225,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.9148503104845682,0.960959316959317,0.794749466510299,0.96,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,checkpoint_average,Lysosome,0.693173451270225,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.9147289933087408,0.960959316959317,0.794749466510299,0.96,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
late_endosome_rab7a,RAB7A,checkpoint_average,Endosome,0.5437250794222616,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.9105539268503586,0.9536693216693218,0.8287993930605023,0.96,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
late_endosome_rab7a,RAB7A,checkpoint_average,Endosome,0.5437250794222616,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.9104069621652636,0.9536693216693218,0.8287993930605023,0.96,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,checkpoint_average,Cytoskeleton,0.4815571491092879,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.9096364724139372,0.9713158073158076,0.934008721749014,0.94,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,checkpoint_average,Cytoskeleton,0.4815571491092879,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.9095128469955152,0.9713158073158076,0.934008721749014,0.94,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
plasma_membrane_slc3a2,SLC3A2,checkpoint_average,Plasma Membrane,0.4535912492305982,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.9073366475601992,0.9344774504774508,0.8999707561799031,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
plasma_membrane_slc3a2,SLC3A2,checkpoint_average,Plasma Membrane,0.4535912492305982,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.9073458893488416,0.9344774504774508,0.8999707561799031,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
