run_state,method_id,reference_state,reference_method_id,n_reporters,n_reliability_passing,exact_tier_agreement_43,proxy_agreement_43,exact_tier_agreement_52,proxy_agreement_52,n_Q,n_R,n_M,n_N,n_U,n_proxy
checkpoint_average,ridge,checkpoint_average,coherent_median_ensemble,52,43,41,43,50,52,30,7,3,9,3,37
checkpoint_average,gbdt,checkpoint_average,coherent_median_ensemble,52,43,42,43,51,52,31,6,3,9,3,37
checkpoint_average,catboost_multirmse,checkpoint_average,coherent_median_ensemble,52,43,42,43,51,52,31,6,3,9,3,37
checkpoint_average,mlp,checkpoint_average,coherent_median_ensemble,52,43,42,43,51,52,31,6,3,9,3,37
checkpoint_average,tabm_specialists,checkpoint_average,coherent_median_ensemble,52,43,36,41,45,50,26,9,3,9,5,35
checkpoint_average,scbutterfly_ops_b,checkpoint_average,coherent_median_ensemble,52,43,22,33,31,42,14,13,12,9,4,27
checkpoint_average,resmlp_52head,checkpoint_average,coherent_median_ensemble,52,43,39,42,48,51,29,7,3,9,4,36
checkpoint_average,multitab_pilot,checkpoint_average,coherent_median_ensemble,52,43,43,43,52,52,30,7,3,9,3,37
checkpoint_average,midas_ops,checkpoint_average,coherent_median_ensemble,52,43,14,31,23,40,7,18,13,9,5,25
checkpoint_average,scpair_ops,checkpoint_average,coherent_median_ensemble,52,43,41,42,50,51,29,7,3,9,4,36
checkpoint_average,coherent_median_ensemble,checkpoint_average,coherent_median_ensemble,52,43,43,43,52,52,30,7,3,9,3,37
single,ridge,checkpoint_average,coherent_median_ensemble,52,43,41,43,50,52,30,7,3,9,3,37
single,gbdt,checkpoint_average,coherent_median_ensemble,52,43,42,43,51,52,31,6,3,9,3,37
single,catboost_multirmse,checkpoint_average,coherent_median_ensemble,52,43,42,43,51,52,31,6,3,9,3,37
single,mlp,checkpoint_average,coherent_median_ensemble,52,43,42,43,51,52,31,6,3,9,3,37
single,tabm_specialists,checkpoint_average,coherent_median_ensemble,52,43,38,43,47,52,27,10,3,9,3,37
single,scbutterfly_ops_b,checkpoint_average,coherent_median_ensemble,52,43,22,33,31,42,14,13,11,9,5,27
single,resmlp_52head,checkpoint_average,coherent_median_ensemble,52,43,39,42,48,51,29,7,3,9,4,36
single,multitab_pilot,checkpoint_average,coherent_median_ensemble,52,43,42,43,51,52,29,8,3,9,3,37
single,midas_ops,checkpoint_average,coherent_median_ensemble,52,43,16,33,25,42,9,18,12,9,4,27
single,scpair_ops,checkpoint_average,coherent_median_ensemble,52,43,41,42,50,51,29,7,3,9,4,36
single,coherent_median_ensemble,checkpoint_average,coherent_median_ensemble,52,43,42,43,51,52,31,6,3,9,3,37
