reporter_slug,method_id,fold,n_keys,max_truth_delta,reordered,run_state
stress_granule_g3bp1,ridge,0,211,0.0,False,checkpoint_average
stress_granule_g3bp1,gbdt,0,211,0.0,False,checkpoint_average
stress_granule_g3bp1,catboost_multirmse,0,211,0.0,False,checkpoint_average
stress_granule_g3bp1,mlp,0,211,0.0,False,checkpoint_average
stress_granule_g3bp1,tabm_specialists,0,211,0.0,False,checkpoint_average
stress_granule_g3bp1,scbutterfly_ops_b,0,211,0.0,False,checkpoint_average
stress_granule_g3bp1,resmlp_52head,0,211,0.0,False,checkpoint_average
stress_granule_g3bp1,multitab_pilot,0,211,0.0,False,checkpoint_average
stress_granule_g3bp1,midas_ops,0,211,0.0,False,checkpoint_average
stress_granule_g3bp1,scpair_ops,0,211,0.0,False,checkpoint_average
stress_granule_g3bp1,ridge,1,187,0.0,False,checkpoint_average
stress_granule_g3bp1,gbdt,1,187,0.0,False,checkpoint_average
stress_granule_g3bp1,catboost_multirmse,1,187,0.0,False,checkpoint_average
stress_granule_g3bp1,mlp,1,187,0.0,False,checkpoint_average
stress_granule_g3bp1,tabm_specialists,1,187,0.0,False,checkpoint_average
stress_granule_g3bp1,scbutterfly_ops_b,1,187,0.0,False,checkpoint_average
stress_granule_g3bp1,resmlp_52head,1,187,0.0,False,checkpoint_average
stress_granule_g3bp1,multitab_pilot,1,187,0.0,False,checkpoint_average
stress_granule_g3bp1,midas_ops,1,187,0.0,False,checkpoint_average
stress_granule_g3bp1,scpair_ops,1,187,0.0,False,checkpoint_average
stress_granule_g3bp1,ridge,2,183,0.0,False,checkpoint_average
stress_granule_g3bp1,gbdt,2,183,0.0,False,checkpoint_average
stress_granule_g3bp1,catboost_multirmse,2,183,0.0,False,checkpoint_average
stress_granule_g3bp1,mlp,2,183,0.0,False,checkpoint_average
stress_granule_g3bp1,tabm_specialists,2,183,0.0,False,checkpoint_average
stress_granule_g3bp1,scbutterfly_ops_b,2,183,0.0,False,checkpoint_average
stress_granule_g3bp1,resmlp_52head,2,183,0.0,False,checkpoint_average
stress_granule_g3bp1,multitab_pilot,2,183,0.0,False,checkpoint_average
stress_granule_g3bp1,midas_ops,2,183,0.0,False,checkpoint_average
stress_granule_g3bp1,scpair_ops,2,183,0.0,False,checkpoint_average
stress_granule_g3bp1,ridge,3,197,0.0,False,checkpoint_average
stress_granule_g3bp1,gbdt,3,197,0.0,False,checkpoint_average
stress_granule_g3bp1,catboost_multirmse,3,197,0.0,False,checkpoint_average
stress_granule_g3bp1,mlp,3,197,0.0,False,checkpoint_average
stress_granule_g3bp1,tabm_specialists,3,197,0.0,False,checkpoint_average
stress_granule_g3bp1,scbutterfly_ops_b,3,197,0.0,False,checkpoint_average
stress_granule_g3bp1,resmlp_52head,3,197,0.0,False,checkpoint_average
stress_granule_g3bp1,multitab_pilot,3,197,0.0,False,checkpoint_average
stress_granule_g3bp1,midas_ops,3,197,0.0,False,checkpoint_average
stress_granule_g3bp1,scpair_ops,3,197,0.0,False,checkpoint_average
stress_granule_g3bp1,ridge,4,222,0.0,False,checkpoint_average
stress_granule_g3bp1,gbdt,4,222,0.0,False,checkpoint_average
stress_granule_g3bp1,catboost_multirmse,4,222,0.0,False,checkpoint_average
stress_granule_g3bp1,mlp,4,222,0.0,False,checkpoint_average
stress_granule_g3bp1,tabm_specialists,4,222,0.0,False,checkpoint_average
stress_granule_g3bp1,scbutterfly_ops_b,4,222,0.0,False,checkpoint_average
stress_granule_g3bp1,resmlp_52head,4,222,0.0,False,checkpoint_average
stress_granule_g3bp1,multitab_pilot,4,222,0.0,False,checkpoint_average
stress_granule_g3bp1,midas_ops,4,222,0.0,False,checkpoint_average
stress_granule_g3bp1,scpair_ops,4,222,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,ridge,0,633,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,gbdt,0,633,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,catboost_multirmse,0,633,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,mlp,0,633,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,tabm_specialists,0,633,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,scbutterfly_ops_b,0,633,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,resmlp_52head,0,633,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,multitab_pilot,0,633,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,midas_ops,0,633,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,scpair_ops,0,633,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,ridge,1,561,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,gbdt,1,561,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,catboost_multirmse,1,561,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,mlp,1,561,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,tabm_specialists,1,561,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,scbutterfly_ops_b,1,561,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,resmlp_52head,1,561,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,multitab_pilot,1,561,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,midas_ops,1,561,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,scpair_ops,1,561,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,ridge,2,549,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,gbdt,2,549,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,catboost_multirmse,2,549,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,mlp,2,549,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,tabm_specialists,2,549,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,scbutterfly_ops_b,2,549,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,resmlp_52head,2,549,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,multitab_pilot,2,549,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,midas_ops,2,549,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,scpair_ops,2,549,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,ridge,3,591,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,gbdt,3,591,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,catboost_multirmse,3,591,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,mlp,3,591,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,tabm_specialists,3,591,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,scbutterfly_ops_b,3,591,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,resmlp_52head,3,591,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,multitab_pilot,3,591,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,midas_ops,3,591,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,scpair_ops,3,591,0.0,False,checkpoint_average
lysosome_lysotracker_live-cell_dye,ridge,4,666,0.0,False,checkpoint_average
