reporter_slug,method_id,fold,recoverability_r,n_gene_screen_pairs,n_endpoints,run_state
stress_granule_g3bp1,ridge,0,0.9293307453906418,211,24,checkpoint_average
stress_granule_g3bp1,gbdt,0,0.9394886647855676,211,24,checkpoint_average
stress_granule_g3bp1,catboost_multirmse,0,0.9327343249135108,211,24,checkpoint_average
stress_granule_g3bp1,mlp,0,0.9403466919126876,211,24,checkpoint_average
stress_granule_g3bp1,tabm_specialists,0,0.9413093708797814,211,24,checkpoint_average
stress_granule_g3bp1,scbutterfly_ops_b,0,0.9196607520564688,211,24,checkpoint_average
stress_granule_g3bp1,resmlp_52head,0,0.9388016398680294,211,24,checkpoint_average
stress_granule_g3bp1,multitab_pilot,0,0.9352929729999988,211,24,checkpoint_average
stress_granule_g3bp1,midas_ops,0,0.8857871043404243,211,24,checkpoint_average
stress_granule_g3bp1,scpair_ops,0,0.935064676472954,211,24,checkpoint_average
stress_granule_g3bp1,ridge,1,0.9231418180744824,187,24,checkpoint_average
stress_granule_g3bp1,gbdt,1,0.9352384594744324,187,24,checkpoint_average
stress_granule_g3bp1,catboost_multirmse,1,0.9279992148270736,187,24,checkpoint_average
stress_granule_g3bp1,mlp,1,0.9339866083356732,187,24,checkpoint_average
stress_granule_g3bp1,tabm_specialists,1,0.9352409963424144,187,24,checkpoint_average
stress_granule_g3bp1,scbutterfly_ops_b,1,0.9132031076980812,187,24,checkpoint_average
stress_granule_g3bp1,resmlp_52head,1,0.9328670829381034,187,24,checkpoint_average
stress_granule_g3bp1,multitab_pilot,1,0.9239979012705408,187,24,checkpoint_average
stress_granule_g3bp1,midas_ops,1,0.8547570989223471,187,24,checkpoint_average
stress_granule_g3bp1,scpair_ops,1,0.9293678288716242,187,24,checkpoint_average
stress_granule_g3bp1,ridge,2,0.9097150256925132,183,24,checkpoint_average
stress_granule_g3bp1,gbdt,2,0.9244912983243292,183,24,checkpoint_average
stress_granule_g3bp1,catboost_multirmse,2,0.9174642681928812,183,24,checkpoint_average
stress_granule_g3bp1,mlp,2,0.9251677769844492,183,24,checkpoint_average
stress_granule_g3bp1,tabm_specialists,2,0.9283004632235848,183,24,checkpoint_average
stress_granule_g3bp1,scbutterfly_ops_b,2,0.904317185147435,183,24,checkpoint_average
stress_granule_g3bp1,resmlp_52head,2,0.9256977003806344,183,24,checkpoint_average
stress_granule_g3bp1,multitab_pilot,2,0.9192696079426336,183,24,checkpoint_average
stress_granule_g3bp1,midas_ops,2,0.8536294470766391,183,24,checkpoint_average
stress_granule_g3bp1,scpair_ops,2,0.9193515672931636,183,24,checkpoint_average
stress_granule_g3bp1,ridge,3,0.9192320882463384,197,24,checkpoint_average
stress_granule_g3bp1,gbdt,3,0.9304369122147363,197,24,checkpoint_average
stress_granule_g3bp1,catboost_multirmse,3,0.9222613630731432,197,24,checkpoint_average
stress_granule_g3bp1,mlp,3,0.9311565194236878,197,24,checkpoint_average
stress_granule_g3bp1,tabm_specialists,3,0.9155197863371574,197,24,checkpoint_average
stress_granule_g3bp1,scbutterfly_ops_b,3,0.9097796153466544,197,24,checkpoint_average
stress_granule_g3bp1,resmlp_52head,3,0.928566856340552,197,24,checkpoint_average
stress_granule_g3bp1,multitab_pilot,3,0.922940462710855,197,24,checkpoint_average
stress_granule_g3bp1,midas_ops,3,0.8647057842125543,197,24,checkpoint_average
stress_granule_g3bp1,scpair_ops,3,0.9251305349202112,197,24,checkpoint_average
stress_granule_g3bp1,ridge,4,0.9317316372749428,222,24,checkpoint_average
stress_granule_g3bp1,gbdt,4,0.9392490006936411,222,24,checkpoint_average
stress_granule_g3bp1,catboost_multirmse,4,0.9323929897186982,222,24,checkpoint_average
stress_granule_g3bp1,mlp,4,0.9383417591516268,222,24,checkpoint_average
stress_granule_g3bp1,tabm_specialists,4,0.934789522680599,222,24,checkpoint_average
stress_granule_g3bp1,scbutterfly_ops_b,4,0.9194850612813532,222,24,checkpoint_average
stress_granule_g3bp1,resmlp_52head,4,0.9388457697682056,222,24,checkpoint_average
stress_granule_g3bp1,multitab_pilot,4,0.9330453960180852,222,24,checkpoint_average
stress_granule_g3bp1,midas_ops,4,0.8791022125661089,222,24,checkpoint_average
stress_granule_g3bp1,scpair_ops,4,0.9349193363226472,222,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,ridge,0,0.9338721773565516,633,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,gbdt,0,0.940448798846118,633,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,catboost_multirmse,0,0.9297015767405148,633,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,mlp,0,0.9429623362165304,633,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,tabm_specialists,0,0.9398234955494968,633,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,scbutterfly_ops_b,0,0.9133632506783212,633,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,resmlp_52head,0,0.930226265349015,633,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,multitab_pilot,0,0.9259743897836054,633,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,midas_ops,0,0.8737496667312487,633,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,scpair_ops,0,0.932898743416774,633,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,ridge,1,0.934135287218961,561,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,gbdt,1,0.9411549274255172,561,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,catboost_multirmse,1,0.9309132915957236,561,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,mlp,1,0.9417078765795,561,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,tabm_specialists,1,0.941081843268272,561,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,scbutterfly_ops_b,1,0.900880325897154,561,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,resmlp_52head,1,0.9264887200136088,561,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,multitab_pilot,1,0.9280893762409828,561,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,midas_ops,1,0.8470137730856888,561,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,scpair_ops,1,0.928676774146098,561,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,ridge,2,0.923768992417559,549,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,gbdt,2,0.9357886001646816,549,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,catboost_multirmse,2,0.9221502287082144,549,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,mlp,2,0.9311617469880588,549,24,checkpoint_average
lysosome_lysotracker_live-cell_dye,tabm_specialists,2,0.6478517888777017,549,24,checkpoint_average
