reporter_slug,short_name,prediction_state,predictor,response_scale,recoverability_r,reliability,magnitude_spearman,variance_ratio,top5pct_recall,n_genes,observed_boundary_ties,predicted_boundary_ties,tier,proxy_supported,pass_reliability,pass_recovery,pass_rank,pass_variance_lower,pass_variance_upper,pass_quantitative_hit,pass_ranking_hit,pass_measurement_recovery,failed_quantitative_gates,failed_ranking_gates
stress_granule_g3bp1,G3BP1,checkpoint_average,coherent_median_ensemble,common_control,0.9324876788211311,0.5489821526032832,0.9342547302547302,1.0439121509784965,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
stress_granule_g3bp1,G3BP1,checkpoint_average,coherent_median_ensemble,fold_standardized,0.9324876788211311,0.5489821526032832,0.9338210258210258,1.0644298259484044,0.9,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,checkpoint_average,coherent_median_ensemble,common_control,0.9349054893150504,0.8118267526031067,0.9877188397188398,0.9303316834050301,0.92,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,checkpoint_average,coherent_median_ensemble,fold_standardized,0.9349054893150504,0.8118267526031067,0.9883072363072363,0.9338829005721304,0.92,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_golgi_cop-ii_sec23a,SEC23A,checkpoint_average,coherent_median_ensemble,common_control,0.930861319519767,0.7963114253629393,0.9429933669933669,0.874519085676562,0.92,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_golgi_cop-ii_sec23a,SEC23A,checkpoint_average,coherent_median_ensemble,fold_standardized,0.930861319519767,0.7963114253629393,0.9356664836664836,0.8912723061762974,0.86,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
early_endosome_eea1,EEA1,checkpoint_average,coherent_median_ensemble,common_control,0.923219694743772,0.7784811755482057,0.9728429768429769,1.0018714671850177,0.96,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
early_endosome_eea1,EEA1,checkpoint_average,coherent_median_ensemble,fold_standardized,0.923219694743772,0.7784811755482057,0.9651913251913253,1.0190245851293185,0.94,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,checkpoint_average,coherent_median_ensemble,common_control,0.9235090597591196,0.693173451270225,0.960959316959317,0.794749466510299,0.96,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,checkpoint_average,coherent_median_ensemble,fold_standardized,0.9235090597591196,0.693173451270225,0.9590513750513752,0.802136777148348,0.96,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
