display_order,context_id,context_group,label,baseline_tier,baseline_short,single32_n_scenarios,single32_tier_changes,single32_tier_unchanged_fraction,single32_proxy_changes,single32_proxy_unchanged_fraction,single32_scenarios_with_criterion_changes,single32_scenarios_with_quantitative_fidelity_vector_changes,single32_possible_tiers,single32_possible_short,joint4_n_scenarios,joint4_tier_changes,joint4_tier_unchanged_fraction,joint4_proxy_changes,joint4_proxy_unchanged_fraction,joint4_scenarios_with_criterion_changes,joint4_scenarios_with_quantitative_fidelity_vector_changes,joint4_possible_tiers,joint4_possible_short,all36_n_scenarios,all36_tier_changes,all36_tier_unchanged_fraction,all36_proxy_changes,all36_proxy_unchanged_fraction,all36_scenarios_with_criterion_changes,all36_scenarios_with_quantitative_fidelity_vector_changes,all36_possible_tiers,all36_possible_short
1,oasis:mtt_viability,main4,OASIS metabolic activity,unresolved,U,32,0,1.0,0,1.0,0,0,unresolved,U,4,0,1.0,0,1.0,0,0,unresolved,U,36,0,1.0,0,1.0,0,0,unresolved,U
2,oasis:ldh_release,main4,OASIS LDH release,unresolved,U,32,1,0.96875,1,0.96875,3,3,ranking_proxy;unresolved,R/U,4,1,0.75,1,0.75,2,2,quantitative_proxy;unresolved,Q/U,36,2,0.9444444444444444,2,0.9444444444444444,5,5,quantitative_proxy;ranking_proxy;unresolved,Q/R/U
3,periscope_cells:tomm20_mito,main4,PERISCOPE anti-TOMM20 (cell),not_identifiable,N,32,0,1.0,0,1.0,5,5,not_identifiable,N,4,0,1.0,0,1.0,2,2,not_identifiable,N,36,0,1.0,0,1.0,7,7,not_identifiable,N
4,periscope_guide:tomm20_mito,main4,PERISCOPE anti-TOMM20 (guide),not_identifiable,N,32,0,1.0,0,1.0,2,2,not_identifiable,N,4,0,1.0,0,1.0,2,2,not_identifiable,N,36,0,1.0,0,1.0,4,4,not_identifiable,N
5,oasis:prod_25:mtt_viability,OASIS_batch8,"OASIS metabolic activity, batch 25",unresolved,U,32,0,1.0,0,1.0,2,2,unresolved,U,4,0,1.0,0,1.0,2,2,unresolved,U,36,0,1.0,0,1.0,4,4,unresolved,U
6,oasis:prod_25:ldh_release,OASIS_batch8,"OASIS LDH release, batch 25",measurement_required,M,32,4,0.875,2,0.9375,6,4,ranking_proxy;measurement_required;unresolved,R/M/U,4,2,0.5,2,0.5,2,2,ranking_proxy;measurement_required,R/M,36,6,0.8333333333333334,4,0.8888888888888888,8,6,ranking_proxy;measurement_required;unresolved,R/M/U
7,oasis:prod_26:mtt_viability,OASIS_batch8,"OASIS metabolic activity, batch 26",unresolved,U,32,1,0.96875,1,0.96875,1,1,quantitative_proxy;unresolved,Q/U,4,1,0.75,1,0.75,1,1,quantitative_proxy;unresolved,Q/U,36,2,0.9444444444444444,2,0.9444444444444444,2,2,quantitative_proxy;unresolved,Q/U
8,oasis:prod_26:ldh_release,OASIS_batch8,"OASIS LDH release, batch 26",unresolved,U,32,0,1.0,0,1.0,2,2,unresolved,U,4,0,1.0,0,1.0,2,2,unresolved,U,36,0,1.0,0,1.0,4,4,unresolved,U
9,oasis:prod_27:mtt_viability,OASIS_batch8,"OASIS metabolic activity, batch 27",unresolved,U,32,0,1.0,0,1.0,0,0,unresolved,U,4,0,1.0,0,1.0,0,0,unresolved,U,36,0,1.0,0,1.0,0,0,unresolved,U
10,oasis:prod_27:ldh_release,OASIS_batch8,"OASIS LDH release, batch 27",unresolved,U,32,1,0.96875,0,1.0,5,4,not_identifiable;unresolved,N/U,4,1,0.75,0,1.0,3,2,not_identifiable;unresolved,N/U,36,2,0.9444444444444444,0,1.0,8,6,not_identifiable;unresolved,N/U
11,oasis:prod_30:mtt_viability,OASIS_batch8,"OASIS metabolic activity, batch 30",unresolved,U,32,0,1.0,0,1.0,0,0,unresolved,U,4,0,1.0,0,1.0,0,0,unresolved,U,36,0,1.0,0,1.0,0,0,unresolved,U
12,oasis:prod_30:ldh_release,OASIS_batch8,"OASIS LDH release, batch 30",measurement_required,M,32,2,0.9375,0,1.0,4,2,measurement_required;not_identifiable,M/N,4,2,0.5,0,1.0,2,2,measurement_required;not_identifiable,M/N,36,4,0.8888888888888888,0,1.0,6,4,measurement_required;not_identifiable,M/N
