display_order,context_id,context_group,resource,label,batch,biological_unit,fitting_unit,source_id,source_key,published_baseline_tier,recoverability_r,magnitude_spearman,variance_ratio,top5pct_recall,reliability
1,oasis:mtt_viability,main4,OASIS,OASIS metabolic activity,pooled,compound,well,main_metrics,band=admitted;row_key=oasis:mtt_viability,unresolved,0.826094403561396,0.6041505188442152,0.89703992643403,0.7272727272727273,0.7162720741260995
2,oasis:ldh_release,main4,OASIS,OASIS LDH release,pooled,compound,well,main_metrics,band=admitted;row_key=oasis:ldh_release,unresolved,0.6703210612939918,0.6325800814554884,0.7360849367366954,0.7272727272727273,0.6383702228050183
3,periscope_cells:tomm20_mito,main4,PERISCOPE,PERISCOPE anti-TOMM20 (cell),pooled,held_out_gene,cell,main_metrics,band=admitted;row_key=periscope_cells:tomm20_mito,not_identifiable,0.7602489189323185,0.8515795085501604,0.5092803360785861,0.6274509803921569,0.0051509934755871
4,periscope_guide:tomm20_mito,main4,PERISCOPE,PERISCOPE anti-TOMM20 (guide),pooled,held_out_gene,guide_profile,main_metrics,band=admitted;row_key=periscope_guide:tomm20_mito,not_identifiable,0.7244846405595476,0.911908535650516,0.5587221227268911,0.6911764705882353,0.0473571535467417
5,oasis:prod_25:mtt_viability,OASIS_batch8,OASIS,"OASIS metabolic activity, batch 25",prod_25,compound,well,batch_metrics,batch=prod_25;reporter_id=mtt_viability,unresolved,0.7727466707147929,0.6017697787776528,1.26106272395305,0.5714285714285714,0.5151597958203917
6,oasis:prod_25:ldh_release,OASIS_batch8,OASIS,"OASIS LDH release, batch 25",prod_25,compound,well,batch_metrics,batch=prod_25;reporter_id=ldh_release,measurement_required,0.5710933905508183,0.6693573303337083,0.9202373285960148,0.5714285714285714,0.4317914218459194
7,oasis:prod_26:mtt_viability,OASIS_batch8,OASIS,"OASIS metabolic activity, batch 26",prod_26,compound,well,batch_metrics,batch=prod_26;reporter_id=mtt_viability,unresolved,0.8300868070157964,0.6322211981566819,0.9621864532826164,0.8571428571428571,0.6113974863478906
8,oasis:prod_26:ldh_release,OASIS_batch8,OASIS,"OASIS LDH release, batch 26",prod_26,compound,well,batch_metrics,batch=prod_26;reporter_id=ldh_release,unresolved,0.6888483507256162,0.6224551931008624,0.7622623875107509,0.8571428571428571,0.561407563538768
9,oasis:prod_27:mtt_viability,OASIS_batch8,OASIS,"OASIS metabolic activity, batch 27",prod_27,compound,well,batch_metrics,batch=prod_27;reporter_id=mtt_viability,unresolved,0.8059193165802689,0.4890998463901689,1.0476105836733316,0.7142857142857143,0.5803422599392686
10,oasis:prod_27:ldh_release,OASIS_batch8,OASIS,"OASIS LDH release, batch 27",prod_27,compound,well,batch_metrics,batch=prod_27;reporter_id=ldh_release,unresolved,0.6847795104689672,0.5289148856392951,0.9924851039695776,0.5714285714285714,0.3424704461002013
11,oasis:prod_30:mtt_viability,OASIS_batch8,OASIS,"OASIS metabolic activity, batch 30",prod_30,compound,well,batch_metrics,batch=prod_30;reporter_id=mtt_viability,unresolved,0.8052871858620463,0.5219082188229194,0.6788106861745933,0.6666666666666666,0.454501598608551
12,oasis:prod_30:ldh_release,OASIS_batch8,OASIS,"OASIS LDH release, batch 30",prod_30,compound,well,batch_metrics,batch=prod_30;reporter_id=ldh_release,measurement_required,0.4068058892876557,0.4428960331864143,0.5350517622729964,0.3333333333333333,0.314623922430076
